week,type,round,team,opponent,home_away,pre_rating,opp_pre_rating,expected_win_pct,points_for,points_against,ot,mov,result,mov_mult,keff,rating_change,post_rating
7,R,RS,GB,SF,H,1588.237880753708,1547.0396665024166,0.6311879858561641,23,20,1,3,1.0,0.37969668461736383,20.4,2.856748659956322,1591.0946294136643
7,R,RS,SF,GB,A,1549.896415162373,1591.0946294136643,0.36881201414383596,20,23,1,-3,0.0,0.37969668461736383,20.4,-2.8567486599563225,1547.0396665024166
8,R,RS,KC,SEA,H,1521.6418183460974,1447.7990597061769,0.6634338470173001,34,16,0,18,1.0,1.4500919972245432,22.44,10.951884298880838,1532.5937026449783
8,R,RS,SEA,KC,A,1458.7509440050578,1532.5937026449783,0.3365661529827,16,34,0,-18,0.0,1.4500919972245432,22.44,-10.951884298880842,1447.7990597061769
8,R,RS,CAR,NO,H,1538.9218088154055,1450.9535039050709,0.6853679704679904,19,7,0,12,1.0,1.0934250727160637,22.44,7.719955776835217,1546.6417645922406
8,R,RS,NO,CAR,A,1458.673459681906,1546.6417645922406,0.3146320295320097,7,19,0,-12,0.0,1.0934250727160637,22.44,-7.719955776835219,1450.9535039050709
8,R,RS,IND,NE,H,1534.0326901499816,1525.1704590081786,0.6193174398676603,9,27,0,-18,0.0,1.4878881118194787,22.44,-20.677900261611956,1513.3547898883696
8,R,RS,NE,IND,A,1504.4925587465666,1513.3547898883696,0.38068256013233975,27,9,0,18,1.0,1.4878881118194787,22.44,20.677900261611953,1525.1704590081786
8,R,RS,DAL,ATL,H,1517.101181652996,1430.2412803942873,0.6888923575477567,32,28,0,4,1.0,0.5930149836760862,20.4,3.7636264676105835,1520.8648081206065
8,R,RS,ATL,DAL,A,1434.0049068618978,1520.8648081206065,0.31110764245224326,28,32,0,-4,0.0,0.5930149836760862,20.4,-3.7636264676105826,1430.2412803942873
8,R,RS,PHI,MIA,H,1516.8089539047517,1532.5614829396875,0.5455520575206882,35,28,0,7,1.0,0.8259084975107798,20,7.506648347399072,1524.3156022521507
8,R,RS,MIA,PHI,A,1540.0681312870865,1524.3156022521507,0.4544479424793118,28,35,0,-7,0.0,0.8259084975107798,20,-7.506648347399073,1532.5614829396875
8,R,RS,WAS,NYG,H,1544.9953078606854,1454.459401003526,0.6897156197368621,31,21,0,10,1.0,0.9725779544842991,22.44,6.771847782085014,1551.7671556427704
8,R,RS,NYG,WAS,A,1461.231248785611,1551.7671556427704,0.31028438026313787,21,31,0,-10,0.0,0.9725779544842991,22.44,-6.771847782085014,1454.459401003526
8,R,RS,ARI,TB,H,1460.8085449421071,1435.12627535802,0.6072459843010901,13,9,0,4,1.0,0.6221354800046408,20.4,4.984662644844067,1465.7932075869512
8,R,RS,TB,ARI,A,1440.110938002864,1465.7932075869512,0.3927540156989099,9,13,0,-4,0.0,0.6221354800046408,20.4,-4.984662644844067,1435.12627535802
8,R,RS,DEN,BAL,H,1543.8563618565238,1465.1177421464129,0.6748269315650492,45,34,0,11,1.0,1.0412983997277705,20.4,6.907484794236013,1550.76384665076
8,R,RS,BAL,DEN,A,1472.025226940649,1550.76384665076,0.3251730684349507,34,45,0,-11,0.0,1.0412983997277705,20.4,-6.907484794236012,1465.1177421464129
8,R,RS,NYJ,BUF,H,1421.5078378684711,1497.1048643526215,0.47855394412826135,22,25,0,-3,0.0,0.5294500233397306,22.44,-5.685631706167351,1415.8222061623037
8,R,RS,BUF,NYJ,A,1491.419232646454,1415.8222061623037,0.5214460558717386,25,22,0,3,1.0,0.5294500233397306,22.44,5.685631706167351,1497.1048643526215
8,R,RS,TEN,PIT,H,1520.9309706076754,1535.4903306253711,0.5430790890034627,23,13,0,10,1.0,1.0174105824332722,22.44,10.431821258904913,1531.3627918665802
8,R,RS,PIT,TEN,A,1545.922151884276,1531.3627918665802,0.4569209109965372,13,23,0,-10,0.0,1.0174105824332722,22.44,-10.43182125890491,1535.4903306253711
8,R,RS,STL,JAX,H,1442.3471739756237,1489.2684958952298,0.5039645403369969,17,14,0,3,1.0,0.536632558743878,20,5.323775558933061,1447.6709495345567
8,R,RS,JAX,STL,A,1494.5922714541628,1447.6709495345567,0.496035459663003,14,17,0,-3,0.0,0.536632558743878,20,-5.323775558933059,1489.2684958952298
8,R,RS,SF,CIN,H,1547.0396665024166,1468.8651409995364,0.6763386564257369,28,21,0,7,1.0,0.7948391872375221,20,5.145174385335434,1552.184840887752
8,R,RS,CIN,SF,A,1474.0103153848718,1552.184840887752,0.3236613435742631,21,28,0,-7,0.0,0.7948391872375221,20,-5.145174385335434,1468.8651409995364
8,R,RS,SD,OAK,H,1513.3151885475359,1522.6927309067726,0.5831587173131714,14,23,0,-9,0.0,0.9707995179752552,22.44,-12.703961725490393,1500.6112268220454
8,R,RS,OAK,SD,A,1509.9887691812821,1500.6112268220454,0.4168412826868287,23,14,0,9,1.0,0.9707995179752552,22.44,12.703961725490393,1522.6927309067726
9,R,RS,ATL,PIT,H,1430.2412803942873,1539.9061664973526,0.42818582813437056,17,20,0,-3,0.0,0.5156447950673141,20,-4.415835871981514,1425.8254445223058
9,R,RS,PIT,ATL,A,1535.4903306253711,1425.8254445223058,0.5718141718656294,20,17,0,3,1.0,0.5156447950673141,20,4.415835871981514,1539.9061664973526
9,R,RS,CIN,JAX,H,1468.8651409995364,1480.9027519061951,0.5496246632945216,28,21,0,7,1.0,0.8277651110422303,22.44,8.365743989034652,1477.230884988571
9,R,RS,JAX,CIN,A,1489.2684958952298,1477.230884988571,0.45037533670547836,21,28,0,-7,0.0,0.8277651110422303,22.44,-8.365743989034652,1480.9027519061951
9,R,RS,DET,NYG,H,1524.491090164207,1481.4808338486082,0.6725498177719279,7,35,0,-28,0.0,1.9694898525342872,20.4,-27.021432845082156,1497.4696573191247
9,R,RS,NYG,DET,A,1454.459401003526,1497.4696573191247,0.3274501822280721,35,7,0,28,1.0,1.9694898525342872,20.4,27.021432845082156,1481.4808338486082
9,R,RS,GB,TB,H,1591.0946294136643,1431.5946892126813,0.7710821068602302,13,7,0,6,1.0,0.6874913078076482,22.44,3.5315861453386024,1594.626215559003
9,R,RS,TB,GB,A,1435.12627535802,1594.626215559003,0.22891789313976987,7,13,0,-6,0.0,0.6874913078076482,22.44,-3.531586145338603,1431.5946892126813
9,R,RS,TEN,SF,H,1531.3627918665802,1556.550365826683,0.5490279783031442,9,10,0,-1,0.0,0.39756853124528124,20,-4.365524938930943,1526.9972669276492
9,R,RS,SF,TEN,A,1552.184840887752,1526.9972669276492,0.45097202169685574,10,9,0,1,1.0,0.39756853124528124,20,4.365524938930943,1556.550365826683
9,R,RS,PHI,CAR,H,1524.3156022521507,1536.6419267811061,0.5468833007128702,20,9,0,11,1.0,1.0818143069279502,20.4,9.99983781113445,1534.3154400632852
9,R,RS,CAR,PHI,A,1546.6417645922406,1534.3154400632852,0.45311669928712983,9,20,0,-11,0.0,1.0818143069279502,20.4,-9.99983781113445,1536.6419267811061
9,R,RS,BAL,STL,H,1465.1177421464129,1443.429848287869,0.6027740757155735,37,31,1,6,1.0,0.5338399368480028,20,4.241101246687755,1469.3588433931006
9,R,RS,STL,BAL,A,1447.6709495345567,1469.3588433931006,0.3972259242844265,31,37,1,-6,0.0,0.5338399368480028,20,-4.241101246687755,1443.429848287869
9,R,RS,WAS,IND,H,1551.7671556427704,1503.7223781538405,0.6312829901986458,31,16,0,15,1.0,1.3062065864168388,20,9.632411734529022,1561.3995673772995
9,R,RS,IND,WAS,A,1513.3547898883696,1561.3995673772995,0.36871700980135425,16,31,0,-15,0.0,1.3062065864168388,20,-9.632411734529022,1503.7223781538405
9,R,RS,ARI,NYJ,H,1465.7932075869512,1428.7271489138811,0.646630700026772,21,31,0,-10,0.0,0.997860351437311,20,-12.904942751577382,1452.8882648353738
9,R,RS,NYJ,ARI,A,1415.8222061623037,1452.8882648353738,0.353369299973228,31,21,0,10,1.0,0.997860351437311,20,12.90494275157738,1428.7271489138811
9,R,RS,DEN,KC,H,1550.76384665076,1514.8380058261444,0.6037706524134373,34,7,0,27,1.0,1.996954771826773,22.44,17.75569681883385,1568.5195434695938
9,R,RS,KC,DEN,A,1532.5937026449783,1568.5195434695938,0.3962293475865627,7,34,0,-27,0.0,1.996954771826773,22.44,-17.75569681883385,1514.8380058261444
9,R,RS,MIA,DAL,H,1532.5614829396875,1539.4963657973035,0.5948222888675487,10,29,0,-19,0.0,1.5661448827151818,20,-18.631557676696865,1513.9299252629905
9,R,RS,DAL,MIA,A,1520.8648081206065,1513.9299252629905,0.40517771113245127,29,10,0,19,1.0,1.5661448827151818,20,18.631557676696865,1539.4963657973035
9,R,RS,SEA,SD,H,1447.7990597061769,1483.7008010009845,0.5031485029994996,32,13,0,19,1.0,1.5167188645321612,22.44,16.910425821061022,1464.7094855272378
9,R,RS,SD,SEA,A,1500.6112268220454,1464.7094855272378,0.4968514970005004,13,32,0,-19,0.0,1.5167188645321612,22.44,-16.910425821061025,1483.7008010009845
9,R,RS,NE,BUF,H,1525.1704590081786,1492.4093652187253,0.6173142364775748,28,25,0,3,1.0,0.5467850176812838,22.44,4.695499133896221,1529.8659581420748
9,R,RS,BUF,NE,A,1497.1048643526215,1529.8659581420748,0.38268576352242517,25,28,0,-3,0.0,0.5467850176812838,22.44,-4.69549913389622,1492.4093652187253
9,R,RS,MIN,CHI,H,1518.3049183166534,1464.3435623089283,0.6607323087560377,13,15,0,-2,0.0,0.4607767614634676,22.44,-6.831860096409585,1511.4730582202437
9,R,RS,CHI,MIN,A,1457.5117022125187,1511.4730582202437,0.3392676912439623,15,13,0,2,1.0,0.4607767614634676,22.44,6.831860096409585,1464.3435623089283
10,R,RS,ATL,CAR,H,1425.8254445223058,1529.9622850039552,0.42035762049151354,20,17,0,3,1.0,0.5135351664844666,22.44,6.679641777150976,1432.5050862994567
10,R,RS,CAR,ATL,A,1536.6419267811061,1432.5050862994567,0.5796423795084865,17,20,0,-3,0.0,0.5135351664844666,22.44,-6.679641777150977,1529.9622850039552
10,R,RS,CHI,TB,H,1464.3435623089283,1426.9939414144405,0.6236625254181064,13,10,0,3,1.0,0.5447887216496077,22.44,4.600747798240831,1468.944310107169
10,R,RS,TB,CHI,A,1431.5946892126813,1468.944310107169,0.37633747458189354,10,13,0,-3,0.0,0.5447887216496077,22.44,-4.60074779824083,1426.9939414144405
10,R,RS,IND,SD,H,1503.7223781538405,1493.9424031503352,0.6063174722218062,19,26,0,-7,0.0,0.8280139432679013,20.4,-10.24160214935072,1493.4807760044898
10,R,RS,SD,IND,A,1483.7008010009845,1493.4807760044898,0.39368252777819374,26,19,0,7,1.0,0.8280139432679013,20.4,10.241602149350722,1493.9424031503352
10,R,RS,DAL,PHI,H,1539.4963657973035,1547.8996160763793,0.5857514158716147,21,31,0,-10,0.0,1.033468158848357,22.44,-13.584176013094039,1525.9121897842094
10,R,RS,PHI,DAL,A,1534.3154400632852,1525.9121897842094,0.4142485841283853,31,21,0,10,1.0,1.033468158848357,22.44,13.584176013094039,1547.8996160763793
10,R,RS,GB,DET,H,1594.626215559003,1491.1163169561128,0.7059684673135558,28,18,0,10,1.0,0.9629092568385291,22.44,6.353340363011877,1600.979555922015
10,R,RS,DET,GB,A,1497.4696573191247,1600.979555922015,0.2940315326864442,18,28,0,-10,0.0,0.9629092568385291,22.44,-6.353340363011877,1491.1163169561128
10,R,RS,NYG,ARI,H,1481.4808338486082,1445.2800610520385,0.6180306090009156,16,8,0,8,1.0,0.8876274444977656,22.44,7.608203783335383,1489.0890376319435
10,R,RS,ARI,NYG,A,1452.8882648353738,1489.0890376319435,0.38196939099908434,8,16,0,-8,0.0,0.8876274444977656,22.44,-7.608203783335381,1445.2800610520385
