date,season,type,round,home_team,away_team,home_pts,away_pts,expected_win,result,accuracy,brier,log_loss
1998-07-27,1998,R,,CLE,LAS,83,67,0.6895,1.0,1,0.0964,0.3718
1998-07-27,1998,R,,UTA,PHX,90,80,0.3322,1.0,0,0.446,1.102
1998-07-28,1998,R,,HOU,PHX,72,62,0.8148,1.0,1,0.0343,0.2048
1998-07-29,1998,R,,CLE,SAC,75,67,0.7571,1.0,1,0.059,0.2782
1998-07-29,1998,R,,WAS,LAS,68,77,0.5167,0.0,0,0.267,0.7271
1998-07-30,1998,R,,CHA,CLE,79,64,0.6931,1.0,1,0.0942,0.3666
1998-07-30,1998,R,,HOU,UTA,88,65,0.8878,1.0,1,0.0126,0.119
1998-07-31,1998,R,,DET,SAC,78,77,0.7873,1.0,1,0.0453,0.2392
1998-07-31,1998,R,,LAS,PHX,71,56,0.4648,1.0,0,0.2864,0.7661
1998-08-01,1998,R,,HOU,CLE,71,74,0.8267,0.0,0,0.6834,1.7527
1998-08-01,1998,R,,UTA,LAS,65,73,0.548,0.0,0,0.3003,0.7941
1998-08-01,1998,R,,WAS,NYL,53,67,0.3122,0.0,1,0.0975,0.3743
1998-08-02,1998,R,,HOU,SAC,70,53,0.8896,1.0,1,0.0122,0.117
1998-08-02,1998,R,,NYL,CHA,85,67,0.5562,1.0,1,0.197,0.5867
1998-08-03,1998,R,,CHA,DET,71,68,0.6155,1.0,1,0.1478,0.4853
1998-08-03,1998,R,,LAS,WAS,86,72,0.7858,1.0,1,0.0459,0.241
1998-08-04,1998,R,,PHX,WAS,88,59,0.8611,1.0,1,0.0193,0.1495
1998-08-04,1998,R,,SAC,CLE,60,72,0.4116,0.0,1,0.1694,0.5303
1998-08-04,1998,R,,UTA,HOU,57,77,0.2394,0.0,1,0.0573,0.2736
1998-08-05,1998,R,,CHA,NYL,69,61,0.5862,1.0,1,0.1712,0.534
1998-08-05,1998,R,,DET,LAS,73,61,0.6463,1.0,1,0.1251,0.4366
1998-08-06,1998,R,,HOU,PHX,75,64,0.8027,1.0,1,0.0389,0.2198
1998-08-06,1998,R,,UTA,CLE,69,79,0.411,0.0,1,0.1689,0.5293
1998-08-07,1998,R,,DET,HOU,57,61,0.376,0.0,1,0.1414,0.4716
1998-08-07,1998,R,,SAC,WAS,76,55,0.6898,1.0,1,0.0962,0.3713
1998-08-08,1998,R,,CLE,CHA,65,58,0.5748,1.0,1,0.1808,0.5538
1998-08-08,1998,R,,NYL,LAS,80,62,0.7078,1.0,1,0.0854,0.3456
1998-08-08,1998,R,,PHX,UTA,68,62,0.8005,1.0,1,0.0398,0.2225
1998-08-09,1998,R,,WAS,LAS,76,74,0.4297,1.0,0,0.3253,0.8448
1998-08-10,1998,R,,CLE,PHX,80,82,0.6335,0.0,0,0.4014,1.0038
1998-08-10,1998,R,,HOU,CHA,70,67,0.8173,1.0,1,0.0334,0.2017
1998-08-10,1998,R,,UTA,DET,73,77,0.4044,0.0,1,0.1635,0.5181
1998-08-11,1998,R,,NYL,PHX,79,78,0.6718,1.0,1,0.1077,0.3978
1998-08-11,1998,R,,SAC,DET,41,50,0.4912,0.0,1,0.2412,0.6756
1998-08-12,1998,R,,CHA,LAS,52,65,0.706,0.0,0,0.4984,1.2242
1998-08-12,1998,R,,UTA,SAC,81,71,0.6191,1.0,1,0.1451,0.4794
1998-08-12,1998,R,,WAS,CLE,55,75,0.3413,0.0,1,0.1165,0.4175
1998-08-13,1998,R,,NYL,WAS,88,45,0.8767,1.0,1,0.0152,0.1316
1998-08-14,1998,R,,CHA,CLE,72,85,0.5893,0.0,0,0.3473,0.89
1998-08-14,1998,R,,LAS,UTA,87,67,0.7443,1.0,1,0.0654,0.2953
1998-08-14,1998,R,,PHX,DET,84,59,0.6417,1.0,1,0.1284,0.4436
1998-08-15,1998,R,,CLE,WAS,90,71,0.8629,1.0,1,0.0188,0.1474
1998-08-15,1998,R,,NYL,HOU,70,54,0.366,1.0,0,0.402,1.0052
1998-08-15,1998,R,,SAC,UTA,82,55,0.6683,1.0,1,0.11,0.403
1998-08-16,1998,R,,LAS,DET,76,77,0.5805,0.0,0,0.3369,0.8686
1998-08-16,1998,R,,SAC,PHX,69,85,0.36,0.0,1,0.1296,0.4463
1998-08-17,1998,R,,NYL,CLE,64,70,0.6333,0.0,0,0.4011,1.0033
1998-08-17,1998,R,,UTA,PHX,64,75,0.3519,0.0,1,0.1238,0.4337
1998-08-17,1998,R,,WAS,HOU,65,110,0.15,0.0,1,0.0225,0.1625
1998-08-19,1998,R,,DET,NYL,82,68,0.576,1.0,1,0.1798,0.5517
1998-08-19,1998,R,,HOU,LAS,80,71,0.8418,1.0,1,0.025,0.1722
1998-08-19,1998,R,,PHX,SAC,71,62,0.8176,1.0,1,0.0333,0.2014
1998-08-19,1998,R,,WAS,CHA,69,105,0.2875,0.0,1,0.0826,0.3389
1998-08-22,1998,P,1.0,CHA,HOU,71,85,0.3665,0.0,1,0.1343,0.4565
1998-08-22,1998,P,1.0,PHX,CLE,78,68,0.5659,1.0,1,0.1884,0.5693
1998-08-24,1998,P,1.0,CLE,PHX,67,66,0.5973,1.0,1,0.1622,0.5153
1998-08-24,1998,P,1.0,HOU,CHA,77,61,0.8347,1.0,1,0.0273,0.1807
1998-08-25,1998,P,1.0,CLE,PHX,60,71,0.6129,0.0,0,0.3757,0.9492
1998-08-27,1998,P,2.0,PHX,HOU,54,51,0.4229,1.0,0,0.3331,0.8607
1998-08-29,1998,P,2.0,HOU,PHX,74,69,0.7455,1.0,1,0.0648,0.2937
1998-09-01,1998,P,2.0,HOU,PHX,80,71,0.7561,1.0,1,0.0595,0.2796
1999-06-10,1999,R,,LAS,SAC,100,78,0.6965,1.0,1,0.0921,0.3617
1999-06-10,1999,R,,NYL,CLE,87,60,0.6165,1.0,1,0.1471,0.4838
1999-06-10,1999,R,,ORL,HOU,63,77,0.4302,0.0,1,0.1851,0.5625
1999-06-10,1999,R,,WAS,CHA,73,83,0.4343,0.0,1,0.1886,0.5697
