--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Sat Dec 5 1953,Fort Wayne Pistons,92,New York Knicks,73,Box Score,,,,Madison Square Garden (III),
Sat Dec 5 1953,Baltimore Bullets,65,Rochester Royals,72,Box Score,,,,Edgerton Park Arena,
Sun Dec 6 1953,Boston Celtics,102,Baltimore Bullets,95,Box Score,OT,,,Baltimore Coliseum,
Sun Dec 6 1953,Syracuse Nationals,77,Fort Wayne Pistons,78,Box Score,,,,War Memorial Coliseum,
Tue Dec 8 1953,Boston Celtics,79,Rochester Royals,97,Box Score,,1282,,Edgerton Park Arena,
Wed Dec 9 1953,Syracuse Nationals,77,Baltimore Bullets,92,Box Score,,,,Baltimore Coliseum,
Wed Dec 9 1953,Milwaukee Hawks,59,Fort Wayne Pistons,83,Box Score,,,,Philadelphia Arena,at Philadelphia PA
Wed Dec 9 1953,Boston Celtics,103,Philadelphia Warriors,104,Box Score,OT,3500,,Philadelphia Arena,
Thu Dec 10 1953,Philadelphia Warriors,83,Baltimore Bullets,77,Box Score,,,,Madison Square Garden (III),at New York NY
Thu Dec 10 1953,Milwaukee Hawks,76,Syracuse Nationals,96,Box Score,,,,Onondaga War Memorial,
Thu Dec 10 1953,Boston Celtics,113,New York Knicks,108,Box Score,2OT,7813,,Madison Square Garden (III),
Fri Dec 11 1953,New York Knicks,70,Milwaukee Hawks,82,Box Score,,,,Milwaukee Arena,
Sat Dec 12 1953,Baltimore Bullets,75,Boston Celtics,106,Box Score,,7020,,Boston Garden,
Sat Dec 12 1953,New York Knicks,67,Minneapolis Lakers,71,Box Score,,,,Minneapolis Auditorium,
Sat Dec 12 1953,Syracuse Nationals,85,Rochester Royals,90,Box Score,,,,Edgerton Park Arena,
Sun Dec 13 1953,Milwaukee Hawks,73,Baltimore Bullets,70,Box Score,,,,Baltimore Coliseum,
Sun Dec 13 1953,New York Knicks,69,Fort Wayne Pistons,68,Box Score,,,,War Memorial Coliseum,
Sun Dec 13 1953,Rochester Royals,87,Minneapolis Lakers,70,Box Score,,,,War Memorial Coliseum,at Fort Wayne IN
Sun Dec 13 1953,Boston Celtics,74,Syracuse Nationals,108,Box Score,,3249,,Onondaga War Memorial,
Tue Dec 15 1953,Fort Wayne Pistons,75,Boston Celtics,82,Box Score,,14000,,Madison Square Garden (III),at New York NY
Tue Dec 15 1953,Minneapolis Lakers,79,New York Knicks,80,Box Score,OT,,,Madison Square Garden (III),
Tue Dec 15 1953,Milwaukee Hawks,64,Rochester Royals,76,Box Score,,,,Edgerton Park Arena,
Wed Dec 16 1953,Minneapolis Lakers,69,Milwaukee Hawks,63,Box Score,OT,,,Boston Garden,at Boston MA
Wed Dec 16 1953,Fort Wayne Pistons,74,Boston Celtics,91,Box Score,,5089,,Boston Garden,
Thu Dec 17 1953,Minneapolis Lakers,64,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Thu Dec 17 1953,Rochester Royals,91,Philadelphia Warriors,79,Box Score,,,,Cleveland Arena,at Cleveland OH
Sat Dec 19 1953,New York Knicks,65,Baltimore Bullets,63,Box Score,,,,Baltimore Coliseum,
Sat Dec 19 1953,Syracuse Nationals,90,Boston Celtics,83,Box Score,,1855,,Boston Garden,
Sat Dec 19 1953,Fort Wayne Pistons,69,Milwaukee Hawks,63,Box Score,,,,Milwaukee Arena,
Sat Dec 19 1953,Minneapolis Lakers,91,Rochester Royals,78,Box Score,,,,Edgerton Park Arena,
Sun Dec 20 1953,Philadelphia Warriors,89,Boston Celtics,101,Box Score,,12245,,Madison Square Garden (III),at New York NY
Sun Dec 20 1953,Baltimore Bullets,67,New York Knicks,75,Box Score,,,,Madison Square Garden (III),
Sun Dec 20 1953,Minneapolis Lakers,76,Syracuse Nationals,81,Box Score,,,,Onondaga War Memorial,
Mon Dec 21 1953,Milwaukee Hawks,74,Boston Celtics,90,Box Score,,10462,,Buffalo Memorial Auditorium,at Buffalo NY
Wed Dec 23 1953,Syracuse Nationals,76,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Wed Dec 23 1953,Milwaukee Hawks,74,Boston Celtics,80,Box Score,,,,Baltimore Coliseum,at Baltimore MD
Fri Dec 25 1953,Rochester Royals,73,Philadelphia Warriors,65,Box Score,,,,Convention Hall,
Fri Dec 25 1953,Syracuse Nationals,80,New York Knicks,89,Box Score,,,,Madison Square Garden (III),
Fri Dec 25 1953,Minneapolis Lakers,78,Baltimore Bullets,88,Box Score,,,,St. Paul Auditorium,at Saint Paul MN
Fri Dec 25 1953,Boston Celtics,79,Fort Wayne Pistons,108,Box Score,,5481,,War Memorial Coliseum,
Sat Dec 26 1953,Boston Celtics,67,Milwaukee Hawks,74,Box Score,,8462,,Milwaukee Arena,
Sat Dec 26 1953,Fort Wayne Pistons,71,Minneapolis Lakers,77,Box Score,,,,Minneapolis Auditorium,
Sat Dec 26 1953,New York Knicks,78,Rochester Royals,77,Box Score,,,,Edgerton Park Arena,
Sun Dec 27 1953,Milwaukee Hawks,75,Syracuse Nationals,96,Box Score,,,,Onondaga War Memorial,
Sun Dec 27 1953,Philadelphia Warriors,76,New York Knicks,79,Box Score,,,,Madison Square Garden (III),
Sun Dec 27 1953,Minneapolis Lakers,79,Fort Wayne Pistons,75,Box Score,,,,War Memorial Coliseum,
Sun Dec 27 1953,Rochester Royals,72,Boston Celtics,98,Box Score,,5491,,Boston Garden,
Mon Dec 28 1953,Philadelphia Warriors,69,Milwaukee Hawks,63,Box Score,,,,Hershey Sports Arena,at Hershey PA
Tue Dec 29 1953,Baltimore Bullets,77,Rochester Royals,96,Box Score,,,,Edgerton Park Arena,
Wed Dec 30 1953,New York Knicks,79,Baltimore Bullets,86,Box Score,,,,Baltimore Coliseum,
Wed Dec 30 1953,Syracuse Nationals,96,Boston Celtics,89,Box Score,,3300,,Baltimore Coliseum,at Baltimore MD
Wed Dec 30 1953,Fort Wayne Pistons,97,Minneapolis Lakers,80,Box Score,,,,Minneapolis Auditorium,
Thu Dec 31 1953,Philadelphia Warriors,56,Fort Wayne Pistons,83,Box Score,,,,Indiana State Fair Coliseum,at Indianapolis IN
Thu Dec 31 1953,Boston Celtics,95,New York Knicks,74,Box Score,,7000,,Madison Square Garden (III),
Thu Dec 31 1953,Rochester Royals,81,Syracuse Nationals,86,Box Score,,,,Onondaga War Memorial,
Fri Jan 1 1954,Baltimore Bullets,52,Milwaukee Hawks,62,Box Score,,,,Milwaukee Arena,
Fri Jan 1 1954,Syracuse Nationals,92,Boston Celtics,95,Box Score,,5853,,Boston Garden,
Fri Jan 1 1954,Philadelphia Warriors,76,Rochester Royals,79,Box Score,,,,Edgerton Park Arena,
Sat Jan 2 1954,Boston Celtics,92,Baltimore Bullets,77,Box Score,,,,Fifth Regiment Armory,
Sat Jan 2 1954,New York Knicks,74,Minneapolis Lakers,78,Box Score,,,,Minneapolis Auditorium,
Sat Jan 2 1954,Syracuse Nationals,74,Philadelphia Warriors,66,Box Score,,,,Convention Hall,
Sat Jan 2 1954,Fort Wayne Pistons,76,Rochester Royals,77,Box Score,OT,,,Edgerton Park Arena,
Sun Jan 3 1954,Baltimore Bullets,72,Boston Celtics,90,Box Score,,5150,,New Haven Arena,at New Haven CT
Sun Jan 3 1954,New York Knicks,74,Fort Wayne Pistons,72,Box Score,,,,War Memorial Coliseum,
Sun Jan 3 1954,Philadelphia Warriors,90,Syracuse Nationals,77,Box Score,,,,Onondaga War Memorial,
Mon Jan 4 1954,Boston Celtics,77,Baltimore Bullets,73,Box Score,,6000,,Hicks Gym at University of Massachusetts,at Amherst MA
Mon Jan 4 1954,Rochester Royals,85,Minneapolis Lakers,84,Box Score,,,,Chicago Stadium,at Chicago IL
Tue Jan 5 1954,Syracuse Nationals,72,Fort Wayne Pistons,60,Box Score,,,,War Memorial Coliseum,
Tue Jan 5 1954,Milwaukee Hawks,88,Philadelphia Warriors,99,Box Score,,,,Convention Hall,
Wed Jan 6 1954,Fort Wayne Pistons,90,Baltimore Bullets,78,Box Score,,,,Baltimore Coliseum,
Wed Jan 6 1954,Philadelphia Warriors,77,Milwaukee Hawks,72,Box Score,,,,Baltimore Coliseum,at Baltimore MD
Thu Jan 7 1954,Fort Wayne Pistons,67,Syracuse Nationals,79,Box Score,,,,Onondaga War Memorial,
Thu Jan 7 1954,Baltimore Bullets,70,New York Knicks,82,Box Score,,,,Madison Square Garden (III),
Thu Jan 7 1954,Philadelphia Warriors,88,Milwaukee Hawks,73,Box Score,,,,Madison Square Garden (III),at New York NY
Thu Jan 7 1954,Rochester Royals,71,Minneapolis Lakers,89,Box Score,,,,Minneapolis Auditorium,
Sat Jan 9 1954,Philadelphia Warriors,90,Baltimore Bullets,95,Box Score,,,,Baltimore Coliseum,
Sat Jan 9 1954,Minneapolis Lakers,78,Milwaukee Hawks,67,Box Score,,,,Milwaukee Auditorium,
Sat Jan 9 1954,New York Knicks,88,Rochester Royals,87,Box Score,,,,Edgerton Park Arena,
Sun Jan 10 1954,Milwaukee Hawks,73,Fort Wayne Pistons,81,Box Score,,,,War Memorial Coliseum,
Sun Jan 10 1954,Boston Celtics,85,Minneapolis Lakers,99,Box Score,,4132,,Minneapolis Auditorium,
Sun Jan 10 1954,Rochester Royals,69,New York Knicks,81,Box Score,,,,Madison Square Garden (III),
Sun Jan 10 1954,Baltimore Bullets,73,Syracuse Nationals,77,Box Score,,,,Onondaga War Memorial,
Tue Jan 12 1954,Fort Wayne Pistons,97,Baltimore Bullets,66,Box Score,,,,Coral Gables Coliseum,at Coral Gables FL
Tue Jan 12 1954,Milwaukee Hawks,73,Rochester Royals,78,Box Score,,,,Edgerton Park Arena,
Wed Jan 13 1954,Minneapolis Lakers,84,Boston Celtics,88,Box Score,,11886,,Boston Garden,
Wed Jan 13 1954,Syracuse Nationals,93,New York Knicks,72,Box Score,,,,Boston Garden,at Boston MA
Thu Jan 14 1954,Fort Wayne Pistons,81,Baltimore Bullets,74,Box Score,,,,Miami Beach Auditorium,at Miami FL
Thu Jan 14 1954,Milwaukee Hawks,74,Boston Celtics,86,Box Score,,4345,,Onondaga War Memorial,at Syracuse NY
Thu Jan 14 1954,New York Knicks,83,Philadelphia Warriors,71,Box Score,,,,Convention Hall,
Thu Jan 14 1954,Minneapolis Lakers,71,Syracuse Nationals,96,Box Score,,,,Onondaga War Memorial,
Sat Jan 16 1954,Syracuse Nationals,95,Rochester Royals,93,Box Score,3OT,,,Edgerton Park Arena,
Sat Jan 16 1954,Fort Wayne Pistons,82,New York Knicks,88,Box Score,OT,,,69th Regiment Armory,
Sat Jan 16 1954,Philadelphia Warriors,72,Baltimore Bullets,82,Box Score,,,,Baltimore Coliseum,
Sat Jan 16 1954,Milwaukee Hawks,64,Minneapolis Lakers,58,Box Score,,,,Minneapolis Auditorium,
Sun Jan 17 1954,Philadelphia Warriors,74,Baltimore Bullets,78,Box Score,,,,Boston Garden,at Boston MA
Sun Jan 17 1954,New York Knicks,87,Boston Celtics,84,Box Score,2OT,6053,,Boston Garden,
Sun Jan 17 1954,Minneapolis Lakers,83,Fort Wayne Pistons,86,Box Score,,,,War Memorial Coliseum,
Sun Jan 17 1954,Rochester Royals,81,Syracuse Nationals,84,Box Score,,,,Onondaga War Memorial,
Mon Jan 18 1954,Minneapolis Lakers,91,Milwaukee Hawks,72,Box Score,,,,Municipal Auditorium,at Kansas City MO
Tue Jan 19 1954,New York Knicks,78,Milwaukee Hawks,75,Box Score,,,,Milwaukee Auditorium,
Tue Jan 19 1954,Boston Celtics,73,Philadelphia Warriors,89,Box Score,,2500,,Philadelphia Arena,
Tue Jan 19 1954,Rochester Royals,73,Fort Wayne Pistons,67,Box Score,,,,Milwaukee Auditorium,at Milwaukee WI
Fri Jan 22 1954,Philadelphia Warriors,82,New York Knicks,84,Box Score,,,,New Haven Arena,at New Haven CT
Sat Jan 23 1954,Syracuse Nationals,91,Baltimore Bullets,98,Box Score,,,,Baltimore Coliseum,
Sat Jan 23 1954,Fort Wayne Pistons,72,Minneapolis Lakers,75,Box Score,,,,Minneapolis Auditorium,
Sat Jan 23 1954,Milwaukee Hawks,63,New York Knicks,75,Box Score,,,,69th Regiment Armory,
Sat Jan 23 1954,Philadelphia Warriors,61,Rochester Royals,71,Box Score,,,,Edgerton Park Arena,
Sun Jan 24 1954,Philadelphia Warriors,80,Syracuse Nationals,78,Box Score,,,,Onondaga War Memorial,
Sun Jan 24 1954,New York Knicks,66,Milwaukee Hawks,68,Box Score,,,,Boston Garden,at Boston MA
Sun Jan 24 1954,Rochester Royals,93,Boston Celtics,85,Box Score,,6093,,Boston Garden,
Sun Jan 24 1954,Baltimore Bullets,70,Fort Wayne Pistons,79,Box Score,,,,War Memorial Coliseum,
Tue Jan 26 1954,Boston Celtics,94,Baltimore Bullets,69,Box Score,,3846,,Milwaukee Arena,at Milwaukee WI
Tue Jan 26 1954,Minneapolis Lakers,84,Milwaukee Hawks,69,Box Score,,,,Milwaukee Arena,
Tue Jan 26 1954,Rochester Royals,71,New York Knicks,74,Box Score,,,,Buffalo Memorial Auditorium,at Buffalo NY
Tue Jan 26 1954,Syracuse Nationals,79,Philadelphia Warriors,75,Box Score,,,,Buffalo Memorial Auditorium,at Buffalo NY
Wed Jan 27 1954,Milwaukee Hawks,68,Fort Wayne Pistons,77,Box Score,,,,Minneapolis Auditorium,at Minneapolis MN
Wed Jan 27 1954,Baltimore Bullets,73,Minneapolis Lakers,76,Box Score,,,,Minneapolis Auditorium,
Thu Jan 28 1954,Rochester Royals,82,Philadelphia Warriors,79,Box Score,OT,,,Philadelphia Arena,
Thu Jan 28 1954,New York Knicks,66,Syracuse Nationals,79,Box Score,,,,Onondaga War Memorial,
Thu Jan 28 1954,Boston Celtics,68,Fort Wayne Pistons,80,Box Score,,,,War Memorial Coliseum,
Thu Jan 28 1954,Minneapolis Lakers,104,Baltimore Bullets,82,Box Score,,,,University of North Dakota Fieldhouse,at Grand Forks ND
Fri Jan 29 1954,Boston Celtics,70,Milwaukee Hawks,82,Box Score,,,,Milwaukee Arena,
Sat Jan 30 1954,Philadelphia Warriors,74,Baltimore Bullets,80,Box Score,,,,Baltimore Coliseum,
Sat Jan 30 1954,Milwaukee Hawks,64,Minneapolis Lakers,80,Box Score,,,,Minneapolis Auditorium,
Sat Jan 30 1954,Syracuse Nationals,65,New York Knicks,66,Box Score,,,,69th Regiment Armory,
Sat Jan 30 1954,Fort Wayne Pistons,70,Rochester Royals,95,Box Score,,,,Edgerton Park Arena,
Sun Jan 31 1954,Rochester Royals,69,Fort Wayne Pistons,83,Box Score,,,,War Memorial Coliseum,
Sun Jan 31 1954,Boston Celtics,67,Minneapolis Lakers,82,Box Score,,5120,,Minneapolis Auditorium,
Sun Jan 31 1954,New York Knicks,70,Syracuse Nationals,114,Box Score,,,,Onondaga War Memorial,
Mon Feb 1 1954,Fort Wayne Pistons,72,Milwaukee Hawks,71,Box Score,,,,Milwaukee Arena,
Tue Feb 2 1954,Minneapolis Lakers,87,Rochester Royals,78,Box Score,,,,Edgerton Park Arena,
Wed Feb 3 1954,Rochester Royals,81,Boston Celtics,88,Box Score,,8487,,Boston Garden,
Wed Feb 3 1954,Milwaukee Hawks,78,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Wed Feb 3 1954,Syracuse Nationals,79,Philadelphia Warriors,82,Box Score,,,,Baltimore Coliseum,at Baltimore MD
Wed Feb 3 1954,New York Knicks,79,Minneapolis Lakers,91,Box Score,,,,Boston Garden,at Boston MA
Thu Feb 4 1954,Minneapolis Lakers,82,Baltimore Bullets,70,Box Score,,,,Baltimore Coliseum,
Thu Feb 4 1954,Syracuse Nationals,90,New York Knicks,82,Box Score,,,,Philadelphia Arena,at Philadelphia PA
Thu Feb 4 1954,Boston Celtics,78,Philadelphia Warriors,80,Box Score,,5661,,Philadelphia Arena,
Fri Feb 5 1954,Rochester Royals,89,Fort Wayne Pistons,70,Box Score,,,,Milwaukee Arena,at Milwaukee WI
Fri Feb 5 1954,Philadelphia Warriors,66,Milwaukee Hawks,69,Box Score,,,,Milwaukee Arena,
Sat Feb 6 1954,Philadelphia Warriors,94,Minneapolis Lakers,97,Box Score,,,,Minneapolis Auditorium,
Sat Feb 6 1954,Baltimore Bullets,83,New York Knicks,98,Box Score,,,,69th Regiment Armory,
Sat Feb 6 1954,Boston Celtics,104,Rochester Royals,81,Box Score,,3095,,Edgerton Park Arena,
Sat Feb 6 1954,Fort Wayne Pistons,87,Syracuse Nationals,93,Box Score,OT,,,Onondaga War Memorial,
Sun Feb 7 1954,Rochester Royals,73,Baltimore Bullets,75,Box Score,,,,Baltimore Coliseum,
Sun Feb 7 1954,New York Knicks,87,Boston Celtics,78,Box Score,,3787,,Boston Garden,
Sun Feb 7 1954,Minneapolis Lakers,83,Fort Wayne Pistons,90,Box Score,,,,War Memorial Coliseum,
Sun Feb 7 1954,Milwaukee Hawks,73,Syracuse Nationals,88,Box Score,,,,Onondaga War Memorial,
Mon Feb 8 1954,Philadelphia Warriors,91,Minneapolis Lakers,106,Box Score,,,,Spencer Fieldhouse,at Spencer IA
Mon Feb 8 1954,Boston Celtics,87,Baltimore Bullets,75,Box Score,,1700,,New London High School,at New London CT
Tue Feb 9 1954,Philadelphia Warriors,67,Minneapolis Lakers,70,Box Score,,,,Huron College,at Huron SD
Tue Feb 9 1954,Milwaukee Hawks,70,Rochester Royals,81,Box Score,,,,Edgerton Park Arena,
Wed Feb 10 1954,Philadelphia Warriors,97,Baltimore Bullets,79,Box Score,,,,Milwaukee Arena,at Milwaukee WI
Wed Feb 10 1954,Syracuse Nationals,79,Boston Celtics,94,Box Score,,8001,,Boston Garden,
Wed Feb 10 1954,New York Knicks,73,Fort Wayne Pistons,69,Box Score,,,,Boston Garden,at Boston MA
Wed Feb 10 1954,Rochester Royals,62,Milwaukee Hawks,61,Box Score,,,,Milwaukee Arena,
Thu Feb 11 1954,Baltimore Bullets,82,Minneapolis Lakers,110,Box Score,,,,Minneapolis Auditorium,
Thu Feb 11 1954,Syracuse Nationals,74,Philadelphia Warriors,76,Box Score,2OT,,,Convention Hall,
Thu Feb 11 1954,Rochester Royals,79,Milwaukee Hawks,68,Box Score,,,,Minneapolis Auditorium,at Minneapolis MN
Thu Feb 11 1954,New York Knicks,81,Boston Celtics,84,Box Score,OT,4368,,Convention Hall,at Philadelphia PA
Fri Feb 12 1954,Philadelphia Warriors,75,Baltimore Bullets,72,Box Score,,,,Sports Arena,at Toledo OH
