--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Wed Dec 20 1950,,Rochester Royals,94,Washington Capitols,76,Box Score,,,,Uline Arena,
Wed Dec 20 1950,,Minneapolis Lakers,84,Baltimore Bullets,91,Box Score,,,,Baltimore Coliseum,
Thu Dec 21 1950,,Syracuse Nationals,72,Fort Wayne Pistons,97,Box Score,,,,North Side High School Gym,
Sat Dec 23 1950,,Minneapolis Lakers,81,Boston Celtics,87,Box Score,,6992,,Boston Garden,
Sat Dec 23 1950,,Philadelphia Warriors,79,New York Knicks,83,Box Score,2OT,,,Madison Square Garden (III),
Sat Dec 23 1950,,Fort Wayne Pistons,65,Rochester Royals,77,Box Score,,,,Edgerton Park Arena,
Sat Dec 23 1950,,Indianapolis Olympians,87,Washington Capitols,79,Box Score,OT,,,Uline Arena,
Mon Dec 25 1950,,New York Knicks,86,Philadelphia Warriors,84,Box Score,OT,,,Philadelphia Arena,
Mon Dec 25 1950,,Baltimore Bullets,72,Tri-Cities Blackhawks,87,Box Score,,,,Wharton Field House,
Mon Dec 25 1950,,Fort Wayne Pistons,69,Syracuse Nationals,81,Box Score,,,,State Fair Coliseum,
Mon Dec 25 1950,,Washington Capitols,79,Minneapolis Lakers,93,Box Score,,,,Minneapolis Auditorium,
Mon Dec 25 1950,,Boston Celtics,77,Rochester Royals,90,Box Score,,2973,,Edgerton Park Arena,
Tue Dec 26 1950,,Syracuse Nationals,100,Boston Celtics,102,Box Score,,5264,,Boston Garden,
Tue Dec 26 1950,,Washington Capitols,88,Indianapolis Olympians,81,Box Score,,,,Hinkle Fieldhouse,
Wed Dec 27 1950,,Rochester Royals,74,Fort Wayne Pistons,68,Box Score,,,,North Side High School Gym,
Wed Dec 27 1950,,Baltimore Bullets,63,Minneapolis Lakers,81,Box Score,,,,Minneapolis Auditorium,
Wed Dec 27 1950,,Philadelphia Warriors,74,New York Knicks,79,Box Score,,,,Hershey Sports Arena,at Hershey PA
Thu Dec 28 1950,,Minneapolis Lakers,67,Rochester Royals,75,Box Score,,,,Edgerton Park Arena,
Thu Dec 28 1950,,Washington Capitols,80,Tri-Cities Blackhawks,97,Box Score,,,,Wharton Field House,
Thu Dec 28 1950,,Syracuse Nationals,88,Philadelphia Warriors,91,Box Score,OT,,,Philadelphia Arena,
Fri Dec 29 1950,,Tri-Cities Blackhawks,81,Indianapolis Olympians,112,Box Score,,,,Hinkle Fieldhouse,
Sat Dec 30 1950,,Syracuse Nationals,90,Baltimore Bullets,80,Box Score,OT,,,Baltimore Coliseum,
Sat Dec 30 1950,,Boston Celtics,60,New York Knicks,77,Box Score,,11695,,Madison Square Garden (III),
Sat Dec 30 1950,,Washington Capitols,77,Rochester Royals,91,Box Score,,,,Edgerton Park Arena,
Sun Dec 31 1950,,New York Knicks,90,Boston Celtics,100,Box Score,,5456,,Boston Arena,
Sun Dec 31 1950,,Philadelphia Warriors,73,Minneapolis Lakers,83,Box Score,,,,Minneapolis Auditorium,
Sun Dec 31 1950,,Fort Wayne Pistons,100,Tri-Cities Blackhawks,110,Box Score,,,,Wharton Field House,
Mon Jan 1 1951,,Minneapolis Lakers,70,Fort Wayne Pistons,83,Box Score,,,,North Side High School Gym,
Mon Jan 1 1951,,Washington Capitols,71,Baltimore Bullets,83,Box Score,,,,Baltimore Coliseum,
Mon Jan 1 1951,,Philadelphia Warriors,92,Tri-Cities Blackhawks,109,Box Score,,,,Wharton Field House,
Mon Jan 1 1951,,New York Knicks,88,Rochester Royals,91,Box Score,OT,,,Edgerton Park Arena,
Mon Jan 1 1951,,Boston Celtics,89,Syracuse Nationals,106,Box Score,,6935,,State Fair Coliseum,
Tue Jan 2 1951,,Philadelphia Warriors,87,Indianapolis Olympians,86,Box Score,OT,,,Hinkle Fieldhouse,
Wed Jan 3 1951,,Fort Wayne Pistons,64,Minneapolis Lakers,86,Box Score,,,,Minneapolis Auditorium,
Wed Jan 3 1951,,Boston Celtics,84,Tri-Cities Blackhawks,82,Box Score,,2250,,Wharton Field House,
Wed Jan 3 1951,,Baltimore Bullets,82,Washington Capitols,92,Box Score,,,,Uline Arena,
Thu Jan 4 1951,,Indianapolis Olympians,94,Fort Wayne Pistons,83,Box Score,,,,North Side High School Gym,
Thu Jan 4 1951,,Baltimore Bullets,69,Philadelphia Warriors,92,Box Score,,,,Philadelphia Arena,
Thu Jan 4 1951,,Minneapolis Lakers,80,Syracuse Nationals,77,Box Score,,,,State Fair Coliseum,
Fri Jan 5 1951,,Boston Celtics,54,Minneapolis Lakers,69,Box Score,,5251,,Minneapolis Auditorium,
Sat Jan 6 1951,,Philadelphia Warriors,57,Baltimore Bullets,64,Box Score,,,,Baltimore Coliseum,
Sat Jan 6 1951,,Syracuse Nationals,87,New York Knicks,85,Box Score,OT,,,Madison Square Garden (III),
Sat Jan 6 1951,,Indianapolis Olympians,75,Rochester Royals,73,Box Score,6OT,,,Edgerton Park Arena,
Sat Jan 6 1951,,Fort Wayne Pistons,91,Washington Capitols,76,Box Score,,,,Uline Arena,
Sun Jan 7 1951,,Indianapolis Olympians,79,Tri-Cities Blackhawks,83,Box Score,,,,Wharton Field House,
Sun Jan 7 1951,,Baltimore Bullets,65,Syracuse Nationals,73,Box Score,,,,State Fair Coliseum,
Sun Jan 7 1951,,New York Knicks,79,Fort Wayne Pistons,76,Box Score,,,,North Side High School Gym,
Sun Jan 7 1951,,Washington Capitols,86,Boston Celtics,91,Box Score,OT,2931,,Boston Arena,
Sun Jan 7 1951,,Rochester Royals,57,Minneapolis Lakers,69,Box Score,,,,Minneapolis Auditorium,
Mon Jan 8 1951,,New York Knicks,75,Fort Wayne Pistons,70,Box Score,OT,,,Chicago Stadium,at Chicago IL
Tue Jan 9 1951,,Rochester Royals,77,Indianapolis Olympians,59,Box Score,,,,Hinkle Fieldhouse,
Tue Jan 9 1951,,Washington Capitols,74,Philadelphia Warriors,102,Box Score,,,,Philadelphia Arena,
Wed Jan 10 1951,,Rochester Royals,80,Baltimore Bullets,78,Box Score,OT,,,Baltimore Coliseum,
Wed Jan 10 1951,,New York Knicks,65,Minneapolis Lakers,70,Box Score,,,,Minneapolis Auditorium,
Wed Jan 10 1951,,Syracuse Nationals,97,Tri-Cities Blackhawks,96,Box Score,,,,Wharton Field House,
Thu Jan 11 1951,,Rochester Royals,79,Philadelphia Warriors,82,Box Score,,,,Philadelphia Arena,
Thu Jan 11 1951,,Minneapolis Lakers,113,Tri-Cities Blackhawks,109,Box Score,,,,Wharton Field House,
Thu Jan 11 1951,,Syracuse Nationals,76,Fort Wayne Pistons,84,Box Score,,,,North Side High School Gym,
Fri Jan 12 1951,,Fort Wayne Pistons,89,Indianapolis Olympians,81,Box Score,,,,Hinkle Fieldhouse,
Sat Jan 13 1951,,Baltimore Bullets,79,New York Knicks,92,Box Score,,,,Madison Square Garden (III),
Sat Jan 13 1951,,Fort Wayne Pistons,78,Rochester Royals,99,Box Score,,,,Edgerton Park Arena,
Sun Jan 14 1951,,New York Knicks,91,Baltimore Bullets,93,Box Score,2OT,,,Baltimore Coliseum,
Sun Jan 14 1951,,Tri-Cities Blackhawks,85,Fort Wayne Pistons,94,Box Score,,,,North Side High School Gym,
Sun Jan 14 1951,,Indianapolis Olympians,84,Minneapolis Lakers,86,Box Score,OT,,,Minneapolis Auditorium,
Sun Jan 14 1951,,Rochester Royals,63,Syracuse Nationals,92,Box Score,,,,State Fair Coliseum,
Sun Jan 14 1951,3:00p,Philadelphia Warriors,87,Boston Celtics,97,Box Score,,6665,,Boston Arena,at Boston MA (Boston Arena)
Mon Jan 15 1951,,Philadelphia Warriors,73,Boston Celtics,98,Box Score,,7516,,Boston Garden,
Tue Jan 16 1951,,Tri-Cities Blackhawks,89,Rochester Royals,97,Box Score,,,,Edgerton Park Arena,
Tue Jan 16 1951,,Minneapolis Lakers,68,Indianapolis Olympians,82,Box Score,,,,Hinkle Fieldhouse,
Wed Jan 17 1951,,Tri-Cities Blackhawks,70,Baltimore Bullets,81,Box Score,,,,Baltimore Coliseum,
Thu Jan 18 1951,,Tri-Cities Blackhawks,85,Boston Celtics,105,Box Score,,3765,,Boston Garden,
Thu Jan 18 1951,,Minneapolis Lakers,78,New York Knicks,95,Box Score,,,,Madison Square Garden (III),
Thu Jan 18 1951,,Indianapolis Olympians,80,Philadelphia Warriors,114,Box Score,,,,Philadelphia Arena,
Thu Jan 18 1951,,Rochester Royals,96,Syracuse Nationals,87,Box Score,,,,State Fair Coliseum,
Sat Jan 20 1951,,Indianapolis Olympians,63,Baltimore Bullets,102,Box Score,,,,Baltimore Coliseum,
Sat Jan 20 1951,,Minneapolis Lakers,89,Fort Wayne Pistons,70,Box Score,,,,Milwaukee Arena,at Milwaukee WI
Sat Jan 20 1951,,Philadelphia Warriors,101,Rochester Royals,87,Box Score,,,,Edgerton Park Arena,
Sat Jan 20 1951,,Boston Celtics,85,Tri-Cities Blackhawks,91,Box Score,,2000,,Wharton Field House,
Sun Jan 21 1951,,Boston Celtics,112,Fort Wayne Pistons,106,Box Score,OT,3500,,North Side High School Gym,
Sun Jan 21 1951,,Philadelphia Warriors,96,Syracuse Nationals,86,Box Score,,,,State Fair Coliseum,
Sun Jan 21 1951,,Rochester Royals,83,New York Knicks,88,Box Score,OT,,,Madison Square Garden (III),
