--- When using SR data, please cite us and provide a link and/or a mention.


 
Date,Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,LOG,Arena,Notes
Thu Nov 11 1948,Washington Capitols,70,Baltimore Bullets,68,Box Score,,,,Baltimore Coliseum,
Fri Nov 12 1948,Fort Wayne Pistons,75,Boston Celtics,84,Box Score,,6283,,Boston Garden,
Sat Nov 13 1948,Philadelphia Warriors,75,St. Louis Bombers,76,Box Score,,,,St. Louis Arena,
Sat Nov 13 1948,Fort Wayne Pistons,71,Washington Capitols,80,Box Score,,,,Uline Arena,
Sat Nov 13 1948,Boston Celtics,63,Rochester Royals,95,Box Score,,,,Edgerton Park Arena,
Sat Nov 13 1948,Minneapolis Lakers,90,Providence Steamrollers,67,Box Score,,,,Rhode Island Auditorium,
Sat Nov 13 1948,Baltimore Bullets,87,New York Knicks,91,Box Score,,,,Madison Square Garden (III),
Sat Nov 13 1948,Indianapolis Jets,72,Chicago Stags,79,Box Score,,,,Chicago Stadium,
Sun Nov 14 1948,Indianapolis Jets,73,Fort Wayne Pistons,79,Box Score,,,,North Side High School Gym,
Sun Nov 14 1948,Minneapolis Lakers,75,Rochester Royals,92,Box Score,,,,Edgerton Park Arena,
Tue Nov 16 1948,Philadelphia Warriors,90,Indianapolis Jets,82,Box Score,,,,Hinkle Fieldhouse,
Tue Nov 16 1948,New York Knicks,63,Rochester Royals,75,Box Score,,,,Edgerton Park Arena,
Tue Nov 16 1948,Boston Celtics,74,St. Louis Bombers,79,Box Score,OT,1950,,St. Louis Arena,
Wed Nov 17 1948,Philadelphia Warriors,72,Fort Wayne Pistons,80,Box Score,,,,North Side High School Gym,
Wed Nov 17 1948,Washington Capitols,73,New York Knicks,62,Box Score,,,,Madison Square Garden (III),
Wed Nov 17 1948,Boston Celtics,74,Minneapolis Lakers,72,Box Score,,4612,,Minneapolis Auditorium,
Thu Nov 18 1948,New York Knicks,67,Baltimore Bullets,55,Box Score,,,,Baltimore Coliseum,
Thu Nov 18 1948,Indianapolis Jets,71,Philadelphia Warriors,83,Box Score,,,,Philadelphia Arena,
Thu Nov 18 1948,Rochester Royals,103,Providence Steamrollers,74,Box Score,,,,Rhode Island Auditorium,
Fri Nov 19 1948,St. Louis Bombers,82,Baltimore Bullets,72,Box Score,,,,Chicago Stadium,at Chicago IL
Fri Nov 19 1948,Indianapolis Jets,70,Boston Celtics,75,Box Score,,5533,,Boston Garden,
Fri Nov 19 1948,Minneapolis Lakers,85,Chicago Stags,81,Box Score,,,,Chicago Stadium,
Sat Nov 20 1948,Philadelphia Warriors,86,New York Knicks,91,Box Score,,,,Madison Square Garden (III),
Sat Nov 20 1948,Indianapolis Jets,110,Providence Steamrollers,107,Box Score,,,,Rhode Island Auditorium,
Sat Nov 20 1948,Baltimore Bullets,85,St. Louis Bombers,64,Box Score,,,,St. Louis Arena,
Sat Nov 20 1948,Boston Celtics,75,Washington Capitols,90,Box Score,,2625,,Uline Arena,
Sun Nov 21 1948,Chicago Stags,70,Fort Wayne Pistons,69,Box Score,,,,North Side High School Gym,
Sun Nov 21 1948,Baltimore Bullets,81,Minneapolis Lakers,94,Box Score,,,,Minneapolis Auditorium,
Sun Nov 21 1948,Washington Capitols,80,Rochester Royals,77,Box Score,,,,Edgerton Park Arena,
Tue Nov 23 1948,Baltimore Bullets,90,Rochester Royals,108,Box Score,,,,Edgerton Park Arena,
Tue Nov 23 1948,Fort Wayne Pistons,90,Philadelphia Warriors,80,Box Score,,,,Philadelphia Arena,
Tue Nov 23 1948,Washington Capitols,71,Boston Celtics,68,Box Score,,6392,,Boston Garden,
Tue Nov 23 1948,Minneapolis Lakers,88,Indianapolis Jets,82,Box Score,,,,Hinkle Fieldhouse,
Wed Nov 24 1948,Providence Steamrollers,89,Minneapolis Lakers,117,Box Score,,,,Minneapolis Auditorium,
Thu Nov 25 1948,Fort Wayne Pistons,64,Baltimore Bullets,69,Box Score,,,,Baltimore Coliseum,
Thu Nov 25 1948,Boston Celtics,66,Indianapolis Jets,81,Box Score,,4802,,Hinkle Fieldhouse,
Thu Nov 25 1948,Washington Capitols,81,Philadelphia Warriors,73,Box Score,,,,Philadelphia Arena,
Thu Nov 25 1948,Providence Steamrollers,82,St. Louis Bombers,84,Box Score,OT,,,St. Louis Arena,
Sat Nov 27 1948,Chicago Stags,103,Rochester Royals,105,Box Score,2OT,,,Edgerton Park Arena,
Sat Nov 27 1948,Indianapolis Jets,76,Washington Capitols,94,Box Score,,,,Uline Arena,
Sat Nov 27 1948,Minneapolis Lakers,87,St. Louis Bombers,71,Box Score,,,,St. Louis Arena,
Sat Nov 27 1948,Baltimore Bullets,91,Providence Steamrollers,71,Box Score,,,,Rhode Island Auditorium,
Sat Nov 27 1948,Fort Wayne Pistons,70,New York Knicks,80,Box Score,,,,Madison Square Garden (III),
Sun Nov 28 1948,Boston Celtics,74,Fort Wayne Pistons,80,Box Score,,,,North Side High School Gym,
Sun Nov 28 1948,Philadelphia Warriors,67,Minneapolis Lakers,88,Box Score,,,,Minneapolis Auditorium,
Tue Nov 30 1948,Minneapolis Lakers,94,Boston Celtics,84,Box Score,,7112,,Chicago Stadium,at Chicago IL
Tue Nov 30 1948,Philadelphia Warriors,68,Chicago Stags,74,Box Score,,,,Chicago Stadium,
Tue Nov 30 1948,Fort Wayne Pistons,77,Indianapolis Jets,62,Box Score,,,,Hinkle Fieldhouse,
Tue Nov 30 1948,New York Knicks,88,Providence Steamrollers,61,Box Score,,,,Rhode Island Auditorium,
Wed Dec 1 1948,Rochester Royals,73,New York Knicks,72,Box Score,,,,Madison Square Garden (III),
Wed Dec 1 1948,Minneapolis Lakers,74,Fort Wayne Pistons,84,Box Score,,,,North Side High School Gym,
Wed Dec 1 1948,Providence Steamrollers,63,Washington Capitols,75,Box Score,,,,Uline Arena,
Wed Dec 1 1948,Chicago Stags,61,St. Louis Bombers,72,Box Score,,,,St. Louis Arena,
Thu Dec 2 1948,Indianapolis Jets,78,Baltimore Bullets,90,Box Score,,,,Baltimore Coliseum,
Thu Dec 2 1948,Washington Capitols,66,Providence Steamrollers,61,Box Score,,,,Rhode Island Auditorium,
Thu Dec 2 1948,Boston Celtics,88,Philadelphia Warriors,87,Box Score,,2000,,Philadelphia Arena,
Sat Dec 4 1948,Minneapolis Lakers,100,Chicago Stags,104,Box Score,OT,,,Chicago Stadium,
Sat Dec 4 1948,Indianapolis Jets,63,New York Knicks,66,Box Score,,,,Madison Square Garden (III),
Sat Dec 4 1948,Boston Celtics,70,Providence Steamrollers,63,Box Score,,2182,,Rhode Island Auditorium,
Sat Dec 4 1948,Philadelphia Warriors,101,Rochester Royals,105,Box Score,OT,,,Edgerton Park Arena,
Sat Dec 4 1948,Fort Wayne Pistons,62,St. Louis Bombers,76,Box Score,,,,St. Louis Arena,
Sat Dec 4 1948,Baltimore Bullets,82,Washington Capitols,83,Box Score,,,,Uline Arena,
Sun Dec 5 1948,Chicago Stags,88,Fort Wayne Pistons,79,Box Score,,,,North Side High School Gym,
Sun Dec 5 1948,St. Louis Bombers,68,Minneapolis Lakers,78,Box Score,,,,Minneapolis Auditorium,
Mon Dec 6 1948,Rochester Royals,87,Boston Celtics,79,Box Score,,5351,,Boston Garden,
Tue Dec 7 1948,Washington Capitols,78,Indianapolis Jets,94,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 7 1948,Providence Steamrollers,90,Rochester Royals,89,Box Score,,,,Edgerton Park Arena,
Wed Dec 8 1948,Baltimore Bullets,83,Philadelphia Warriors,78,Box Score,,,,Philadelphia Arena,
Wed Dec 8 1948,Providence Steamrollers,74,New York Knicks,83,Box Score,OT,,,Madison Square Garden (III),
Wed Dec 8 1948,St. Louis Bombers,60,Fort Wayne Pistons,70,Box Score,,,,North Side High School Gym,
Wed Dec 8 1948,Washington Capitols,94,Minneapolis Lakers,83,Box Score,,,,Minneapolis Auditorium,
Thu Dec 9 1948,Philadelphia Warriors,91,Baltimore Bullets,92,Box Score,,,,Baltimore Coliseum,
Thu Dec 9 1948,New York Knicks,74,Providence Steamrollers,63,Box Score,,,,Rhode Island Auditorium,
Fri Dec 10 1948,Fort Wayne Pistons,70,Chicago Stags,78,Box Score,,,,Chicago Stadium,
Fri Dec 10 1948,Minneapolis Lakers,96,Rochester Royals,75,Box Score,,,,Edgerton Park Arena,
Fri Dec 10 1948,Washington Capitols,83,St. Louis Bombers,88,Box Score,OT,,,Chicago Stadium,at Chicago IL
Sat Dec 11 1948,Baltimore Bullets,71,New York Knicks,72,Box Score,,,,Madison Square Garden (III),
Sat Dec 11 1948,St. Louis Bombers,63,Washington Capitols,87,Box Score,,,,Uline Arena,
Sun Dec 12 1948,New York Knicks,89,Fort Wayne Pistons,78,Box Score,,,,North Side High School Gym,
Sun Dec 12 1948,Rochester Royals,58,Minneapolis Lakers,67,Box Score,,,,Minneapolis Auditorium,
Mon Dec 13 1948,Chicago Stags,75,Baltimore Bullets,70,Box Score,,,,Hinkle Fieldhouse,at Indianapolis IN
Mon Dec 13 1948,St. Louis Bombers,79,Boston Celtics,83,Box Score,OT,3747,,Boston Garden,
Mon Dec 13 1948,New York Knicks,80,Indianapolis Jets,74,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 14 1948,Indianapolis Jets,75,Baltimore Bullets,88,Box Score,,,,Chicago Stadium,at Chicago IL
Tue Dec 14 1948,Rochester Royals,85,Chicago Stags,78,Box Score,,,,Chicago Stadium,
Tue Dec 14 1948,St. Louis Bombers,61,Philadelphia Warriors,74,Box Score,,,,Philadelphia Arena,
Wed Dec 15 1948,Philadelphia Warriors,81,Washington Capitols,92,Box Score,,,,Uline Arena,
Wed Dec 15 1948,Indianapolis Jets,61,Minneapolis Lakers,79,Box Score,,,,Minneapolis Auditorium,
Thu Dec 16 1948,St. Louis Bombers,85,Baltimore Bullets,82,Box Score,OT,,,Baltimore Coliseum,
Thu Dec 16 1948,Fort Wayne Pistons,76,Providence Steamrollers,61,Box Score,,,,Rhode Island Auditorium,
Fri Dec 17 1948,Baltimore Bullets,74,Boston Celtics,63,Box Score,,,,Boston Garden,
Fri Dec 17 1948,Chicago Stags,71,Indianapolis Jets,67,Box Score,,,,Hinkle Fieldhouse,
Fri Dec 17 1948,New York Knicks,78,Philadelphia Warriors,87,Box Score,,,,Philadelphia Arena,
Sat Dec 18 1948,St. Louis Bombers,79,New York Knicks,88,Box Score,,,,Madison Square Garden (III),
Sat Dec 18 1948,Philadelphia Warriors,94,Providence Steamrollers,90,Box Score,,,,Rhode Island Auditorium,
Sat Dec 18 1948,Fort Wayne Pistons,64,Rochester Royals,84,Box Score,,,,Edgerton Park Arena,
Sat Dec 18 1948,Boston Celtics,60,Washington Capitols,69,Box Score,,2540,,Uline Arena,
Sun Dec 19 1948,New York Knicks,75,Boston Celtics,77,Box Score,,5894,,Boston Arena,
Sun Dec 19 1948,Rochester Royals,83,Fort Wayne Pistons,78,Box Score,OT,,,North Side High School Gym,
Sun Dec 19 1948,Chicago Stags,84,Minneapolis Lakers,94,Box Score,,,,Minneapolis Auditorium,
Tue Dec 21 1948,Rochester Royals,84,Indianapolis Jets,71,Box Score,,,,Hinkle Fieldhouse,
Tue Dec 21 1948,Minneapolis Lakers,64,Philadelphia Warriors,72,Box Score,,,,Philadelphia Arena,
Wed Dec 22 1948,Minneapolis Lakers,79,New York Knicks,97,Box Score,,,,Madison Square Garden (III),
Wed Dec 22 1948,Providence Steamrollers,77,Washington Capitols,102,Box Score,,,,Uline Arena,
Thu Dec 23 1948,St. Louis Bombers,109,Providence Steamrollers,99,Box Score,,,,Rhode Island Auditorium,
Thu Dec 23 1948,Chicago Stags,89,Baltimore Bullets,96,Box Score,,,,Baltimore Coliseum,
Thu Dec 23 1948,Fort Wayne Pistons,60,Indianapolis Jets,71,Box Score,,,,Hinkle Fieldhouse,
Sat Dec 25 1948,Chicago Stags,70,New York Knicks,64,Box Score,,,,Madison Square Garden (III),
Sat Dec 25 1948,Boston Celtics,77,Philadelphia Warriors,80,Box Score,,6058,,Philadelphia Arena,
Sat Dec 25 1948,Baltimore Bullets,88,Providence Steamrollers,83,Box Score,,,,Rhode Island Auditorium,
Sat Dec 25 1948,St. Louis Bombers,82,Rochester Royals,90,Box Score,,,,Edgerton Park Arena,
Sat Dec 25 1948,Fort Wayne Pistons,74,Washington Capitols,88,Box Score,,,,Uline Arena,
Sun Dec 26 1948,Indianapolis Jets,65,St. Louis Bombers,75,Box Score,,,,St. Louis Arena,
Sun Dec 26 1948,Rochester Royals,90,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
Sun Dec 26 1948,Washington Capitols,73,Fort Wayne Pistons,91,Box Score,,,,North Side High School Gym,
Sun Dec 26 1948,Boston Celtics,73,Chicago Stags,84,Box Score,,4183,,Chicago Stadium,
Tue Dec 28 1948,Chicago Stags,76,Boston Celtics,74,Box Score,,5327,,Boston Garden,
Wed Dec 29 1948,Providence Steamrollers,98,Baltimore Bullets,88,Box Score,,,,Baltimore Coliseum,
Wed Dec 29 1948,Washington Capitols,68,Minneapolis Lakers,91,Box Score,,,,Minneapolis Auditorium,
Wed Dec 29 1948,Rochester Royals,74,New York Knicks,77,Box Score,,,,Madison Square Garden (III),
Thu Dec 30 1948,Rochester Royals,89,Baltimore Bullets,100,Box Score,,,,Baltimore Coliseum,
Thu Dec 30 1948,Indianapolis Jets,91,Philadelphia Warriors,94,Box Score,,,,Philadelphia Arena,
Thu Dec 30 1948,Chicago Stags,101,Providence Steamrollers,89,Box Score,,,,Rhode Island Auditorium,
Thu Dec 30 1948,Washington Capitols,81,St. Louis Bombers,68,Box Score,,,,St. Louis Arena,
Fri Dec 31 1948,Providence Steamrollers,67,Boston Celtics,69,Box Score,,2140,,Boston Arena,
Sat Jan 1 1949,Fort Wayne Pistons,72,Minneapolis Lakers,92,Box Score,,,,Minneapolis Auditorium,
Sat Jan 1 1949,Philadelphia Warriors,80,New York Knicks,88,Box Score,,,,Madison Square Garden (III),
Sat Jan 1 1949,Indianapolis Jets,78,Providence Steamrollers,77,Box Score,,,,Rhode Island Auditorium,
Sat Jan 1 1949,St. Louis Bombers,83,Rochester Royals,106,Box Score,,,,Edgerton Park Arena,
Sat Jan 1 1949,Chicago Stags,90,Washington Capitols,92,Box Score,,,,Uline Arena,
Sat Jan 1 1949,Boston Celtics,67,Baltimore Bullets,72,Box Score,,,,Baltimore Coliseum,
Sun Jan 2 1949,New York Knicks,79,Chicago Stags,81,Box Score,,,,Chicago Stadium,
Sun Jan 2 1949,Boston Celtics,90,Fort Wayne Pistons,69,Box Score,,3250,,North Side High School Gym,
Sun Jan 2 1949,Rochester Royals,89,St. Louis Bombers,64,Box Score,,,,St. Louis Arena,
Tue Jan 4 1949,Washington Capitols,84,Philadelphia Warriors,78,Box Score,,,,Philadelphia Arena,
Tue Jan 4 1949,Chicago Stags,115,Providence Steamrollers,104,Box Score,,,,Rhode Island Auditorium,at Boston MA
Tue Jan 4 1949,New York Knicks,58,Indianapolis Jets,63,Box Score,,,,Hinkle Fieldhouse,
Tue Jan 4 1949,Baltimore Bullets,69,Boston Celtics,75,Box Score,,,,Boston Arena,
Wed Jan 5 1949,St. Louis Bombers,76,Minneapolis Lakers,101,Box Score,,,,Minneapolis Auditorium,
Wed Jan 5 1949,Baltimore Bullets,88,Washington Capitols,68,Box Score,,,,Uline Arena,
Thu Jan 6 1949,Philadelphia Warriors,88,Baltimore Bullets,93,Box Score,,,,Baltimore Coliseum,
Thu Jan 6 1949,Rochester Royals,62,Indianapolis Jets,73,Box Score,,,,Hinkle Fieldhouse,
Thu Jan 6 1949,Chicago Stags,89,Providence Steamrollers,78,Box Score,,,,Rhode Island Auditorium,
Fri Jan 7 1949,New York Knicks,69,Boston Celtics,67,Box Score,,4862,,Boston Arena,
Sat Jan 8 1949,Fort Wayne Pistons,73,Philadelphia Warriors,67,Box Score,,,,Philadelphia Arena,
Sat Jan 8 1949,Indianapolis Jets,81,Washington Capitols,89,Box Score,,,,Uline Arena,
Sat Jan 8 1949,Minneapolis Lakers,59,St. Louis Bombers,64,Box Score,,,,St. Louis Arena,
Sat Jan 8 1949,Boston Celtics,69,Providence Steamrollers,87,Box Score,,2074,,Rhode Island Auditorium,
Sat Jan 8 1949,Baltimore Bullets,83,New York Knicks,81,Box Score,,,,Madison Square Garden (III),
Sat Jan 8 1949,Chicago Stags,91,Rochester Royals,88,Box Score,,,,Edgerton Park Arena,
Sun Jan 9 1949,Rochester Royals,90,Chicago Stags,75,Box Score,,,,Chicago Stadium,
Sun Jan 9 1949,Indianapolis Jets,78,Fort Wayne Pistons,80,Box Score,,,,North Side High School Gym,
Sun Jan 9 1949,St. Louis Bombers,58,Minneapolis Lakers,74,Box Score,,,,Minneapolis Auditorium,
Mon Jan 10 1949,Washington Capitols,94,Boston Celtics,83,Box Score,,4061,,Boston Garden,
Tue Jan 11 1949,Providence Steamrollers,67,Indianapolis Jets,90,Box Score,,,,Hinkle Fieldhouse,
Tue Jan 11 1949,Philadelphia Warriors,71,Rochester Royals,83,Box Score,,,,Edgerton Park Arena,
Wed Jan 12 1949,Washington Capitols,92,Baltimore Bullets,106,Box Score,,,,Baltimore Coliseum,
Wed Jan 12 1949,Chicago Stags,75,St. Louis Bombers,66,Box Score,,,,St. Louis Arena,
Wed Jan 12 1949,Boston Celtics,64,New York Knicks,81,Box Score,,,,Madison Square Garden (III),
Wed Jan 12 1949,Providence Steamrollers,64,Minneapolis Lakers,98,Box Score,,,,Minneapolis Auditorium,
Thu Jan 13 1949,Rochester Royals,102,Baltimore Bullets,85,Box Score,,,,Baltimore Coliseum,
Fri Jan 14 1949,Philadelphia Warriors,104,Boston Celtics,79,Box Score,,4184,,Boston Garden,
Fri Jan 14 1949,Chicago Stags,88,Indianapolis Jets,61,Box Score,,,,Hinkle Fieldhouse,
Sat Jan 15 1949,New York Knicks,73,Washington Capitols,75,Box Score,,,,Uline Arena,
Sat Jan 15 1949,Providence Steamrollers,76,St. Louis Bombers,79,Box Score,,,,St. Louis Arena,
Sat Jan 15 1949,Baltimore Bullets,87,Philadelphia Warriors,94,Box Score,,,,Philadelphia Arena,
Sat Jan 15 1949,Fort Wayne Pistons,62,Rochester Royals,73,Box Score,,,,Edgerton Park Arena,
Sat Jan 15 1949,Chicago Stags,94,Boston Celtics,86,Box Score,,8500,,Philadelphia Arena,at Philadelphia PA
Sun Jan 16 1949,Washington Capitols,70,Chicago Stags,92,Box Score,,,,Chicago Stadium,
Sun Jan 16 1949,Providence Steamrollers,56,Fort Wayne Pistons,76,Box Score,,,,North Side High School Gym,
Sun Jan 16 1949,Indianapolis Jets,66,Minneapolis Lakers,75,Box Score,,,,Minneapolis Auditorium,
Mon Jan 17 1949,St. Louis Bombers,79,New York Knicks,71,Box Score,,,,Madison Square Garden (III),
Tue Jan 18 1949,St. Louis Bombers,89,Boston Celtics,83,Box Score,,3947,,Boston Garden,
Tue Jan 18 1949,Minneapolis Lakers,81,Indianapolis Jets,56,Box Score,,,,Hinkle Fieldhouse,
Tue Jan 18 1949,Providence Steamrollers,74,Philadelphia Warriors,86,Box Score,,,,Philadelphia Arena,
Wed Jan 19 1949,Fort Wayne Pistons,104,Chicago Stags,96,Box Score,2OT,,,Chicago Stadium,
Wed Jan 19 1949,Rochester Royals,70,Indianapolis Jets,66,Box Score,,,,Chicago Stadium,at Chicago IL
Thu Jan 20 1949,New York Knicks,68,Baltimore Bullets,82,Box Score,,,,Baltimore Coliseum,
Thu Jan 20 1949,Rochester Royals,84,St. Louis Bombers,74,Box Score,,,,St. Louis Arena,
Thu Jan 20 1949,Washington Capitols,88,Providence Steamrollers,81,Box Score,,,,Rhode Island Auditorium,
Thu Jan 20 1949,Chicago Stags,72,Philadelphia Warriors,92,Box Score,,,,Philadelphia Arena,
Thu Jan 20 1949,Fort Wayne Pistons,65,Minneapolis Lakers,83,Box Score,,,,Minneapolis Auditorium,
Fri Jan 21 1949,Chicago Stags,86,Boston Celtics,76,Box Score,,4095,,Boston Garden,
Sat Jan 22 1949,Baltimore Bullets,86,Providence Steamrollers,89,Box Score,,,,Rhode Island Auditorium,
Sat Jan 22 1949,New York Knicks,98,Rochester Royals,103,Box Score,2OT,,,Edgerton Park Arena,
Sat Jan 22 1949,Boston Celtics,64,Washington Capitols,95,Box Score,,3519,,Uline Arena,
Sun Jan 23 1949,Indianapolis Jets,91,St. Louis Bombers,73,Box Score,,,,St. Louis Arena,
Sun Jan 23 1949,Philadelphia Warriors,71,Minneapolis Lakers,89,Box Score,,,,Minneapolis Auditorium,
Sun Jan 23 1949,Rochester Royals,81,Fort Wayne Pistons,80,Box Score,OT,,,North Side High School Gym,
Sun Jan 23 1949,Washington Capitols,97,New York Knicks,93,Box Score,,,,Madison Square Garden (III),
Tue Jan 25 1949,Providence Steamrollers,69,Boston Celtics,54,Box Score,,3713,,Boston Garden,
Tue Jan 25 1949,Philadelphia Warriors,86,Chicago Stags,77,Box Score,,,,Chicago Stadium,
Tue Jan 25 1949,St. Louis Bombers,53,Indianapolis Jets,65,Box Score,,,,Hinkle Fieldhouse,
Wed Jan 26 1949,Washington Capitols,86,Baltimore Bullets,96,Box Score,,,,Baltimore Coliseum,
Wed Jan 26 1949,Philadelphia Warriors,80,Fort Wayne Pistons,88,Box Score,,,,North Side High School Gym,
Wed Jan 26 1949,Chicago Stags,49,Minneapolis Lakers,84,Box Score,,,,Minneapolis Auditorium,
Wed Jan 26 1949,Providence Steamrollers,77,New York Knicks,89,Box Score,,,,Madison Square Garden (III),
Thu Jan 27 1949,New York Knicks,96,Philadelphia Warriors,102,Box Score,,,,Philadelphia Arena,
Thu Jan 27 1949,Providence Steamrollers,95,Baltimore Bullets,89,Box Score,,,,Baltimore Coliseum,
Fri Jan 28 1949,Washington Capitols,90,Boston Celtics,91,Box Score,,4707,,Boston Garden,
Fri Jan 28 1949,St. Louis Bombers,65,Chicago Stags,83,Box Score,,,,Chicago Stadium,
Fri Jan 28 1949,Fort Wayne Pistons,63,Indianapolis Jets,77,Box Score,,,,Hinkle Fieldhouse,
Sat Jan 29 1949,Indianapolis Jets,81,Chicago Stags,87,Box Score,OT,,,St. Louis Arena,at St. Louis MO
Sat Jan 29 1949,Philadelphia Warriors,78,New York Knicks,73,Box Score,,,,Madison Square Garden (III),
Sat Jan 29 1949,Boston Celtics,85,Providence Steamrollers,91,Box Score,OT,3680,,Rhode Island Auditorium,
Sat Jan 29 1949,Baltimore Bullets,86,Rochester Royals,90,Box Score,,,,Edgerton Park Arena,
Sat Jan 29 1949,Fort Wayne Pistons,73,St. Louis Bombers,86,Box Score,,,,St. Louis Arena,
Sun Jan 30 1949,Baltimore Bullets,93,Fort Wayne Pistons,78,Box Score,,,,North Side High School Gym,
Sun Jan 30 1949,Washington Capitols,79,Minneapolis Lakers,84,Box Score,,,,Minneapolis Auditorium,
Tue Feb 1 1949,Washington Capitols,69,Indianapolis Jets,83,Box Score,,,,Hinkle Fieldhouse,
Tue Feb 1 1949,Rochester Royals,76,Boston Celtics,68,Box Score,,10091,,Boston Garden,
Tue Feb 1 1949,Providence Steamrollers,86,Philadelphia Warriors,93,Box Score,,,,Philadelphia Arena,
Wed Feb 2 1949,Baltimore Bullets,67,Chicago Stags,77,Box Score,,,,Chicago Stadium,
Wed Feb 2 1949,Indianapolis Jets,57,Washington Capitols,83,Box Score,,,,Uline Arena,
Wed Feb 2 1949,Minneapolis Lakers,82,Fort Wayne Pistons,79,Box Score,OT,,,North Side High School Gym,
Thu Feb 3 1949,Boston Celtics,76,Baltimore Bullets,84,Box Score,,,,Baltimore Coliseum,
Thu Feb 3 1949,Minneapolis Lakers,78,Philadelphia Warriors,76,Box Score,,,,Philadelphia Arena,
Thu Feb 3 1949,Rochester Royals,80,Providence Steamrollers,88,Box Score,,,,Rhode Island Auditorium,
Thu Feb 3 1949,Washington Capitols,74,St. Louis Bombers,65,Box Score,,,,St. Louis Arena,
Fri Feb 4 1949,Indianapolis Jets,64,Boston Celtics,75,Box Score,,4881,,Boston Garden,
Sat Feb 5 1949,Indianapolis Jets,75,Baltimore Bullets,87,Box Score,,,,Baltimore Coliseum,
Sat Feb 5 1949,Chicago Stags,91,Providence Steamrollers,75,Box Score,,,,Rhode Island Auditorium,
Sat Feb 5 1949,Fort Wayne Pistons,61,Rochester Royals,80,Box Score,,,,Edgerton Park Arena,
Sat Feb 5 1949,New York Knicks,83,Washington Capitols,73,Box Score,,,,Uline Arena,
Sun Feb 6 1949,Washington Capitols,72,Fort Wayne Pistons,82,Box Score,,,,North Side High School Gym,
Sun Feb 6 1949,Rochester Royals,85,Minneapolis Lakers,74,Box Score,,,,Minneapolis Auditorium,
Sun Feb 6 1949,Chicago Stags,87,New York Knicks,75,Box Score,,,,Madison Square Garden (III),
Sun Feb 6 1949,Philadelphia Warriors,77,St. Louis Bombers,74,Box Score,OT,,,St. Louis Arena,
Mon Feb 7 1949,Philadelphia Warriors,73,Indianapolis Jets,90,Box Score,,,,Hinkle Fieldhouse,
Mon Feb 7 1949,Baltimore Bullets,83,Boston Celtics,95,Box Score,,4329,,Boston Garden,
Tue Feb 8 1949,St. Louis Bombers,75,Chicago Stags,73,Box Score,,,,Chicago Stadium,
