--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
110,Saturday Aug 3,boxscore,FLA,@,SDP,W,5,2,,51-59,4,16.5,Brown,Sanders,Nen,2:33,N,55412,.12,+,
111,Sunday Aug 4,boxscore,FLA,@,SDP,L,4,6,,51-60,4,17.5,Valenzuela,Hammond,Hoffman,2:55,D,35302,.16,-,
112,Monday Aug 5,boxscore,FLA,@,COL,W,16,9,,52-60,4,17.0,Hutton,Freeman,,3:05,N,48313,.10,+,
113,Tuesday Aug 6,boxscore,FLA,@,COL,L,0,11,,52-61,4,18.0,Thompson,Burkett,,2:55,N,48339,.12,-,
114,Wednesday Aug 7,boxscore,FLA,@,COL,L,5,12,,52-62,4,19.0,Ritz,Leiter,,3:00,D,48622,.08,--,
115,Thursday Aug 8,boxscore,FLA,,NYM,L,0,3,,52-63,4,19.0,Harnisch,Brown,Franco,2:28,N,21627,.05,---,
116,Friday Aug 9,boxscore,FLA,,NYM,W-wo,2,1,10,53-63,4,18.0,Nen,Henry,,2:49,N,21506,.04,+,
117,Saturday Aug 10,boxscore,FLA,,NYM,W,9,6,,54-63,4,17.0,Rapp,Wilson,Nen,3:11,N,22115,.05,++,
118,Sunday Aug 11,boxscore,FLA,,NYM,L,3,5,,54-64,4,18.0,Clark,Valdes,Franco,2:27,D,21092,.06,-,
119,Tuesday Aug 13,boxscore,FLA,,COL,W,5,0,,55-64,3,18.5,Leiter,Ritz,,2:42,N,26256,.03,+,
120,Wednesday Aug 14,boxscore,FLA,,COL,W,2,1,,56-64,3,17.5,Brown,Leskanic,Nen,2:35,N,26589,.04,++,
121,Thursday Aug 15,boxscore,FLA,,COL,W,7,6,,57-64,3,17.5,Powell,Ruffin,Nen,2:48,N,21723,.06,+++,
122,Friday Aug 16,boxscore,FLA,@,STL,L,2,6,,57-65,3,18.5,Benes,Rapp,,2:39,N,30507,.08,-,1996-08-16 (Site change)
123,Saturday Aug 17,boxscore,FLA,@,STL,L,3,4,,57-66,4,19.5,Mathews,Powell,Eckersley,2:50,D,30792,.06,--,1996-08-17 (Site change)
124,Sunday Aug 18,boxscore,FLA,@,STL,L,3,5,,57-67,4,20.5,Stottlemyre,Leiter,Eckersley,2:52,D,34564,.04,---,1996-08-18 (Site change)
125,Monday Aug 19,boxscore,FLA,@,CHC,W,4,3,,58-67,3,20.0,Brown,Telemaco,Nen,3:04,N,32302,.03,+,
126,Tuesday Aug 20,boxscore,FLA,@,CHC,L,1,8,,58-68,4,21.0,Foster,Hutton,,2:29,D,22119,.03,-,
127,Wednesday Aug 21,boxscore,FLA,@,CHC,L,3,8,,58-69,4,22.0,Castillo,Rapp,,2:37,D,27699,.02,--,
128,Friday Aug 23 (1),boxscore,FLA,,CIN,L,5,6,,58-70,3,22.0,Carrara,Valdes,Brantley,3:12,D,,.01,---,1996-05-29 (Rain)
129,Friday Aug 23 (2),boxscore,FLA,,CIN,W,8,3,,59-70,3,22.0,Leiter,Jarvis,,2:50,N,21497,.01,+,
130,Saturday Aug 24,boxscore,FLA,,CIN,W,5,3,,60-70,3,22.0,Brown,Burba,Nen,2:29,N,33883,.01,++,
131,Sunday Aug 25,boxscore,FLA,,CIN,W-wo,6,5,,61-70,3,21.0,Nen,Smith,,3:24,D,27372,.01,+++,
132,Tuesday Aug 27,boxscore,FLA,@,STL,W,6,3,,62-70,3,20.0,Hutton,Morgan,Nen,2:30,N,24784,.01,++++,
133,Wednesday Aug 28,boxscore,FLA,@,STL,W,3,2,10,63-70,3,20.0,Hammond,Bailey,Nen,3:30,N,21767,.02,+++++,
134,Thursday Aug 29,boxscore,FLA,@,STL,W,10,9,,64-70,3,20.0,Leiter,Stottlemyre,Nen,3:33,N,23105,.02,++++++,
135,Friday Aug 30,boxscore,FLA,@,CIN,W,3,1,,65-70,3,19.5,Brown,Remlinger,,2:52,N,22485,.04,+++++++,
136,Saturday Aug 31,boxscore,FLA,@,CIN,L,8,22,,65-71,3,19.5,Jarvis,Miller,,3:16,N,25196,.05,-,
137,Sunday Sep 1,boxscore,FLA,@,CIN,W,6,1,,66-71,3,18.5,Hutton,Smiley,,2:55,D,25521,.03,+,
138,Monday Sep 2,boxscore,FLA,,CHC,W,4,3,,67-71,3,17.5,Valdes,Trachsel,Nen,2:42,N,16622,.04,++,
139,Tuesday Sep 3,boxscore,FLA,,CHC,L,3,11,,67-72,3,17.5,Navarro,Leiter,,3:13,N,15528,.04,-,
140,Wednesday Sep 4,boxscore,FLA,,CHC,W,9,2,,68-72,3,16.5,Brown,Foster,,2:38,N,14879,.02,+,
141,Thursday Sep 5,boxscore,FLA,,MON,L,2,6,,68-73,3,17.0,Manuel,Rapp,,3:20,N,16080,.03,-,
142,Friday Sep 6,boxscore,FLA,,MON,W,4,0,,69-73,3,17.0,Hutton,Fassero,Powell,2:27,N,16943,.01,+,
143,Saturday Sep 7,boxscore,FLA,,MON,L,1,2,,69-74,3,18.0,Leiter,Valdes,Rojas,3:09,N,25278,.01,-,
144,Sunday Sep 8,boxscore,FLA,,MON,W,2,1,,70-74,3,17.0,Helling,Martínez,Nen,2:31,D,19427,.00,+,
145,Monday Sep 9,boxscore,FLA,@,NYM,L,1,6,,70-75,3,17.5,Mlicki,Brown,,3:18,N,14100,.00,-,
146,Tuesday Sep 10,boxscore,FLA,@,NYM,W,9,3,12,71-75,3,16.5,Powell,Henry,,3:54,N,14746,.00,+,
147,Wednesday Sep 11,boxscore,FLA,@,NYM,L,1,3,,71-76,3,16.5,Isringhausen,Rapp,Wallace,2:24,D,12448,.00,-,
148,Thursday Sep 12,boxscore,FLA,@,MON,L,4,5,,71-77,3,16.5,Veres,Powell,Rojas,2:49,N,9308,.00,--,
149,Friday Sep 13,boxscore,FLA,@,MON,L,2,3,,71-78,3,16.5,Martínez,Helling,Rojas,2:51,N,13723,.00,---,
150,Saturday Sep 14,boxscore,FLA,@,MON,L,2,3,,71-79,3,16.5,Veres,Powell,Rojas,3:09,N,17546,.00,----,
151,Sunday Sep 15,boxscore,FLA,@,MON,W,4,3,,72-79,3,16.5,Leiter,Daal,Nen,3:09,D,26166,.00,+,
152,Tuesday Sep 17,boxscore,FLA,@,PHI,W,11,5,,73-79,3,17.0,Rapp,Beech,,3:09,N,15507,.00,++,
153,Wednesday Sep 18,boxscore,FLA,@,PHI,L,6,8,,73-80,3,18.0,Borland,Miller,Bottalico,3:06,N,17158,.00,-,
154,Friday Sep 20,boxscore,FLA,,HOU,W,3,1,,74-80,3,17.5,Brown,Reynolds,Nen,2:56,N,21518,.00,+,
155,Saturday Sep 21,boxscore,FLA,,HOU,W-wo,2,1,,75-80,3,17.5,Heredia,Wagner,,2:31,N,31023,.00,++,
156,Sunday Sep 22,boxscore,FLA,,HOU,W,6,0,,76-80,3,17.5,Helling,Kile,,2:33,D,17461,.00,+++,
157,Tuesday Sep 24,boxscore,FLA,,ATL,W,12,1,,77-80,3,17.0,Rapp,Avery,,2:35,N,18245,.00,++++,
158,Wednesday Sep 25,boxscore,FLA,,ATL,W,3,0,,78-80,3,16.0,Brown,Glavine,Nen,2:12,N,29178,.00,+++++,
159,Thursday Sep 26,boxscore,FLA,,ATL,W,7,1,,79-80,3,15.0,Leiter,Neagle,,2:15,N,25553,.00,++++++,
160,Friday Sep 27,boxscore,FLA,@,HOU,W,3,2,,80-80,3,15.0,Hutton,Kile,Nen,2:33,N,21725,.00,+++++++,
161,Saturday Sep 28,boxscore,FLA,@,HOU,L,1,5,,80-81,3,16.0,Darwin,Heredia,,3:19,N,21832,.00,-,
162,Sunday Sep 29,boxscore,FLA,@,HOU,L-wo,4,5,10,80-82,3,16.0,Hudek,Hammond,,3:13,D,42658,.00,--,
