--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
62,Thursday Jun 13,boxscore,BAL,@,KCR,L,2,10,,34-28,2,2.0,Linton,Mercker,,2:38,N,20108,1.27,-,
63,Friday Jun 14,boxscore,BAL,@,KCR,W,6,1,,35-28,2,2.0,Mussina,Gubicza,,2:27,N,28502,1.25,+,
64,Saturday Jun 15,boxscore,BAL,@,KCR,L-wo,6,7,16,35-29,2,2.0,Magnante,Krivda,,4:41,N,24784,1.33,-,
65,Sunday Jun 16,boxscore,BAL,@,KCR,W,13,5,,36-29,2,2.0,Coppinger,Jacome,Mills,3:08,N,19437,1.31,+,
66,Monday Jun 17,boxscore,BAL,,TEX,T,1,1,6,36-29,2,1.5,,,,1:30,N,45581,1.37,+,
67,Tuesday Jun 18,boxscore,BAL,,TEX,L,0,7,,36-30,2,2.5,Oliver,Mercker,,2:37,N,47318,1.35,-,
68,Wednesday Jun 19,boxscore,BAL,,TEX,L,2,3,,36-31,2,3.0,Witt,Mussina,Russell,3:24,D,45581,1.32,--,
69,Thursday Jun 20,boxscore,BAL,,TEX,W,3,2,,37-31,2,2.5,Wells,Gross,Myers,2:23,D,21748,1.30,+,
70,Friday Jun 21,boxscore,BAL,,KCR,W,9,3,,38-31,2,3.0,Rhodes,Haney,,2:58,N,47644,1.29,++,
71,Saturday Jun 22,boxscore,BAL,,KCR,W-wo,5,3,,39-31,2,3.0,Erickson,Montgomery,,2:26,D,47534,1.35,+++,
72,Sunday Jun 23,boxscore,BAL,,KCR,L,0,4,,39-32,2,4.0,Appier,Krivda,,2:44,D,47608,1.39,-,
73,Monday Jun 24,boxscore,BAL,@,TEX,W,8,3,,40-32,2,3.0,Mussina,Witt,,3:39,N,39701,1.40,+,
74,Tuesday Jun 25,boxscore,BAL,@,TEX,L,2,5,,40-33,2,3.5,Gross,Wells,Henneman,2:54,N,41685,1.51,-,
75,Wednesday Jun 26,boxscore,BAL,@,TEX,L,5,6,,40-34,2,4.5,Cook,Orosco,Henneman,3:32,N,38984,1.45,--,
76,Thursday Jun 27,boxscore,BAL,@,NYY,L,2,3,,40-35,2,5.5,Rogers,Erickson,Wetteland,2:40,N,34161,1.80,---,
77,Friday Jun 28,boxscore,BAL,@,NYY,W,7,4,,41-35,2,4.5,Rhodes,Rivera,Myers,3:38,N,43515,1.74,+,
78,Saturday Jun 29,boxscore,BAL,@,NYY,L,3,4,,41-36,2,5.5,Pettitte,Mussina,Wetteland,2:47,D,45295,1.89,-,
79,Sunday Jun 30,boxscore,BAL,@,NYY,W,9,1,,42-36,2,4.5,Wells,Mendoza,,2:58,D,40200,1.84,+,
80,Monday Jul 1,boxscore,BAL,@,TOR,W,7,4,,43-36,2,4.5,Coppinger,Hentgen,Myers,2:51,D,43377,1.44,++,
81,Tuesday Jul 2,boxscore,BAL,@,TOR,W,8,2,,44-36,2,4.5,Erickson,Quantrill,,2:54,N,32150,1.46,+++,
82,Wednesday Jul 3,boxscore,BAL,@,TOR,L,2,5,,44-37,2,5.0,Guzmán,Krivda,Timlin,2:38,N,32365,1.49,-,
83,Thursday Jul 4,boxscore,BAL,,BOS,W,8,6,,45-37,2,5.0,Mussina,Wakefield,Myers,3:04,D,47075,1.48,+,
84,Friday Jul 5,boxscore,BAL,,BOS,L,3,7,,45-38,2,6.0,Sele,Wells,,2:47,N,47237,1.51,-,
85,Saturday Jul 6,boxscore,BAL,,BOS,W,4,3,,46-38,2,6.0,Coppinger,Clemens,Myers,3:00,D,47500,1.46,+,
86,Sunday Jul 7,boxscore,BAL,,BOS,L,5,7,,46-39,2,6.0,Hudson,Myers,Slocumb,2:53,N,47532,1.46,-,
87,Thursday Jul 11,boxscore,BAL,,NYY,L,2,4,,46-40,2,7.0,Key,Mussina,Wetteland,2:59,N,46760,1.85,--,
88,Saturday Jul 13 (1),boxscore,BAL,,NYY,L,2,3,,46-41,2,9.0,Nelson,Wells,Wetteland,3:06,D,,1.67,---,1996-07-12 (Rain)
89,Saturday Jul 13 (2),boxscore,BAL,,NYY,L,5,7,,46-42,2,9.0,Gooden,Rhodes,Wetteland,3:28,N,46451,1.48,----,
90,Sunday Jul 14,boxscore,BAL,,NYY,L,1,4,,46-43,2,10.0,Pettitte,Erickson,Wetteland,3:04,D,47658,1.29,-----,
91,Monday Jul 15,boxscore,BAL,,TOR,W-wo,8,6,,47-43,2,9.0,Haynes,Timlin,,2:33,N,43192,.95,+,
92,Tuesday Jul 16,boxscore,BAL,,TOR,L,0,6,,47-44,2,10.0,Guzmán,Mussina,,2:43,N,45851,1.08,-,
93,Wednesday Jul 17,boxscore,BAL,,TOR,W-wo,11,10,,48-44,2,9.0,Coppinger,Timlin,,3:35,N,45955,.90,+,
94,Thursday Jul 18,boxscore,BAL,@,BOS,W,6,3,,49-44,2,8.0,Wells,Sele,Myers,3:26,N,33014,1.06,++,
