--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
144,Monday Sep 9,boxscore,TOR,,TEX,L,3,4,,66-78,4,14.0,Gross,Hentgen,Henneman,2:43,N,25825,.00,-,
145,Tuesday Sep 10,boxscore,TOR,,TEX,L,8,11,,66-79,4,15.0,Oliver,Williams,Henneman,3:00,N,26286,.00,--,
146,Wednesday Sep 11,boxscore,TOR,,TEX,W,8,3,,67-79,4,15.0,Andújar,Vosberg,,2:45,N,27262,.00,+,
147,Friday Sep 13,boxscore,TOR,,NYY,L,1,4,,67-80,4,16.5,Pettitte,Hanson,Wetteland,2:40,N,31227,.00,-,
148,Saturday Sep 14,boxscore,TOR,,NYY,L,1,3,,67-81,4,17.5,Boehringer,Hentgen,Wetteland,2:45,D,43397,.00,--,
149,Sunday Sep 15,boxscore,TOR,,NYY,W,3,1,,68-81,4,16.5,Williams,Mendoza,Timlin,2:24,D,36268,.00,+,
150,Monday Sep 16,boxscore,TOR,,NYY,L,0,10,,68-82,4,17.5,Key,Quantrill,,2:22,N,30115,.00,-,
151,Tuesday Sep 17,boxscore,TOR,@,MIL,L,0,4,,68-83,4,18.0,McDonald,Andújar,,2:27,N,10184,.00,--,
152,Wednesday Sep 18,boxscore,TOR,@,MIL,L-wo,1,2,,68-84,4,19.0,Fetters,Timlin,,2:53,D,9550,.00,---,
153,Friday Sep 20,boxscore,TOR,@,BAL,W,5,1,,69-84,4,18.0,Hentgen,Krivda,Spoljaric,3:16,N,47026,.00,+,
154,Saturday Sep 21,boxscore,TOR,@,BAL,L,3,6,,69-85,4,19.0,Coppinger,Williams,Myers,2:40,N,47270,.00,-,
155,Sunday Sep 22,boxscore,TOR,@,BAL,L,4,5,,69-86,4,20.0,Erickson,Flener,Benítez,2:45,D,46035,.00,--,
156,Monday Sep 23,boxscore,TOR,@,DET,W,6,4,,70-86,4,19.0,Hanson,Sager,Timlin,2:56,N,9678,.00,+,
157,Tuesday Sep 24,boxscore,TOR,@,DET,W,4,1,,71-86,4,18.5,Hentgen,Miller,Timlin,2:52,N,8355,.00,++,
158,Wednesday Sep 25,boxscore,TOR,@,DET,W,13,11,,72-86,4,19.0,Brow,Cummings,Timlin,3:32,D,8055,.00,+++,
159,Thursday Sep 26,boxscore,TOR,,BAL,L,1,4,,72-87,4,19.0,Coppinger,Williams,Benítez,2:10,N,30141,.00,-,
160,Friday Sep 27,boxscore,TOR,,BAL,W,3,2,,73-87,4,18.0,Flener,Erickson,Timlin,2:32,N,30116,.00,+,
161,Saturday Sep 28,boxscore,TOR,,BAL,L,2,3,10,73-88,4,19.0,Myers,Spoljaric,,3:00,D,36316,.00,-,
162,Sunday Sep 29,boxscore,TOR,,BAL,W,4,1,,74-88,4,18.0,Hentgen,Rodríguez,Timlin,2:31,D,38267,.00,+,
