--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
108,Thursday Aug 1 (2),boxscore,STL,@,PHI,W,7,1,,57-51,1,up 0.5,Benes,Mimbs,,2:23,N,22934,1.81,+,
109,Friday Aug 2,boxscore,STL,@,NYM,W,4,3,,58-51,1,up 0.5,Stottlemyre,Jones,Honeycutt,2:45,N,34091,1.88,++,
110,Saturday Aug 3,boxscore,STL,@,NYM,L,4,5,,58-52,2,0.5,Harnisch,Benes,Franco,2:59,N,28594,1.90,-,
111,Sunday Aug 4,boxscore,STL,@,NYM,W,4,2,,59-52,2,0.5,Morgan,Isringhausen,Eckersley,2:21,D,24595,1.88,+,
112,Monday Aug 5,boxscore,STL,,SDP,W,8,2,,60-52,1,Tied,Benes,Tewksbury,,2:49,N,28653,1.92,++,
113,Tuesday Aug 6,boxscore,STL,,SDP,L,0,1,,60-53,1,Tied,Worrell,Osborne,Hoffman,2:43,N,25782,1.92,-,
114,Wednesday Aug 7,boxscore,STL,,SDP,W-wo,1,0,,61-53,1,up 1.0,Petkovsek,Bochtler,,2:34,N,24823,1.92,+,
115,Thursday Aug 8,boxscore,STL,,SFG,L,3,5,10,61-54,1,Tied,Poole,Honeycutt,Beck,3:17,N,34844,1.87,-,
116,Friday Aug 9,boxscore,STL,,SFG,L,6,8,,61-55,2,1.0,Fernández,Morgan,Beck,3:17,N,30118,1.92,--,
117,Saturday Aug 10,boxscore,STL,,SFG,W,7,1,,62-55,2,1.0,Benes,VanLandingham,,2:26,N,49344,1.87,+,
118,Sunday Aug 11,boxscore,STL,,SFG,W,5,3,,63-55,2,1.0,Osborne,Watson,Eckersley,2:31,D,30139,1.94,++,
119,Tuesday Aug 13,boxscore,STL,,LAD,L,4,8,,63-56,2,0.5,Candiotti,Stottlemyre,,2:44,N,30761,2.05,-,
120,Wednesday Aug 14,boxscore,STL,,LAD,W,6,1,,64-56,2,0.5,Benes,Valdez,,2:32,N,26945,1.97,+,
121,Thursday Aug 15,boxscore,STL,,LAD,L,2,5,,64-57,2,1.0,Nomo,Morgan,Worrell,2:47,N,32930,2.08,-,
122,Friday Aug 16,boxscore,STL,,FLA,W,6,2,,65-57,2,1.0,Benes,Rapp,,2:39,N,30507,1.93,+,1996-08-16 (Site change)
123,Saturday Aug 17,boxscore,STL,,FLA,W,4,3,,66-57,1,Tied,Mathews,Powell,Eckersley,2:50,D,30792,2.06,++,1996-08-17 (Site change)
124,Sunday Aug 18,boxscore,STL,,FLA,W,5,3,,67-57,1,up 1.0,Stottlemyre,Leiter,Eckersley,2:52,D,34564,2.07,+++,1996-08-18 (Site change)
125,Tuesday Aug 20,boxscore,STL,@,COL,L-wo,4,5,13,67-58,2,0.5,Munoz,Mathews,,3:52,N,48126,2.15,-,
126,Wednesday Aug 21,boxscore,STL,@,COL,L,2,10,,67-59,2,0.5,Reynoso,Benes,,3:16,N,48045,2.26,--,
127,Thursday Aug 22,boxscore,STL,@,COL,L,5,10,,67-60,2,0.5,Bailey,Morgan,,2:37,D,48086,2.33,---,
128,Friday Aug 23,boxscore,STL,@,HOU,W,1,0,,68-60,1,up 0.5,Osborne,Kile,Eckersley,2:56,N,35554,3.13,+,
129,Saturday Aug 24,boxscore,STL,@,HOU,L-wo,1,3,,68-61,2,0.5,Reynolds,Stottlemyre,,2:42,D,43258,3.25,-,
130,Sunday Aug 25,boxscore,STL,@,HOU,L,1,4,,68-62,2,1.5,Wall,Benes,Hernandez,2:47,N,31609,3.38,--,
131,Monday Aug 26,boxscore,STL,@,HOU,W,3,2,,69-62,2,0.5,Benes,Hampton,Eckersley,3:07,N,21624,3.29,+,
132,Tuesday Aug 27,boxscore,STL,,FLA,L,3,6,,69-63,2,1.5,Hutton,Morgan,Nen,2:30,N,24784,2.28,-,
133,Wednesday Aug 28,boxscore,STL,,FLA,L,2,3,10,69-64,2,2.5,Hammond,Bailey,Nen,3:30,N,21767,2.25,--,
