--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
107,Wednesday Jul 31,boxscore,MIL,,SEA,L,3,9,,52-55,3,13.0,Hitchcock,D'Amico,,2:55,N,30772,.61,-,
108,Thursday Aug 1,boxscore,MIL,,SEA,L,2,9,,52-56,3,13.0,Moyer,McDonald,,3:03,D,18425,.46,--,
109,Friday Aug 2,boxscore,MIL,@,OAK,W,4,3,10,53-56,3,13.0,Miranda,Taylor,Fetters,3:14,N,10056,.33,+,
110,Saturday Aug 3,boxscore,MIL,@,OAK,W,7,0,,54-56,3,12.0,Bones,Johns,,2:38,D,15171,.40,++,
111,Sunday Aug 4,boxscore,MIL,@,OAK,L,2,4,,54-57,3,13.0,Telgheder,Van Egmond,Taylor,2:22,N,10281,.46,-,
112,Monday Aug 5,boxscore,MIL,@,OAK,W,13,3,,55-57,3,12.0,Eldred,Adams,,2:46,D,8616,.40,+,
113,Tuesday Aug 6,boxscore,MIL,,BAL,L,3,13,,55-58,3,13.0,Mussina,McDonald,,2:56,N,17075,.48,-,
114,Wednesday Aug 7,boxscore,MIL,,BAL,L,2,12,,55-59,3,14.0,Erickson,Karl,,2:51,N,20287,.42,--,
115,Thursday Aug 8,boxscore,MIL,,BAL,L,4,6,,55-60,4,15.0,Coppinger,D'Amico,Myers,3:15,D,18620,.29,---,
116,Friday Aug 9 (1),boxscore,MIL,,BOS,L,7,9,,55-61,4,16.5,Suppan,Van Egmond,Slocumb,3:16,N,,.20,----,1996-05-08 (Rain)
117,Friday Aug 9 (2),boxscore,MIL,,BOS,L,1,4,,55-62,4,16.5,Eshelman,Bones,Belinda,2:28,N,19541,.15,-----,
118,Saturday Aug 10,boxscore,MIL,,BOS,L,2,3,,55-63,4,16.5,Wakefield,Eldred,,2:14,N,20297,.10,------,
119,Sunday Aug 11,boxscore,MIL,,BOS,L,0,2,,55-64,4,16.5,Clemens,McDonald,Belinda,2:53,D,19178,.08,-------,
120,Tuesday Aug 13,boxscore,MIL,@,BAL,L,3,4,,55-65,5,17.0,Corbin,Lloyd,Myers,2:53,N,44461,.05,--------,
121,Wednesday Aug 14,boxscore,MIL,@,BAL,L,5,8,,55-66,5,17.0,Milchin,Bones,Myers,3:20,D,47480,.03,---------,
122,Friday Aug 16 (1),boxscore,MIL,,CHW,W,9,7,,56-66,4,16.5,Miranda,Levine,Villone,3:16,N,,.01,+,1996-05-14 (Rain)
123,Friday Aug 16 (2),boxscore,MIL,,CHW,W,3,2,,57-66,4,16.5,Van Egmond,Tapani,Fetters,2:39,N,25529,.03,++,
124,Saturday Aug 17,boxscore,MIL,,CHW,L,2,6,,57-67,5,17.5,Fernandez,McDonald,Hernández,2:59,N,31551,.03,-,
125,Sunday Aug 18,boxscore,MIL,,CHW,W,8,7,,58-67,4,17.5,Miranda,Darwin,Fetters,3:29,D,33094,.01,+,
126,Monday Aug 19,boxscore,MIL,@,MIN,W,6,1,,59-67,4,16.5,D'Amico,Rodriguez,,2:36,N,21879,.02,++,
127,Tuesday Aug 20,boxscore,MIL,@,MIN,L,7,12,,59-68,4,17.5,Parra,Bones,,3:15,N,14630,.02,-,
128,Wednesday Aug 21,boxscore,MIL,@,MIN,W,10,7,,60-68,4,16.5,Jones,Stevens,Fetters,3:25,D,15885,.02,+,
129,Friday Aug 23,boxscore,MIL,@,CLE,W,6,5,11,61-68,4,15.5,Jones,Mesa,Fetters,3:37,N,42405,.03,++,
130,Saturday Aug 24,boxscore,MIL,@,CLE,W,4,3,10,62-68,4,14.5,Wickman,Plunk,Fetters,3:32,D,42437,.06,+++,
131,Sunday Aug 25,boxscore,MIL,@,CLE,L,5,8,,62-69,4,15.5,Shuey,Miranda,Mesa,3:04,D,42335,.09,-,
132,Monday Aug 26,boxscore,MIL,@,CHW,W,3,2,,63-69,4,15.5,Eldred,Álvarez,Jones,3:19,N,19637,.09,+,
133,Tuesday Aug 27,boxscore,MIL,@,CHW,W,4,2,,64-69,4,15.5,Van Egmond,Fernandez,Fetters,2:52,N,15443,.11,++,
134,Wednesday Aug 28,boxscore,MIL,@,CHW,L,0,2,,64-70,4,16.5,Baldwin,McDonald,Hernández,2:26,D,17269,.14,-,
135,Thursday Aug 29,boxscore,MIL,,MIN,L,1,6,,64-71,4,17.0,Rodriguez,Karl,,2:29,N,14922,.06,--,
136,Friday Aug 30,boxscore,MIL,,MIN,W-wo,5,4,12,65-71,4,16.0,Wickman,Parra,,3:58,N,17444,.03,+,
137,Saturday Aug 31,boxscore,MIL,,MIN,W,3,2,,66-71,4,15.0,Jones,Robertson,Fetters,2:59,N,20187,.03,++,
138,Sunday Sep 1,boxscore,MIL,,MIN,L,2,6,,66-72,4,16.0,Aldred,Van Egmond,,2:45,D,17074,.05,-,
139,Monday Sep 2,boxscore,MIL,,CLE,W-wo,7,6,,67-72,4,15.0,Jones,Mesa,,3:29,D,18015,.01,+,
140,Tuesday Sep 3,boxscore,MIL,,CLE,W,8,2,,68-72,4,14.0,Karl,Hershiser,,2:47,N,10599,.02,++,
141,Wednesday Sep 4,boxscore,MIL,,CLE,L,0,7,,68-73,4,15.0,Ogea,D'Amico,,2:36,N,12666,.04,-,
142,Friday Sep 6,boxscore,MIL,,TEX,L,3,7,,68-74,4,15.5,Burkett,Eldred,,3:00,N,16714,.01,--,
143,Saturday Sep 7,boxscore,MIL,,TEX,L,1,2,,68-75,4,16.0,Hill,McDonald,Henneman,3:05,D,19110,.01,---,
144,Sunday Sep 8,boxscore,MIL,,TEX,L,1,7,,68-76,4,16.5,Witt,Florie,,2:27,D,17542,.00,----,
145,Monday Sep 9,boxscore,MIL,@,BOS,W,6,0,,69-76,4,16.5,Karl,Gordon,,2:47,N,22386,.00,+,
146,Tuesday Sep 10,boxscore,MIL,@,BOS,W,11,10,,70-76,4,16.5,García,Hudson,Fetters,3:24,N,20487,.00,++,
147,Wednesday Sep 11,boxscore,MIL,@,BOS,L,1,4,,70-77,4,17.5,Wakefield,Eldred,Slocumb,2:24,N,21310,.00,-,
148,Thursday Sep 12,boxscore,MIL,@,TEX,W,15,4,,71-77,4,17.5,McDonald,Hill,,2:54,N,41303,.00,+,
149,Friday Sep 13,boxscore,MIL,@,TEX,W,6,3,,72-77,4,17.0,D'Amico,Witt,Fetters,3:00,N,39235,.00,++,
150,Saturday Sep 14,boxscore,MIL,@,TEX,W,8,6,,73-77,4,17.5,Karl,Pavlik,Fetters,3:03,N,45901,.00,+++,
151,Sunday Sep 15,boxscore,MIL,@,TEX,L,2,6,,73-78,4,17.5,Oliver,García,Vosberg,2:52,D,45941,.00,-,
152,Tuesday Sep 17,boxscore,MIL,,TOR,W,4,0,,74-78,4,18.0,McDonald,Andújar,,2:27,N,10184,.00,+,
153,Wednesday Sep 18,boxscore,MIL,,TOR,W-wo,2,1,,75-78,4,18.0,Fetters,Timlin,,2:53,D,9550,.00,++,
154,Friday Sep 20,boxscore,MIL,,DET,L,1,10,,75-79,3,18.5,Sager,Karl,,2:55,N,15046,.00,-,
155,Saturday Sep 21,boxscore,MIL,,DET,W,13,6,,76-79,3,18.5,D'Amico,Van Poppel,Villone,3:04,N,33106,.00,+,
156,Sunday Sep 22,boxscore,MIL,,DET,L,5,7,,76-80,3,19.5,Lima,Fetters,,3:36,D,15705,.00,-,
157,Monday Sep 23,boxscore,MIL,@,BAL,W,8,7,10,77-80,3,19.5,Jones,Mathews,Fetters,3:37,D,46542,.00,+,1996-08-12 (Rain)
158,Wednesday Sep 25 (1),boxscore,MIL,@,NYY,L,2,19,,77-81,3,21.5,Cone,Van Egmond,,3:18,D,,.00,-,1996-09-24 (Rain)
159,Wednesday Sep 25 (2),boxscore,MIL,@,NYY,L,2,6,,77-82,3,21.5,Rogers,Karl,,2:52,N,37947,.00,--,
160,Friday Sep 27,boxscore,MIL,@,DET,W,7,6,6,78-82,3,20.5,Wickman,Van Poppel,,1:54,N,8606,.00,+,
161,Saturday Sep 28,boxscore,MIL,@,DET,W,7,2,,79-82,3,20.5,Eldred,Moehler,,3:06,N,12939,.00,++,
162,Sunday Sep 29,boxscore,MIL,@,DET,W,7,5,10,80-82,3,19.5,Reyes,Cummings,Fetters,3:07,D,13038,.00,+++,
