--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
123,Saturday Aug 17,boxscore,BOS,,CAL,W,6,0,,60-63,3,11.0,Clemens,Finley,,2:42,D,32497,.19,+,
124,Sunday Aug 18,boxscore,BOS,,CAL,L,3,4,,60-64,3,11.0,Holtz,Brandenburg,Percival,3:16,N,25224,.26,-,
125,Monday Aug 19,boxscore,BOS,,CAL,W,10,9,,61-64,3,11.0,Lacy,Gohr,Slocumb,3:58,N,25779,.21,+,
126,Tuesday Aug 20,boxscore,BOS,,OAK,W,4,3,,62-64,3,11.0,Garcés,Mohler,Slocumb,2:39,N,25094,.24,++,
127,Wednesday Aug 21,boxscore,BOS,,OAK,W,6,4,,63-64,3,10.0,Brandenburg,Johns,Slocumb,3:05,N,26362,.30,+++,
128,Thursday Aug 22,boxscore,BOS,,OAK,W-wo,2,1,,64-64,3,9.0,Clemens,Acre,,2:41,N,30503,.42,++++,
129,Friday Aug 23,boxscore,BOS,,SEA,L,4,6,,64-65,3,10.0,Bosio,Brandenburg,Ayala,3:13,N,33079,.69,-,
130,Saturday Aug 24,boxscore,BOS,,SEA,W,9,5,,65-65,3,10.0,Lacy,Wells,,3:20,D,32928,.57,+,
131,Sunday Aug 25,boxscore,BOS,,SEA,W,8,5,,66-65,3,9.0,Maddux,Wagner,Slocumb,2:50,D,34377,.70,++,
132,Monday Aug 26,boxscore,BOS,@,CAL,W,4,1,,67-65,3,8.0,Wakefield,Dickson,,2:08,N,16886,.82,+++,
133,Tuesday Aug 27,boxscore,BOS,@,CAL,W,2,1,,68-65,3,7.0,Clemens,Finley,Slocumb,3:11,N,19947,1.05,++++,
134,Wednesday Aug 28,boxscore,BOS,@,CAL,W,7,4,,69-65,3,6.0,Gordon,Boskie,,2:47,N,20894,1.24,+++++,
135,Friday Aug 30,boxscore,BOS,@,OAK,L,0,7,,69-66,3,6.5,Telgheder,Maddux,,2:30,N,17182,1.55,-,
136,Saturday Aug 31,boxscore,BOS,@,OAK,L,0,8,,69-67,3,7.5,Adams,Wakefield,,2:17,N,32116,1.24,--,
137,Sunday Sep 1,boxscore,BOS,@,OAK,W,8,3,,70-67,3,6.5,Sele,Wasdin,,3:02,D,15021,.90,+,
138,Monday Sep 2,boxscore,BOS,@,SEA,W,9,8,10,71-67,3,6.5,Slocumb,Carmona,,3:57,N,24470,1.25,++,
139,Tuesday Sep 3,boxscore,BOS,@,SEA,L,9,11,,71-68,3,6.5,Torres,Gordon,Charlton,2:48,N,17374,1.51,-,
140,Wednesday Sep 4,boxscore,BOS,@,SEA,W,7,5,,72-68,3,6.5,Mahomes,Hitchcock,Slocumb,3:43,N,22642,1.30,+,
141,Friday Sep 6,boxscore,BOS,@,CHW,W,10,3,,73-68,3,6.5,Wakefield,Álvarez,,2:49,N,18417,1.58,++,
142,Saturday Sep 7,boxscore,BOS,@,CHW,L,3,4,,73-69,3,6.5,Fernandez,Clemens,Hernández,2:34,N,28219,2.28,-,
143,Sunday Sep 8,boxscore,BOS,@,CHW,L,4,7,,73-70,3,6.5,Baldwin,Sele,Hernández,2:37,D,19983,1.63,--,
144,Monday Sep 9,boxscore,BOS,,MIL,L,0,6,,73-71,3,7.0,Karl,Gordon,,2:47,N,22386,.82,---,
145,Tuesday Sep 10,boxscore,BOS,,MIL,L,10,11,,73-72,3,8.0,García,Hudson,Fetters,3:24,N,20487,.52,----,
146,Wednesday Sep 11,boxscore,BOS,,MIL,W,4,1,,74-72,3,8.0,Wakefield,Eldred,Slocumb,2:24,N,21310,.32,+,
147,Friday Sep 13,boxscore,BOS,,CHW,W,9,5,,75-72,3,8.5,Clemens,Baldwin,Slocumb,3:30,N,28907,.50,++,
148,Saturday Sep 14,boxscore,BOS,,CHW,L,5,13,,75-73,3,9.5,Castillo,Gordon,Simas,3:28,D,31841,.57,-,
149,Sunday Sep 15,boxscore,BOS,,CHW,W-wo,9,8,,76-73,3,8.5,Slocumb,Hernández,,2:59,D,32452,.18,+,
150,Tuesday Sep 17,boxscore,BOS,@,DET,W,4,2,,77-73,3,8.5,Brandenburg,Lira,Slocumb,3:26,N,8180,.18,++,
151,Wednesday Sep 18,boxscore,BOS,@,DET,W,4,0,,78-73,3,8.5,Clemens,Thompson,,2:56,N,8779,.30,+++,
152,Thursday Sep 19,boxscore,BOS,@,DET,W,8,3,,79-73,3,8.0,Gordon,Miller,,3:22,D,7666,.55,++++,
153,Friday Sep 20,boxscore,BOS,@,NYY,W,4,2,,80-73,3,7.0,Wakefield,Polley,Slocumb,3:20,N,39883,.74,+++++,
154,Saturday Sep 21,boxscore,BOS,@,NYY,L-wo,11,12,10,80-74,3,8.0,Wetteland,Hudson,,4:45,D,54599,1.22,-,
155,Sunday Sep 22,boxscore,BOS,@,NYY,L,3,4,,80-75,3,9.0,Rivera,Sele,Wetteland,2:38,D,34422,.43,--,
156,Monday Sep 23,boxscore,BOS,@,NYY,W,4,3,11,81-75,3,8.0,Slocumb,Boehringer,Mahomes,4:14,N,22728,.13,+,1996-07-03 (Rain)
157,Tuesday Sep 24,boxscore,BOS,,BAL,W,13,8,,82-75,3,7.5,Gordon,Wells,Mahomes,3:39,N,28557,.54,++,
158,Wednesday Sep 25,boxscore,BOS,,BAL,L,2,6,,82-76,3,9.0,Krivda,Wakefield,Benítez,2:27,N,28432,1.09,-,
159,Thursday Sep 26,boxscore,BOS,,NYY,W,5,3,,83-76,3,8.0,Maddux,Key,Slocumb,2:37,N,32367,.04,+,
160,Friday Sep 27,boxscore,BOS,,NYY,W,7,5,,84-76,3,7.0,Sele,Gooden,Slocumb,2:53,N,32573,.00,++,
161,Saturday Sep 28,boxscore,BOS,,NYY,L,2,4,,84-77,3,8.0,Mendoza,Clemens,Wetteland,2:59,D,33612,.00,-,
162,Sunday Sep 29,boxscore,BOS,,NYY,W-wo,6,5,,85-77,3,7.0,Mahomes,Polley,,2:54,D,32563,.00,+,
