--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
90,Thursday Jul 11,boxscore,HOU,@,NYM,L,2,8,,47-43,1,Tied,Clark,Drabek,,2:51,N,18557,1.65,---,
91,Friday Jul 12,boxscore,HOU,@,NYM,W,3,1,,48-43,1,Tied,Reynolds,Jones,Wagner,2:37,N,17405,1.66,+,
92,Sunday Jul 14 (1),boxscore,HOU,@,NYM,W,7,5,11,49-43,2,1.0,Hernandez,Mlicki,Jones,4:06,D,,1.69,++,1996-07-13 (Rain)
93,Sunday Jul 14 (2),boxscore,HOU,@,NYM,L,3,10,,49-44,2,1.0,Harnisch,Hampton,,2:44,N,33505,1.68,-,
94,Monday Jul 15,boxscore,HOU,@,FLA,L,5,15,,49-45,2,2.0,Pall,Wall,,3:04,N,15807,1.69,--,
95,Tuesday Jul 16,boxscore,HOU,@,FLA,L-wo,2,3,,49-46,2,3.0,Pérez,Jones,,2:47,N,15610,1.66,---,
96,Wednesday Jul 17,boxscore,HOU,@,FLA,L,2,11,,49-47,2,4.0,Leiter,Reynolds,,2:58,N,16345,1.64,----,
97,Thursday Jul 18,boxscore,HOU,,ATL,L,2,3,,49-48,2,4.0,Smoltz,Jones,Wohlers,2:27,N,35822,1.53,-----,
98,Friday Jul 19,boxscore,HOU,,ATL,W,7,6,,50-48,2,4.0,Kile,Woodall,Wagner,2:37,N,39090,1.47,+,
99,Saturday Jul 20,boxscore,HOU,,ATL,W-wo,2,1,,51-48,2,3.0,Wagner,Maddux,,2:07,N,49674,1.51,++,
100,Sunday Jul 21,boxscore,HOU,,ATL,W-wo,4,3,10,52-48,2,3.0,Hernandez,McMichael,,3:09,D,45561,1.65,+++,
101,Monday Jul 22,boxscore,HOU,,SDP,W,1,0,,53-48,2,2.0,Reynolds,Hamilton,Wagner,2:16,N,21563,1.72,++++,
102,Tuesday Jul 23,boxscore,HOU,,SDP,L,4,7,,53-49,2,2.0,Sanders,Hampton,Hoffman,3:27,N,19620,1.75,-,
