--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
110,Sunday Aug 4,boxscore,SEA,@,DET,W,9,3,,60-50,2,1.5,Wolcott,Nitkowski,,3:27,D,23569,1.87,+,
111,Tuesday Aug 6,boxscore,SEA,,CLE,L,3,4,,60-51,2,2.0,Lopez,Wells,Mesa,3:07,N,31472,1.94,-,
112,Wednesday Aug 7,boxscore,SEA,,CLE,L,4,5,,60-52,2,2.0,Tavárez,Charlton,Mesa,3:04,N,30431,2.01,--,
113,Thursday Aug 8,boxscore,SEA,,CLE,L,1,2,,60-53,2,2.0,Ogea,Mulholland,Mesa,2:27,D,36822,1.92,---,
114,Friday Aug 9,boxscore,SEA,,MIN,L,5,6,,60-54,2,3.0,Parra,Wolcott,Rodriguez,2:51,N,25130,1.91,----,
115,Saturday Aug 10,boxscore,SEA,,MIN,L,4,10,,60-55,2,4.0,Klingenbeck,Hitchcock,,3:22,N,34381,1.75,-----,
116,Sunday Aug 11,boxscore,SEA,,MIN,L,3,6,,60-56,2,5.0,Radke,Wells,Rodriguez,2:49,D,36114,1.65,------,
117,Monday Aug 12,boxscore,SEA,,KCR,L,4,10,,60-57,2,6.0,Appier,Moyer,Huisman,3:02,N,43476,1.40,-------,
118,Tuesday Aug 13,boxscore,SEA,,KCR,W,9,5,,61-57,2,6.0,Mulholland,Linton,Johnson,2:41,N,21961,1.18,+,
119,Wednesday Aug 14,boxscore,SEA,,KCR,L,1,3,,61-58,2,7.0,Rosado,Wolcott,Montgomery,2:50,N,23709,1.15,-,
120,Friday Aug 16,boxscore,SEA,@,NYY,W,6,5,,62-58,2,7.0,Hitchcock,Polley,Jackson,3:39,N,50724,1.02,+,
121,Saturday Aug 17,boxscore,SEA,@,NYY,W,10,3,,63-58,2,6.0,Moyer,Rogers,,2:44,D,51729,1.19,++,
122,Sunday Aug 18,boxscore,SEA,@,NYY,W,13,12,12,64-58,2,6.0,Ayala,Mecir,Jackson,4:50,D,44769,1.39,+++,
123,Monday Aug 19,boxscore,SEA,@,NYY,L,4,10,,64-59,2,7.0,Pettitte,Carmona,,2:36,N,33994,1.64,-,
124,Tuesday Aug 20,boxscore,SEA,@,BAL,L,1,4,,64-60,2,7.0,Mussina,Wagner,Myers,3:01,N,47679,1.51,--,
125,Wednesday Aug 21,boxscore,SEA,@,BAL,L,5,10,,64-61,2,8.0,Erickson,Hitchcock,,3:19,N,47198,1.44,---,
126,Thursday Aug 22,boxscore,SEA,@,BAL,W,10,3,,65-61,2,8.0,Moyer,Coppinger,,2:48,N,47380,1.29,+,
127,Friday Aug 23,boxscore,SEA,@,BOS,W,6,4,,66-61,2,7.0,Bosio,Brandenburg,Ayala,3:13,N,33079,1.47,++,
128,Saturday Aug 24,boxscore,SEA,@,BOS,L,5,9,,66-62,2,7.0,Lacy,Wells,,3:20,D,32928,1.76,-,
129,Sunday Aug 25,boxscore,SEA,@,BOS,L,5,8,,66-63,2,8.0,Maddux,Wagner,Slocumb,2:50,D,34377,1.70,--,
130,Monday Aug 26,boxscore,SEA,,NYY,W,2,1,,67-63,2,7.5,Ayala,Lloyd,Charlton,2:59,N,32857,1.34,+,
131,Tuesday Aug 27,boxscore,SEA,,NYY,W,7,4,,68-63,2,6.5,Moyer,Lloyd,,2:52,N,32975,1.69,++,
132,Wednesday Aug 28,boxscore,SEA,,NYY,W,10,2,,69-63,2,5.5,Mulholland,Gooden,,3:08,N,30952,1.92,+++,
133,Thursday Aug 29,boxscore,SEA,,BAL,W-wo,9,6,,70-63,2,5.0,Charlton,Myers,,3:20,N,24915,2.59,++++,
134,Friday Aug 30,boxscore,SEA,,BAL,L,2,5,,70-64,2,6.0,Coppinger,Hitchcock,Mills,3:32,N,44532,2.89,-,
135,Saturday Aug 31,boxscore,SEA,,BAL,L,6,7,,70-65,2,7.0,Erickson,Bosio,Benítez,3:32,D,42092,2.50,--,
136,Sunday Sep 1,boxscore,SEA,,BAL,W,5,1,,71-65,2,6.0,Mulholland,Wells,,2:53,N,50015,1.91,+,
137,Monday Sep 2,boxscore,SEA,,BOS,L,8,9,10,71-66,2,6.0,Slocumb,Carmona,,3:57,N,24470,1.83,-,
138,Tuesday Sep 3,boxscore,SEA,,BOS,W,11,9,,72-66,2,6.0,Torres,Gordon,Charlton,2:48,N,17374,1.59,+,
139,Wednesday Sep 4,boxscore,SEA,,BOS,L,5,7,,72-67,2,6.0,Mahomes,Hitchcock,Slocumb,3:43,N,22642,1.85,-,
140,Sunday Sep 8 (1),boxscore,SEA,@,CLE,L,1,2,,72-68,2,7.5,Nagy,Mulholland,,2:26,D,42307,1.44,--,1996-09-06 (Rain)
141,Sunday Sep 8 (2),boxscore,SEA,@,CLE,W,6,5,,73-68,2,7.5,Charlton,Mesa,,3:32,N,42217,.84,+,
142,Tuesday Sep 10,boxscore,SEA,@,KCR,L,2,4,,73-69,2,9.0,Rosado,Torres,Bluma,2:37,N,12499,.88,-,
143,Wednesday Sep 11,boxscore,SEA,@,KCR,L,2,4,,73-70,2,9.0,Linton,Moyer,Bluma,2:31,N,13078,.61,--,
144,Thursday Sep 12,boxscore,SEA,@,KCR,W,8,5,,74-70,2,8.0,Mulholland,Haney,Charlton,2:58,N,15045,.41,+,
145,Friday Sep 13,boxscore,SEA,@,MIN,W,13,7,,75-70,2,7.0,Wells,Miller,,3:22,N,15510,.63,++,
146,Saturday Sep 14,boxscore,SEA,@,MIN,W,5,3,10,76-70,2,6.0,Ayala,Guardado,Charlton,2:40,D,18002,.86,+++,
147,Sunday Sep 15,boxscore,SEA,@,MIN,W,7,0,,77-70,2,6.0,Torres,Robertson,,2:37,D,25142,.91,++++,
148,Monday Sep 16,boxscore,SEA,,TEX,W,6,0,,78-70,2,5.0,Moyer,Burkett,,2:48,N,50544,1.24,+++++,
149,Tuesday Sep 17,boxscore,SEA,,TEX,W,5,2,,79-70,2,4.0,Mulholland,Hill,Ayala,2:40,N,32279,1.84,++++++,
150,Wednesday Sep 18,boxscore,SEA,,TEX,W,5,2,,80-70,2,3.0,Hitchcock,Witt,Charlton,2:58,N,35162,2.58,+++++++,
151,Thursday Sep 19,boxscore,SEA,,TEX,W,7,6,,81-70,2,2.0,Davis,Cook,Charlton,3:09,D,39769,3.88,++++++++,
152,Friday Sep 20,boxscore,SEA,,OAK,W,12,2,,82-70,2,1.0,Carmona,Wengert,Meacham,3:12,N,56535,3.62,+++++++++,
153,Saturday Sep 21,boxscore,SEA,,OAK,W,9,2,,83-70,2,1.0,Moyer,Telgheder,,3:04,N,56103,4.57,++++++++++,
154,Sunday Sep 22,boxscore,SEA,,OAK,L,11,13,,83-71,2,2.0,Mohler,Mulholland,Taylor,3:22,D,54194,4.73,-,
155,Monday Sep 23,boxscore,SEA,@,CAL,L,3,4,,83-72,2,2.0,Finley,Hitchcock,Percival,2:37,N,16212,3.93,--,
156,Tuesday Sep 24,boxscore,SEA,@,CAL,L,6,11,,83-73,2,3.0,Springer,Wells,,3:05,N,18891,4.01,---,
157,Wednesday Sep 25,boxscore,SEA,@,CAL,W,11,2,,84-73,2,2.5,Torres,Boskie,,3:21,D,17160,3.27,+,
158,Thursday Sep 26,boxscore,SEA,@,OAK,L,5,7,,84-74,2,3.5,Taylor,Charlton,,3:14,D,11141,3.80,-,
159,Friday Sep 27,boxscore,SEA,@,OAK,L,1,8,,84-75,2,3.5,Telgheder,Mulholland,,2:45,N,25132,.68,--,
160,Saturday Sep 28,boxscore,SEA,@,OAK,W,5,3,10,85-75,2,3.5,Carmona,Acre,Charlton,3:28,D,30057,.00,+,
161,Sunday Sep 29,boxscore,SEA,@,OAK,L,1,3,,85-76,2,4.5,Small,Torres,Taylor,2:00,D,34462,.00,-,
