--- When using SR data, please cite us and provide a link and/or a mention.


 
Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
57,Friday Jun 7,boxscore,MIN,,OAK,L,4,6,,28-29,3,9.5,Reyes,Radke,Corsi,3:36,N,14999,.71,-,
58,Saturday Jun 8 (1),boxscore,MIN,,OAK,W,4,2,,29-29,3,10.0,Robertson,Wojciechowski,Guardado,2:37,D,,.65,+,
59,Saturday Jun 8 (2),boxscore,MIN,,OAK,L,7,13,,29-30,3,10.0,Wasdin,Mahomes,,3:31,N,22164,.70,-,
60,Sunday Jun 9,boxscore,MIN,,OAK,W,5,3,,30-30,3,9.0,Rodriguez,Wengert,,2:43,N,13291,.58,+,
61,Monday Jun 10,boxscore,MIN,,SEA,W,13,6,,31-30,3,9.0,Aldred,Wagner,Trombley,2:51,N,17134,.67,++,
62,Tuesday Jun 11,boxscore,MIN,,SEA,L,8,18,,31-31,3,10.0,Wells,Aguilera,Hurtado,3:17,N,14395,.71,-,
63,Wednesday Jun 12,boxscore,MIN,,SEA,L,3,5,,31-32,3,10.0,Wolcott,Radke,Charlton,2:59,N,15830,.66,--,
64,Friday Jun 14,boxscore,MIN,,DET,L,4,5,,31-33,3,10.5,Gohr,Robertson,Olson,3:08,N,22831,.53,---,
65,Saturday Jun 15,boxscore,MIN,,DET,L,4,6,,31-34,4,11.5,Olivares,Rodriguez,Olson,2:46,N,17099,.43,----,
66,Sunday Jun 16,boxscore,MIN,,DET,W,4,1,,32-34,3,10.5,Aguilera,Lira,Hansell,2:43,D,20641,.40,+,
67,Monday Jun 17,boxscore,MIN,@,NYY,W,6,3,,33-34,3,10.0,Aldred,Mendoza,Naulty,3:13,N,16189,.48,++,
68,Tuesday Jun 18,boxscore,MIN,@,NYY,L,0,2,,33-35,4,11.0,Rogers,Radke,Wetteland,2:04,N,17593,.58,-,
69,Thursday Jun 20,boxscore,MIN,@,DET,W,7,3,,34-35,3,11.5,Rodriguez,Olivares,,3:16,N,8310,.49,+,
70,Friday Jun 21,boxscore,MIN,@,DET,L,0,2,,34-36,4,11.0,Lira,Aguilera,,2:17,N,13127,.57,-,
71,Saturday Jun 22,boxscore,MIN,@,DET,L,0,6,,34-37,4,11.0,Williams,Aldred,,2:29,D,14506,.55,--,
72,Sunday Jun 23,boxscore,MIN,@,DET,L,8,10,,34-38,4,11.0,Urbani,Radke,,3:15,D,13994,.49,---,
73,Monday Jun 24,boxscore,MIN,,NYY,W,3,0,,35-38,4,10.5,Robertson,Pettitte,,2:40,N,20488,.48,+,
74,Tuesday Jun 25 (1),boxscore,MIN,,NYY,W,6,1,,36-38,4,11.0,Rodriguez,Boehringer,,2:56,D,,.51,++,1996-06-19 (Rain; Site change)
75,Tuesday Jun 25 (2),boxscore,MIN,,NYY,L,2,6,,36-39,4,11.0,Mendoza,Serafini,,2:52,N,16641,.59,-,
76,Wednesday Jun 26,boxscore,MIN,,NYY,L,1,2,,36-40,4,11.0,Polley,Guardado,Wetteland,3:00,D,19116,.47,--,
77,Friday Jun 28,boxscore,MIN,@,KCR,L,2,6,,36-41,4,10.5,Appier,Radke,,2:28,N,21515,.41,---,
78,Saturday Jun 29,boxscore,MIN,@,KCR,W,12,7,,37-41,4,10.5,Trombley,Linton,,3:26,N,23232,.36,+,
79,Sunday Jun 30,boxscore,MIN,@,KCR,W,5,2,,38-41,4,10.5,Rodriguez,Gubicza,Stevens,2:15,D,28246,.41,++,
80,Monday Jul 1,boxscore,MIN,@,CHW,W,10,7,,39-41,4,9.5,Aguilera,Sirotka,,3:04,N,19211,.59,+++,
81,Tuesday Jul 2,boxscore,MIN,@,CHW,L,4,7,,39-42,4,10.5,Fernandez,Aldred,Hernández,2:56,N,18357,.68,-,
82,Wednesday Jul 3,boxscore,MIN,@,CHW,W,6,5,,40-42,4,10.5,Radke,Andújar,Stevens,3:16,N,26113,.53,+,
83,Thursday Jul 4,boxscore,MIN,,KCR,L,3,5,,40-43,4,10.5,Linton,Robertson,Montgomery,2:58,N,37295,.54,-,
84,Friday Jul 5,boxscore,MIN,,KCR,W-wo,9,8,,41-43,4,9.5,Guardado,Montgomery,,2:56,N,18465,.44,+,
85,Saturday Jul 6,boxscore,MIN,,KCR,L,5,8,,41-44,4,9.5,Haney,Aguilera,Montgomery,2:40,N,18699,.50,-,
86,Sunday Jul 7,boxscore,MIN,,KCR,L,2,8,,41-45,4,10.5,Belcher,Aldred,,2:42,N,14251,.44,--,
87,Thursday Jul 11,boxscore,MIN,,CLE,L,7,11,,41-46,4,11.5,McDowell,Radke,,3:09,N,16438,.43,---,
88,Friday Jul 12,boxscore,MIN,,CLE,L,5,7,,41-47,4,12.5,Mesa,Stevens,Shuey,3:12,N,18246,.36,----,
89,Saturday Jul 13,boxscore,MIN,,CLE,L,11,19,,41-48,4,13.5,Ogea,Aguilera,,3:38,N,31552,.26,-----,
90,Sunday Jul 14,boxscore,MIN,,CLE,W-wo,5,4,,42-48,4,12.5,Guardado,Plunk,,2:55,D,25312,.20,+,
91,Monday Jul 15,boxscore,MIN,,CHW,W,16,5,,43-48,4,11.5,Aldred,McCaskill,,2:43,N,13636,.25,++,
92,Tuesday Jul 16,boxscore,MIN,,CHW,L,2,11,,43-49,4,12.5,Álvarez,Radke,,2:53,N,18502,.33,-,
93,Wednesday Jul 17,boxscore,MIN,,CHW,W-wo,4,3,,44-49,4,11.5,Trombley,Simas,,2:51,D,20755,.24,+,
94,Thursday Jul 18,boxscore,MIN,@,CLE,L-wo,4,5,,44-50,4,12.5,Graves,Guardado,,3:00,N,40934,.28,-,
95,Friday Jul 19,boxscore,MIN,@,CLE,W,3,2,,45-50,4,11.5,Rodriguez,Nagy,Naulty,3:02,N,42373,.21,+,
96,Saturday Jul 20,boxscore,MIN,@,CLE,L-wo,5,6,11,45-51,4,12.5,Shuey,Stevens,,3:59,D,43433,.31,-,
97,Sunday Jul 21,boxscore,MIN,@,CLE,L,5,7,,45-52,4,13.5,McDowell,Radke,Shuey,2:54,N,42341,.27,--,
98,Monday Jul 22,boxscore,MIN,@,BAL,W,9,5,,46-52,4,13.5,Robertson,Haynes,Trombley,2:47,N,42129,.18,+,
99,Tuesday Jul 23,boxscore,MIN,@,BAL,W,3,2,,47-52,4,12.5,Aguilera,Wells,Naulty,2:59,N,42006,.23,++,
100,Wednesday Jul 24,boxscore,MIN,@,BAL,W,11,4,,48-52,4,12.5,Rodriguez,Erickson,,2:54,N,46181,.30,+++,
101,Thursday Jul 25,boxscore,MIN,,BOS,W,16,6,,49-52,4,12.5,Parra,Wakefield,,2:58,N,13924,.34,++++,
102,Friday Jul 26,boxscore,MIN,,BOS,W,5,1,,50-52,3,12.5,Radke,Clemens,,2:43,N,17768,.45,+++++,
103,Saturday Jul 27,boxscore,MIN,,BOS,L,5,9,,50-53,3,12.5,Gordon,Naulty,,3:14,N,22128,.47,-,
104,Sunday Jul 28,boxscore,MIN,,BOS,W,9,8,,51-53,3,12.5,Aguilera,Sele,Naulty,3:02,D,17448,.44,+,
105,Tuesday Jul 30,boxscore,MIN,,BAL,L,4,16,,51-54,4,12.5,Coppinger,Rodriguez,,3:01,N,16708,.51,-,
106,Wednesday Jul 31,boxscore,MIN,,BAL,L,3,9,,51-55,4,13.5,Mussina,Trombley,,2:55,N,15897,.40,--,
107,Thursday Aug 1,boxscore,MIN,,BAL,L,2,4,,51-56,4,13.5,Wells,Robertson,Myers,2:39,D,20379,.31,---,
108,Friday Aug 2,boxscore,MIN,@,BOS,L-wo,10,11,,51-57,4,14.5,Brandenburg,Naulty,,3:20,N,28041,.21,----,
109,Saturday Aug 3 (1),boxscore,MIN,@,BOS,L,3,6,,51-58,4,14.0,Sele,Rodriguez,Hudson,2:30,D,19860,.17,-----,1996-04-10 (Snow)
110,Saturday Aug 3 (2),boxscore,MIN,@,BOS,W,6,0,,52-58,4,14.0,Aldred,Suppan,,2:32,N,29135,.13,+,
111,Sunday Aug 4,boxscore,MIN,@,BOS,L,6,13,,52-59,4,15.0,Eshelman,Klingenbeck,,2:49,D,29939,.15,-,
112,Tuesday Aug 6,boxscore,MIN,@,CAL,W,4,1,,53-59,4,14.5,Radke,Springer,Guardado,3:01,N,20058,.12,+,
113,Wednesday Aug 7,boxscore,MIN,@,CAL,W,4,0,,54-59,4,14.5,Robertson,Finley,,2:25,N,18611,.17,++,
114,Thursday Aug 8,boxscore,MIN,@,CAL,W,13,5,,55-59,3,14.5,Aguilera,Boskie,,3:15,D,21283,.19,+++,
115,Friday Aug 9,boxscore,MIN,@,SEA,W,6,5,,56-59,3,14.5,Parra,Wolcott,Rodriguez,2:51,N,25130,.29,++++,
116,Saturday Aug 10,boxscore,MIN,@,SEA,W,10,4,,57-59,3,13.5,Klingenbeck,Hitchcock,,3:22,N,34381,.35,+++++,
117,Sunday Aug 11,boxscore,MIN,@,SEA,W,6,3,,58-59,3,12.5,Radke,Wells,Rodriguez,2:49,D,36114,.46,++++++,
118,Monday Aug 12,boxscore,MIN,@,OAK,L,1,11,,58-60,3,13.5,Prieto,Robertson,,2:32,N,10071,.50,-,
119,Tuesday Aug 13,boxscore,MIN,@,OAK,W,6,2,,59-60,3,12.5,Aguilera,Wengert,,2:46,N,11156,.37,+,
120,Wednesday Aug 14,boxscore,MIN,@,OAK,W,13,7,,60-60,3,11.5,Rodriguez,Telgheder,,2:49,D,12729,.41,++,
121,Friday Aug 16,boxscore,MIN,,TOR,W-wo,5,4,10,61-60,3,11.5,Parra,Quantrill,,3:25,N,19838,.49,+++,
122,Saturday Aug 17,boxscore,MIN,,TOR,W,11,1,,62-60,3,11.5,Robertson,Hanson,,2:57,N,20354,.62,++++,
123,Sunday Aug 18,boxscore,MIN,,TOR,L,2,6,,62-61,3,12.5,Hentgen,Aguilera,,2:31,D,18010,.69,-,
124,Monday Aug 19,boxscore,MIN,,MIL,L,1,6,,62-62,3,12.5,D'Amico,Rodriguez,,2:36,N,21879,.61,--,
125,Tuesday Aug 20,boxscore,MIN,,MIL,W,12,7,,63-62,3,12.5,Parra,Bones,,3:15,N,14630,.43,+,
126,Wednesday Aug 21,boxscore,MIN,,MIL,L,7,10,,63-63,3,12.5,Jones,Stevens,Fetters,3:25,D,15885,.55,-,
127,Thursday Aug 22,boxscore,MIN,,TEX,L,2,11,,63-64,3,13.0,Hill,Robertson,,3:00,N,17342,.47,--,
128,Friday Aug 23,boxscore,MIN,,TEX,W,9,2,,64-64,3,12.0,Aguilera,Oliver,,2:59,N,16166,.41,+,
129,Saturday Aug 24,boxscore,MIN,,TEX,W,6,5,,65-64,3,11.0,Rodriguez,Pavlik,Trombley,3:06,N,16648,.59,++,
130,Sunday Aug 25,boxscore,MIN,,TEX,L,2,13,,65-65,3,12.0,Witt,Miller,,2:37,D,14818,.73,-,
131,Monday Aug 26,boxscore,MIN,@,TOR,L,3,5,,65-66,3,13.0,Guzmán,Radke,Timlin,2:30,N,31134,.62,--,
132,Tuesday Aug 27,boxscore,MIN,@,TOR,W,6,4,11,66-66,3,13.0,Trombley,Quantrill,,3:20,N,30033,.46,+,
133,Wednesday Aug 28,boxscore,MIN,@,TOR,L,1,6,,66-67,3,14.0,Hentgen,Aguilera,,2:30,N,30106,.56,-,
134,Thursday Aug 29,boxscore,MIN,@,MIL,W,6,1,,67-67,3,13.5,Rodriguez,Karl,,2:29,N,14922,.41,+,
135,Friday Aug 30,boxscore,MIN,@,MIL,L-wo,4,5,12,67-68,3,13.5,Wickman,Parra,,3:58,N,17444,.57,-,
136,Saturday Aug 31,boxscore,MIN,@,MIL,L,2,3,,67-69,3,13.5,Jones,Robertson,Fetters,2:59,N,20187,.39,--,
137,Sunday Sep 1,boxscore,MIN,@,MIL,W,6,2,,68-69,3,13.5,Aldred,Van Egmond,,2:45,D,17074,.24,+,
138,Monday Sep 2,boxscore,MIN,@,TEX,W,6,4,,69-69,3,12.5,Aguilera,Hill,Guardado,3:17,N,24786,.31,++,
139,Tuesday Sep 3,boxscore,MIN,@,TEX,L,7,9,,69-70,3,12.5,Witt,Rodriguez,Henneman,2:59,N,28401,.41,-,
140,Wednesday Sep 4,boxscore,MIN,@,TEX,W,7,6,,70-70,3,12.5,Robertson,Heredia,Trombley,2:40,N,29744,.29,+,
141,Friday Sep 6,boxscore,MIN,,CAL,W,6,2,,71-70,3,12.0,Radke,Finley,,2:43,N,13006,.31,++,
142,Saturday Sep 7,boxscore,MIN,,CAL,W,6,3,,72-70,3,11.5,Stevens,Boskie,Trombley,2:55,N,51011,.47,+++,
143,Sunday Sep 8,boxscore,MIN,,CAL,L,2,4,,72-71,3,12.0,Abbott,Rodriguez,Percival,2:43,D,14378,.56,-,
144,Tuesday Sep 10,boxscore,MIN,,OAK,L,0,7,,72-72,3,13.5,Telgheder,Robertson,,2:38,N,9676,.26,--,
145,Wednesday Sep 11,boxscore,MIN,,OAK,W,7,2,,73-72,3,13.5,Radke,Adams,,2:49,N,9493,.16,+,
146,Thursday Sep 12,boxscore,MIN,,OAK,W-wo,4,3,12,74-72,3,13.5,Stevens,Mohler,,3:22,N,9712,.20,++,
147,Friday Sep 13,boxscore,MIN,,SEA,L,7,13,,74-73,3,14.0,Wells,Miller,,3:22,N,15510,.33,-,
148,Saturday Sep 14,boxscore,MIN,,SEA,L,3,5,10,74-74,3,15.5,Ayala,Guardado,Charlton,2:40,D,18002,.16,--,
149,Sunday Sep 15,boxscore,MIN,,SEA,L,0,7,,74-75,3,15.5,Torres,Robertson,,2:37,D,25142,.04,---,
150,Monday Sep 16,boxscore,MIN,@,KCR,L,5,6,,74-76,3,16.5,Rosado,Radke,Bluma,2:43,N,16843,.01,----,
151,Tuesday Sep 17,boxscore,MIN,@,KCR,L,2,4,,74-77,3,17.5,Haney,Aldred,Bluma,2:37,N,11809,.00,-----,
152,Wednesday Sep 18,boxscore,MIN,@,KCR,W,7,4,,75-77,3,17.5,Miller,Belcher,,2:39,N,11588,.00,+,
153,Thursday Sep 19,boxscore,MIN,@,CHW,L,3,8,,75-78,3,18.5,Sirotka,Rodriguez,Castillo,2:30,N,14253,.00,-,
154,Friday Sep 20,boxscore,MIN,@,CHW,L,3,7,,75-79,3,18.5,Tapani,Robertson,,2:19,N,15673,.00,--,
155,Saturday Sep 21,boxscore,MIN,@,CHW,W,4,3,,76-79,3,18.5,Radke,Álvarez,Trombley,3:06,D,18866,.00,+,
156,Sunday Sep 22,boxscore,MIN,@,CHW,L,1,5,,76-80,3,19.5,Fernandez,Aldred,,2:10,D,20111,.00,-,
157,Monday Sep 23,boxscore,MIN,@,CLE,L,6,7,,76-81,4,20.5,Graves,Parra,Mesa,3:13,N,42299,.00,--,
158,Tuesday Sep 24,boxscore,MIN,@,CLE,L,5,7,,76-82,4,21.5,Ogea,Rodriguez,Mesa,3:07,N,42272,.00,---,
159,Wednesday Sep 25,boxscore,MIN,@,CLE,L,3,6,,76-83,4,22.5,Nagy,Robertson,,2:25,N,42469,.00,----,
160,Friday Sep 27,boxscore,MIN,,CHW,L,2,4,,76-84,4,22.5,Fernandez,Radke,Hernández,3:03,N,13058,.00,-----,
161,Saturday Sep 28,boxscore,MIN,,CHW,W-wo,7,6,,77-84,4,22.5,Trombley,Castillo,,3:26,N,34008,.00,+,
162,Sunday Sep 29,boxscore,MIN,,CHW,W-wo,5,4,10,78-84,4,21.5,Guardado,Hernández,,2:46,D,13306,.00,++,
