--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
23,Miami (FL),Big East,9,3,.750,6,1,.857,30.7,17.5,11.20,2.53,12,6,14,
24,Syracuse,Big East,9,3,.750,6,1,.857,36.4,17.3,16.99,2.82,10,9,21,
25,West Virginia,Big East,8,4,.667,4,3,.571,22.6,13.0,8.88,1.46,,12,,
26,Pitt,Big East,4,7,.364,3,4,.429,19.5,39.1,-3.94,4.33,,,,
27,Boston College,Big East,5,7,.417,2,5,.286,22.0,30.3,-2.07,3.60,,,,
28,Rutgers,Big East,2,9,.182,1,6,.143,13.0,34.5,-10.47,3.90,,,,
29,Temple,Big East,1,10,.091,0,7,.000,19.8,35.1,-10.87,2.31,,,,
30,Ohio State,Big Ten,11,1,.917,7,1,.875,37.9,10.9,22.45,6.95,9,2,2,
31,Northwestern,Big Ten,9,3,.750,7,1,.875,28.0,23.2,8.75,2.84,18,10,15,
32,Penn State,Big Ten,11,2,.846,6,2,.750,30.8,15.6,16.97,4.43,11,3,7,
33,Iowa,Big Ten,9,3,.750,6,2,.750,28.3,20.3,13.65,5.32,22,18,18,
34,Michigan,Big Ten,8,4,.667,5,3,.625,23.1,15.3,13.03,7.12,14,6,20,
35,Michigan State,Big Ten,6,6,.500,5,3,.625,29.8,25.2,8.66,5.16,,,,
36,Wisconsin,Big Ten,8,5,.615,3,5,.375,29.0,18.7,8.99,2.07,,,,
37,Purdue,Big Ten,3,8,.273,2,6,.250,17.6,29.5,-0.09,9.00,,,,
38,Minnesota,Big Ten,4,7,.364,1,7,.125,21.5,30.9,-0.04,6.41,,,,
39,Indiana,Big Ten,3,8,.273,1,7,.125,22.0,26.5,-0.50,5.59,,,,
40,Illinois,Big Ten,2,9,.182,1,7,.125,17.3,33.8,-4.52,6.49,,,,
41,Nevada,Big West,9,3,.750,4,1,.800,42.9,23.2,1.49,-11.42,,,,
42,Utah State,Big West,6,5,.545,4,1,.800,30.0,30.8,-4.92,-5.01,,,,
43,Idaho,Big West,6,5,.545,3,2,.600,34.0,26.9,-8.09,-11.91,,,,
44,North Texas,Big West,5,6,.455,3,2,.600,14.6,26.6,-12.67,-6.49,,,,
45,Boise State,Big West,2,10,.167,1,4,.200,20.0,38.3,-22.78,-10.20,,,,
46,New Mexico State,Big West,1,10,.091,0,5,.000,15.1,36.0,-22.25,-7.79,,,,
47,Southern Mississippi,CUSA,8,3,.727,4,1,.800,26.1,22.5,9.23,3.32,,20,,
48,Houston,CUSA,7,5,.583,4,1,.800,30.1,28.4,3.68,2.43,,,,
49,Cincinnati,CUSA,6,5,.545,2,3,.400,20.7,19.3,1.05,-1.05,,,,
50,Louisville,CUSA,5,6,.455,2,3,.400,16.5,18.6,0.27,1.90,,,,
51,Memphis,CUSA,4,7,.364,2,3,.400,12.8,19.9,-2.85,3.78,,,,
52,Tulane,CUSA,2,9,.182,1,4,.200,19.4,24.4,-2.38,4.08,,,,
53,Army,Ind,10,2,.833,,,,31.6,18.7,8.49,-4.26,,22,25,
54,Navy,Ind,9,3,.750,,,,32.7,25.8,4.17,-2.33,,,,
55,East Carolina,Ind,8,3,.727,,,,28.7,19.5,8.17,-0.47,,,,
56,Notre Dame,Ind,8,3,.727,,,,37.0,16.5,16.07,4.16,6,5,19,
57,Louisiana Tech,Ind,6,5,.545,,,,31.9,31.1,-6.24,-8.42,,,,
58,Louisiana,Ind,5,6,.455,,,,27.6,36.7,-5.34,0.75,,,,
59,Louisiana-Monroe,Ind,5,6,.455,,,,17.5,32.1,-13.98,-6.43,,,,
60,UAB,Ind,5,6,.455,,,,24.2,25.4,-10.19,-8.00,,,,
61,UCF,Ind,5,6,.455,,,,25.2,23.7,-7.97,-7.97,,,,
62,Arkansas State,Ind,4,7,.364,,,,24.7,33.2,-12.42,-7.87,,,,
63,Northern Illinois,Ind,1,10,.091,,,,14.3,36.4,-25.59,-8.13,,,,
64,Ball State,MAC,8,4,.667,7,1,.875,24.7,17.5,-3.41,-8.83,,,,
65,Toledo,MAC,7,4,.636,6,2,.750,19.1,23.5,-11.08,-10.36,,,,
66,Miami (OH),MAC,6,5,.545,6,2,.750,24.8,15.3,-3.03,-8.12,,,,
67,Ohio,MAC,6,6,.500,5,3,.625,25.2,19.8,-6.09,-7.84,,,,
68,Central Michigan,MAC,5,6,.455,4,4,.500,31.9,32.1,-11.61,-10.97,,,,
69,Akron,MAC,4,7,.364,3,5,.375,15.9,24.5,-16.69,-10.60,,,,
70,Bowling Green,MAC,4,7,.364,3,5,.375,16.0,21.8,-13.30,-9.03,,,,
71,Eastern Michigan,MAC,3,8,.273,3,5,.375,19.1,25.8,-14.11,-7.84,,,,
72,Western Michigan,MAC,2,9,.182,2,6,.250,18.9,27.6,-19.04,-9.40,,,,
73,Kent State,MAC,2,9,.182,1,7,.125,23.2,44.7,-22.06,-9.97,,,,
74,Arizona State,Pac-10,11,1,.917,8,0,1.000,40.7,18.0,19.92,3.59,20,2,4,
75,Washington,Pac-10,9,3,.750,7,1,.875,32.6,21.2,15.02,5.94,,12,16,
76,Stanford,Pac-10,7,5,.583,5,3,.625,20.6,19.1,6.05,3.97,,,,
77,UCLA,Pac-10,5,6,.455,4,4,.500,30.0,28.9,6.12,6.94,,,,
78,Oregon,Pac-10,6,5,.545,3,5,.375,34.4,32.4,4.46,3.55,,25,,
79,California,Pac-10,6,6,.500,3,5,.375,31.8,33.9,1.23,2.82,,19,,
80,USC,Pac-10,6,6,.500,3,5,.375,27.1,22.3,8.23,6.23,7,7,,
81,Arizona,Pac-10,5,6,.455,3,5,.375,28.2,25.5,4.80,3.25,,,,
82,Washington State,Pac-10,5,6,.455,3,5,.375,28.5,28.8,1.41,2.32,,,,
83,Oregon State,Pac-10,2,9,.182,1,7,.125,19.6,35.3,-12.04,1.23,,,,
84,Florida,SEC (East),12,1,.923,8,0,1.000,47.0,17.0,23.60,5.30,4,1,1,
85,Tennessee,SEC (East),10,2,.833,7,1,.875,36.4,15.4,16.12,2.78,2,2,9,
86,South Carolina,SEC (East),6,5,.545,4,4,.500,22.3,21.6,5.14,4.60,,,,
87,Georgia,SEC (East),5,6,.455,3,5,.375,20.9,23.4,4.83,6.01,,,,
88,Kentucky,SEC (East),4,7,.364,3,5,.375,12.5,29.3,-3.31,6.42,,,,
89,Vanderbilt,SEC (East),2,9,.182,0,8,.000,11.1,21.3,-3.42,5.40,,,,
90,LSU,SEC (West),10,2,.833,6,2,.750,27.9,17.5,10.25,1.50,19,11,12,
91,Alabama,SEC (West),10,3,.769,6,2,.750,24.3,15.0,12.51,4.20,15,7,11,
92,Auburn,SEC (West),8,4,.667,4,4,.500,33.2,23.1,9.66,2.49,17,13,24,
93,Mississippi State,SEC (West),5,6,.455,3,5,.375,22.6,20.8,0.76,1.12,,,,
94,Ole Miss,SEC (West),5,6,.455,2,6,.250,18.5,24.5,-2.93,-0.21,,,,
95,Arkansas,SEC (West),4,7,.364,2,6,.250,15.8,24.3,-0.78,4.77,,,,
96,BYU,WAC (Mountain),14,1,.933,9,0,1.000,39.3,18.5,13.65,-3.02,,5,5,
97,Utah,WAC (Mountain),8,4,.667,6,2,.750,26.1,25.8,0.17,-1.66,,20,,
98,Rice,WAC (Mountain),7,4,.636,6,2,.750,26.9,28.4,3.88,1.06,,,,
99,SMU,WAC (Mountain),5,6,.455,4,4,.500,22.4,24.3,-2.48,-1.11,,,,
100,New Mexico,WAC (Mountain),6,5,.545,3,5,.375,30.1,25.5,-2.19,-6.10,,,,
101,Texas Christian,WAC (Mountain),4,7,.364,3,5,.375,19.2,27.5,-10.32,-3.04,,,,
102,Tulsa,WAC (Mountain),4,7,.364,2,6,.250,22.3,30.3,-7.92,-0.64,,,,
103,UTEP,WAC (Mountain),2,9,.182,0,8,.000,16.6,28.5,-17.71,-5.71,,,,
104,Wyoming,WAC (Pacific),10,2,.833,7,1,.875,38.7,23.7,5.92,-5.08,,16,22,
105,San Diego State,WAC (Pacific),8,3,.727,6,2,.750,38.9,27.5,3.76,-4.87,,,,
106,Colorado State,WAC (Pacific),7,5,.583,6,2,.750,31.7,28.0,2.87,-1.88,,,,
107,Air Force,WAC (Pacific),6,5,.545,5,3,.625,32.7,21.0,5.24,-0.76,,,,
108,Fresno State,WAC (Pacific),4,7,.364,3,5,.375,24.3,31.3,-7.85,-3.31,,,,
109,San Jose State,WAC (Pacific),3,9,.250,3,5,.375,18.4,37.3,-14.59,-1.26,,,,
110,Hawaii,WAC (Pacific),2,10,.167,1,7,.125,13.4,36.1,-16.77,-2.27,,,,
111,Nevada-Las Vegas,WAC (Pacific),1,11,.083,1,8,.111,23.0,45.9,-14.29,0.71,,,,
