--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
49,Ohio State,Big Ten,12,2,.857,9,0,1.000,33.4,9.3,23.08,6.22,3,1,5,
50,Oregon,Big Ten,13,2,.867,8,1,.889,36.9,17.9,20.60,7.20,7,2,4,
51,Michigan,Big Ten,9,4,.692,7,2,.778,27.5,20.4,11.03,5.88,14,14,21,
52,USC,Big Ten,9,4,.692,7,2,.778,35.8,23.0,14.71,6.17,,16,20,
53,Iowa,Big Ten,9,4,.692,6,3,.667,29.3,16.1,13.86,4.40,,17,17,
54,Illinois,Big Ten,9,4,.692,5,4,.556,29.4,23.6,11.79,6.18,12,9,,
55,Washington,Big Ten,9,4,.692,5,4,.556,34.1,18.7,13.00,3.31,,24,,
56,Minnesota,Big Ten,8,5,.615,5,4,.556,23.0,22.9,2.86,2.79,,,,
57,Nebraska,Big Ten,7,6,.538,4,5,.444,28.7,24.6,2.22,3.37,,25,,
58,Northwestern,Big Ten,7,6,.538,4,5,.444,23.4,19.8,5.13,2.83,,,,
59,Penn State,Big Ten,7,6,.538,3,6,.333,31.0,20.5,10.12,4.43,2,2,,
60,UCLA,Big Ten,3,9,.250,3,6,.333,18.2,33.4,-1.01,9.16,,,,
61,Rutgers,Big Ten,5,7,.417,2,7,.222,28.7,31.8,2.46,5.46,,,,
62,Wisconsin,Big Ten,4,8,.333,2,7,.222,12.8,21.6,2.23,9.40,,,,
63,Maryland,Big Ten,4,8,.333,1,8,.111,23.5,26.5,-0.91,2.09,,,,
64,Michigan State,Big Ten,4,8,.333,1,8,.111,24.6,29.9,-0.95,4.47,,,,
65,Purdue,Big Ten,2,10,.167,0,9,.000,18.8,31.8,-2.58,8.01,,,,
66,Kennesaw State,CUSA,10,4,.714,7,1,.875,26.7,25.5,-1.34,-4.84,,,,
67,Jacksonville State,CUSA,9,5,.643,7,1,.875,28.1,25.2,-4.74,-8.02,,,,
68,Western Kentucky,CUSA,9,4,.692,6,2,.750,29.5,22.8,-2.89,-7.97,,,,
69,Louisiana Tech,CUSA,8,5,.615,5,3,.625,27.3,20.8,-3.11,-7.03,,,,
70,Florida International,CUSA,7,6,.538,5,3,.625,28.5,30.0,-6.68,-6.30,,,,
71,Missouri State,CUSA,7,6,.538,5,3,.625,25.6,28.8,-5.34,-5.19,,,,
72,Delaware,CUSA,7,6,.538,4,4,.500,29.0,31.0,-8.16,-7.63,,,,
73,Liberty,CUSA,4,8,.333,3,5,.375,25.6,26.5,-7.33,-5.91,,,,
74,New Mexico State,CUSA,4,8,.333,2,6,.250,21.6,27.6,-12.40,-7.49,,,,
75,Middle Tennessee State,CUSA,3,9,.250,2,6,.250,22.4,30.9,-16.28,-8.03,,,,
76,Sam Houston,CUSA,2,10,.167,1,7,.125,17.8,37.8,-19.94,-5.60,,,,
77,UTEP,CUSA,2,10,.167,1,7,.125,23.3,30.4,-14.63,-7.21,,,,
78,Notre Dame,Ind,10,2,.833,,,,42.0,17.6,21.85,5.35,6,6,10,
79,Connecticut,Ind,9,4,.692,,,,35.3,27.0,-1.96,-7.73,,,,
80,Washington State,Ind,7,6,.538,,,,22.5,20.2,4.78,0.70,,,,
81,Oregon State,Ind,2,10,.167,,,,18.2,29.4,-10.51,0.41,,,,
82,Western Michigan,MAC,10,4,.714,7,1,.875,24.9,17.4,0.46,-5.97,,,,
83,Ohio,MAC,9,4,.692,6,2,.750,27.8,21.9,-1.71,-7.10,,,,
84,Toledo,MAC,8,5,.615,6,2,.750,30.8,13.3,3.78,-6.46,,,,
85,Miami (OH),MAC,7,7,.500,6,2,.750,23.5,21.7,-5.05,-5.62,,,,
86,Central Michigan,MAC,7,6,.538,5,3,.625,22.5,23.5,-5.84,-6.92,,,,
87,Akron,MAC,5,7,.417,4,4,.500,22.3,27.4,-12.67,-10.25,,,,
88,Buffalo,MAC,5,7,.417,4,4,.500,24.0,23.5,-10.08,-9.33,,,,
89,Kent State,MAC,5,7,.417,4,4,.500,21.3,33.6,-11.91,-6.08,,,,
90,Ball State,MAC,4,8,.333,3,5,.375,15.8,29.8,-15.80,-5.97,,,,
91,Eastern Michigan,MAC,4,8,.333,3,5,.375,24.1,29.8,-13.08,-7.42,,,,
92,Bowling Green,MAC,4,8,.333,2,6,.250,20.5,24.3,-12.50,-7.67,,,,
93,Northern Illinois,MAC,3,9,.250,2,6,.250,17.1,24.3,-14.25,-7.08,,,,
94,Massachusetts,MAC,0,12,.000,0,8,.000,11.1,38.6,-26.55,-5.88,,,,
95,Boise State,MWC,9,5,.643,6,2,.750,29.9,24.1,3.69,-1.10,25,25,,
96,Nevada-Las Vegas,MWC,10,4,.714,6,2,.750,34.1,28.0,-0.12,-6.05,,,,
97,New Mexico,MWC,9,4,.692,6,2,.750,27.1,22.3,0.67,-4.64,,,,
98,San Diego State,MWC,9,4,.692,6,2,.750,26.4,15.4,3.48,-5.06,,,,
99,Fresno State,MWC,9,4,.692,5,3,.625,25.8,18.8,-0.82,-6.36,,,,
100,Hawaii,MWC,9,4,.692,5,3,.625,29.0,24.1,-0.17,-5.71,,,,
101,Utah State,MWC,6,7,.462,4,4,.500,30.9,28.7,-2.75,-2.06,,,,
102,Air Force,MWC,4,8,.333,3,5,.375,29.8,30.3,-6.35,-4.18,,,,
103,Wyoming,MWC,4,8,.333,2,6,.250,16.0,20.5,-10.09,-4.92,,,,
104,Nevada,MWC,3,9,.250,2,6,.250,17.6,27.5,-13.55,-3.96,,,,
105,San Jose State,MWC,3,9,.250,2,6,.250,21.4,32.5,-13.03,-3.78,,,,
106,Colorado State,MWC,2,10,.167,1,7,.125,18.5,30.8,-12.63,-0.71,,,,
107,Georgia,SEC,12,2,.857,7,1,.875,32.1,17.6,17.33,4.40,5,2,6,
108,Ole Miss,SEC,13,2,.867,7,1,.875,36.9,21.1,16.20,4.93,21,3,3,
109,Texas A&M,SEC,11,2,.846,7,1,.875,33.8,21.0,17.62,5.39,19,3,8,
110,Alabama,SEC,11,4,.733,7,1,.875,29.5,19.2,13.30,7.44,8,4,9,
111,Oklahoma,SEC,10,3,.769,6,2,.750,26.2,15.5,13.18,5.02,18,5,13,
112,Texas,SEC,10,3,.769,6,2,.750,30.5,20.3,12.48,4.55,1,1,12,
113,Vanderbilt,SEC,10,3,.769,6,2,.750,38.5,22.8,14.67,2.97,,9,15,
114,Missouri,SEC,8,5,.615,4,4,.500,30.2,18.9,8.96,2.65,,14,,
115,Tennessee,SEC,8,5,.615,4,4,.500,39.8,28.8,9.08,2.31,24,11,,
116,LSU,SEC,7,6,.538,3,5,.375,22.8,19.8,7.00,5.62,9,3,,
117,Kentucky,SEC,5,7,.417,2,6,.250,23.0,26.4,2.06,5.39,,,,
118,Florida,SEC,4,8,.333,2,6,.250,21.6,24.0,3.79,8.46,15,13,,
119,Auburn,SEC,5,7,.417,1,7,.125,26.8,20.7,6.84,3.92,,22,,
120,Mississippi State,SEC,5,8,.385,1,7,.125,30.4,30.2,1.84,4.84,,,,
121,South Carolina,SEC,4,8,.333,1,7,.125,22.7,22.1,3.92,5.84,13,10,,
122,Arkansas,SEC,2,10,.167,0,8,.000,32.9,33.8,2.18,6.85,,,,
123,James Madison,Sun Belt (East),12,2,.857,8,0,1.000,37.1,18.4,10.60,-2.55,,19,19,
124,Old Dominion,Sun Belt (East),10,3,.769,6,2,.750,32.0,18.5,6.87,-3.14,,,,
125,Coastal Carolina,Sun Belt (East),6,7,.462,5,3,.625,22.2,33.1,-7.02,-3.02,,,,
126,Georgia Southern,Sun Belt (East),7,6,.538,4,4,.500,27.9,32.3,-5.44,-3.52,,,,
127,Marshall,Sun Belt (East),5,7,.417,3,5,.375,30.8,30.3,-4.05,-4.05,,,,
128,Appalachian State,Sun Belt (East),5,8,.385,2,6,.250,24.2,29.8,-9.21,-5.59,,,,
129,Georgia State,Sun Belt (East),1,11,.083,0,8,.000,19.8,37.8,-13.77,-0.44,,,,
130,Troy,Sun Belt (West),8,6,.571,6,2,.750,23.5,23.9,-4.02,-4.24,,,,
131,Arkansas State,Sun Belt (West),7,6,.538,5,3,.625,25.2,27.4,-4.98,-5.28,,,,
132,Southern Mississippi,Sun Belt (West),7,6,.538,5,3,.625,28.8,27.4,-4.64,-6.33,,,,
133,Louisiana,Sun Belt (West),6,7,.462,5,3,.625,26.0,29.2,-6.94,-5.55,,,,
134,Texas State,Sun Belt (West),7,6,.538,3,5,.375,36.5,29.0,0.20,-5.34,,,,
135,South Alabama,Sun Belt (West),4,8,.333,3,5,.375,26.5,30.4,-9.12,-4.29,,,,
136,Louisiana-Monroe,Sun Belt (West),3,9,.250,1,7,.125,16.6,31.9,-14.36,-3.78,,,,
