--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
26,Miami (FL),Big East,5,6,.455,3,4,.429,28.5,25.9,-1.22,-3.31,13,13,,
27,Boston College,Big East,4,7,.364,3,4,.429,21.5,28.5,-8.28,-2.65,,,,
28,Temple,Big East,3,8,.273,3,4,.429,19.3,33.7,-12.92,-2.46,,,,
29,Rutgers,Big East,0,11,.000,0,7,.000,17.4,45.1,-22.06,-2.97,,,,
30,Michigan,Big Ten,12,0,1.000,8,0,1.000,26.8,9.5,20.14,4.47,14,1,1,
31,Ohio State,Big Ten,10,3,.769,6,2,.750,30.3,13.1,17.41,4.18,9,4,12,
32,Penn State,Big Ten,9,3,.750,6,2,.750,30.5,21.2,10.31,2.40,1,1,16,
33,Purdue,Big Ten,9,3,.750,6,2,.750,33.0,22.3,8.49,1.07,,15,15,
34,Wisconsin,Big Ten,8,5,.615,5,3,.625,22.4,23.5,1.66,1.58,24,23,,
35,Iowa,Big Ten,7,5,.583,4,4,.500,34.3,13.3,8.77,-0.81,21,11,,
36,Michigan State,Big Ten,7,5,.583,4,4,.500,28.5,19.8,9.47,4.05,25,11,,
37,Northwestern,Big Ten,5,7,.417,3,5,.375,20.3,24.0,2.56,4.48,,21,,
38,Minnesota,Big Ten,3,9,.250,1,7,.125,19.8,27.8,-5.78,2.39,,,,
39,Indiana,Big Ten,2,9,.182,1,7,.125,10.9,32.6,-7.23,5.41,,,,
40,Illinois,Big Ten,0,11,.000,0,8,.000,10.8,33.5,-12.97,5.40,,,,
41,Utah State,Big West,6,6,.500,4,1,.800,32.4,24.7,-2.37,-6.46,,,,
42,Nevada,Big West,5,6,.455,4,1,.800,32.1,29.1,-3.07,-3.44,,,,
43,Boise State,Big West,4,7,.364,3,2,.600,25.9,32.5,-12.80,-8.62,,,,record adjusted to 5-6-0 by NCAA
44,Idaho,Big West,5,6,.455,2,3,.400,27.5,23.9,-10.89,-12.16,,,,
45,North Texas,Big West,4,7,.364,2,3,.400,21.1,30.1,-13.68,-7.23,,,,
46,New Mexico State,Big West,2,9,.182,0,5,.000,20.1,36.2,-22.01,-9.64,,,,
47,Southern Mississippi,CUSA,9,3,.750,6,0,1.000,28.1,17.5,8.62,-0.38,,19,19,
48,Tulane,CUSA,7,4,.636,5,1,.833,34.1,20.5,3.70,-3.85,,,,
49,East Carolina,CUSA,5,6,.455,4,2,.667,19.5,27.1,-3.07,0.39,,,,
50,Cincinnati,CUSA,8,4,.667,2,4,.333,26.8,21.0,1.41,-4.68,,,,
51,Memphis,CUSA,4,7,.364,2,4,.333,19.8,22.1,-6.12,-3.39,,,,
52,Houston,CUSA,3,8,.273,2,4,.333,19.6,37.3,-11.52,0.39,,,,
53,Louisville,CUSA,1,10,.091,0,6,.000,22.3,37.0,-14.89,-1.25,,,,
54,Louisiana Tech,Ind,9,2,.818,,,,33.1,25.5,0.59,-6.96,,,,
55,Navy,Ind,7,4,.636,,,,36.2,19.0,2.27,-9.64,,,,
56,Notre Dame,Ind,7,6,.538,,,,21.7,20.4,6.62,5.31,11,11,,
57,UAB,Ind,5,6,.455,,,,20.2,21.6,-11.48,-9.93,,,,
58,UCF,Ind,5,6,.455,,,,34.0,27.5,3.16,0.25,,,,
59,Louisiana-Monroe,Ind,5,7,.417,,,,18.8,26.6,-8.33,-3.08,,,,
60,Army,Ind,4,7,.364,,,,20.1,28.3,-12.52,-6.16,,,,
61,Arkansas State,Ind,2,9,.182,,,,18.2,35.8,-22.77,-9.77,,,,
62,Louisiana,Ind,1,10,.091,,,,16.0,50.3,-21.36,-3.26,,,,
63,Marshall,MAC (East),10,3,.769,7,1,.875,37.2,19.9,7.55,-6.22,,,,
64,Miami (OH),MAC (East),8,3,.727,6,2,.750,37.5,20.5,7.51,-5.85,,,,
65,Ohio,MAC (East),8,3,.727,6,2,.750,27.4,16.1,1.50,-6.32,,,,
66,Bowling Green,MAC (East),3,8,.273,3,5,.375,17.4,31.0,-9.26,0.02,,,,
67,Kent State,MAC (East),3,8,.273,3,5,.375,30.6,44.5,-16.15,-4.60,,,,
68,Akron,MAC (East),2,9,.182,2,7,.222,19.8,39.5,-13.11,-0.29,,,,
69,Toledo,MAC (West),9,3,.750,7,1,.875,29.7,22.3,2.28,-4.55,,18,,
70,Western Michigan,MAC (West),8,3,.727,6,2,.750,27.4,24.1,-3.44,-7.81,,,,
71,Ball State,MAC (West),5,6,.455,4,4,.500,21.7,23.6,-7.74,-5.83,,,,
72,Eastern Michigan,MAC (West),4,7,.364,4,5,.444,29.9,32.0,-9.06,-5.15,,,,
73,Central Michigan,MAC (West),2,9,.182,1,7,.125,25.6,43.5,-16.29,-4.56,,,,
74,Northern Illinois,MAC (West),0,11,.000,0,8,.000,11.7,34.7,-19.37,-1.19,,,,
75,UCLA,Pac-10,10,2,.833,7,1,.875,39.8,20.6,19.12,6.20,,5,5,
76,Washington State,Pac-10,10,2,.833,7,1,.875,40.3,24.7,14.21,4.71,,8,9,
77,Arizona State,Pac-10,9,3,.750,6,2,.750,27.0,17.5,12.43,3.85,,12,14,
78,Washington,Pac-10,8,4,.667,5,3,.625,35.0,21.6,18.65,8.07,4,2,18,
79,Arizona,Pac-10,7,5,.583,4,4,.500,26.4,26.0,7.91,6.66,,,,
80,USC,Pac-10,6,5,.545,4,4,.500,21.2,21.2,10.22,8.76,22,22,,
81,Oregon,Pac-10,7,5,.583,3,5,.375,31.7,29.2,9.29,6.62,,,,
82,Stanford,Pac-10,5,6,.455,3,5,.375,25.1,28.8,4.64,7.55,18,16,,
83,California,Pac-10,3,8,.273,1,7,.125,26.8,30.8,1.24,6.15,,,,
84,Oregon State,Pac-10,3,8,.273,0,8,.000,17.7,25.9,-3.58,5.15,,,,
85,Tennessee,SEC (East),11,2,.846,7,1,.875,32.9,22.0,20.87,10.56,5,3,7,
86,Florida,SEC (East),10,2,.833,6,2,.750,35.8,17.1,21.07,8.90,2,1,4,
87,Georgia,SEC (East),10,2,.833,6,2,.750,31.7,16.3,17.42,5.59,,7,10,
88,South Carolina,SEC (East),5,6,.455,3,5,.375,23.5,25.4,6.85,8.94,,,,
89,Kentucky,SEC (East),5,6,.455,2,6,.250,31.6,32.9,3.58,5.76,,,,
90,Vanderbilt,SEC (East),3,8,.273,0,8,.000,12.5,18.5,-1.07,4.75,,,,
91,Auburn,SEC (West),10,3,.769,6,2,.750,26.2,19.2,16.33,9.87,16,6,11,
92,LSU,SEC (West),9,3,.750,6,2,.750,31.1,15.7,14.18,4.76,10,8,13,
93,Ole Miss,SEC (West),8,4,.667,4,4,.500,22.3,20.0,11.83,8.25,,22,22,
94,Mississippi State,SEC (West),7,4,.636,4,4,.500,20.5,19.5,9.00,6.09,,15,,
95,Alabama,SEC (West),4,7,.364,2,6,.250,22.4,22.5,5.55,6.82,15,11,,
96,Arkansas,SEC (West),4,7,.364,2,6,.250,16.5,25.8,2.60,8.87,,,,
97,New Mexico,WAC (Mountain),9,4,.692,6,2,.750,31.1,21.1,1.92,-5.93,,,,
98,Rice,WAC (Mountain),7,4,.636,5,3,.625,27.8,25.9,-1.02,-3.57,,,,
99,SMU,WAC (Mountain),6,5,.545,5,3,.625,22.5,21.5,-0.33,-2.33,,,,
100,Utah,WAC (Mountain),6,5,.545,5,3,.625,23.0,18.2,-2.66,-4.66,,,,
101,BYU,WAC (Mountain),6,5,.545,4,4,.500,22.7,23.1,-1.95,-2.22,19,19,,
102,UTEP,WAC (Mountain),4,7,.364,3,5,.375,14.7,28.3,-11.91,-3.91,,,,
103,Tulsa,WAC (Mountain),2,9,.182,2,6,.250,23.5,38.7,-12.69,-0.50,,,,
104,Texas Christian,WAC (Mountain),1,10,.091,1,7,.125,15.6,29.5,-16.04,-2.58,,,,
105,Colorado State,WAC (Pacific),11,2,.846,7,1,.875,36.7,15.6,11.31,-2.85,,17,17,record adjusted to 12-1-0 by NCAA
106,Air Force,WAC (Pacific),10,3,.769,6,2,.750,21.5,14.6,2.85,-4.38,,18,,
107,Fresno State,WAC (Pacific),6,6,.500,5,3,.625,26.5,24.0,-1.27,-3.19,,,,
108,Wyoming,WAC (Pacific),7,6,.538,4,4,.500,24.8,17.5,2.06,-2.79,,,,record adjusted to 8-5-0 by NCAA
109,San Diego State,WAC (Pacific),5,7,.417,4,4,.500,21.4,27.8,-3.88,1.37,,,,
110,San Jose State,WAC (Pacific),4,7,.364,4,4,.500,20.5,35.2,-10.83,-1.65,,,,
111,Nevada-Las Vegas,WAC (Pacific),3,8,.273,2,6,.250,25.5,30.2,-9.60,-3.69,,,,
112,Hawaii,WAC (Pacific),3,9,.250,1,7,.125,15.8,25.7,-10.44,-3.36,,,,
