--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
50,Louisville,CUSA,7,5,.583,4,2,.667,36.9,30.4,4.36,-0.31,,,,
51,Memphis,CUSA,5,6,.455,4,2,.667,21.1,16.5,3.97,2.43,,,,
52,UAB,CUSA,5,6,.455,4,2,.667,22.5,25.4,-0.72,2.01,,,,
53,Houston,CUSA,7,4,.636,3,3,.500,23.1,19.2,0.90,-1.74,,,,
54,Army,CUSA,3,8,.273,1,5,.167,20.5,28.8,-8.88,-0.61,,,,
55,Tulane,CUSA,3,8,.273,1,5,.167,25.4,36.3,-7.46,-0.10,,,,
56,Cincinnati,CUSA,3,8,.273,0,6,.000,25.0,26.3,-2.52,0.57,,,,
57,Louisiana Tech,Ind,8,3,.727,,,,35.4,27.8,4.47,-1.89,,25,,
58,Louisiana-Monroe,Ind,5,6,.455,,,,16.9,29.3,-9.61,-4.52,,,,
59,Navy,Ind,5,7,.417,,,,27.2,25.5,-1.69,-3.27,,,,
60,Notre Dame,Ind,5,7,.417,,,,29.0,27.6,6.59,6.84,18,16,,
61,UCF,Ind,4,7,.364,,,,25.2,28.9,-5.49,-2.49,,,,
62,Middle Tennessee State,Ind,3,8,.273,,,,24.7,34.5,-16.80,-7.62,,,,
63,Louisiana,Ind,2,9,.182,,,,18.5,37.7,-18.07,-4.80,,,,
64,Marshall,MAC (East),13,0,1.000,8,0,1.000,35.6,10.5,9.76,-8.62,,10,10,
65,Miami (OH),MAC (East),7,4,.636,6,2,.750,30.5,24.0,-4.83,-9.46,,,,
66,Akron,MAC (East),7,4,.636,5,3,.625,28.6,28.5,-7.63,-9.63,,,,
67,Ohio,MAC (East),5,6,.455,5,3,.625,24.6,26.1,-11.25,-8.71,,,,
68,Bowling Green,MAC (East),5,6,.455,3,5,.375,26.9,28.4,-10.13,-9.13,,,,
69,Kent State,MAC (East),2,9,.182,2,6,.250,19.4,34.2,-17.05,-6.68,,,,
70,Buffalo,MAC (East),0,11,.000,0,8,.000,11.8,38.7,-29.23,-9.14,,,,
71,Western Michigan,MAC (West),7,5,.583,6,2,.750,31.1,28.5,-5.09,-7.84,,,,
72,Toledo,MAC (West),6,5,.545,5,3,.625,26.6,20.8,-5.05,-8.96,,,,
73,Northern Illinois,MAC (West),5,6,.455,5,3,.625,26.3,26.3,-12.22,-11.22,,,,
74,Eastern Michigan,MAC (West),4,7,.364,4,4,.500,21.7,30.7,-12.91,-6.64,,,,
75,Central Michigan,MAC (West),4,7,.364,3,5,.375,20.8,31.3,-17.01,-9.83,,,,
76,Ball State,MAC (West),0,11,.000,0,8,.000,14.3,32.8,-23.79,-6.97,,,,
77,Utah,MWC,9,3,.750,5,2,.714,31.7,17.5,9.07,-1.51,,,,
78,BYU,MWC,8,4,.667,5,2,.714,27.9,20.9,7.43,1.02,,15,,
79,Colorado State,MWC,8,4,.667,5,2,.714,28.8,22.4,5.85,0.35,,23,,
80,Wyoming,MWC,7,4,.636,4,3,.571,27.5,24.5,2.94,-0.70,,,,
81,San Diego State,MWC,5,6,.455,3,4,.429,24.7,20.5,1.35,0.16,,,,
82,New Mexico,MWC,4,7,.364,3,4,.429,21.8,27.1,-5.34,-1.53,,,,
83,Air Force,MWC,6,5,.545,2,5,.286,24.0,19.8,2.35,-1.56,,24,,
84,Nevada-Las Vegas,MWC,3,8,.273,1,6,.143,14.5,29.5,-14.13,-2.22,,,,
85,Stanford,Pac-10,8,4,.667,7,1,.875,34.8,30.3,7.97,2.06,,22,,
86,Oregon,Pac-10,9,3,.750,6,2,.750,34.2,23.7,8.17,1.09,,19,19,
87,Washington,Pac-10,7,5,.583,6,2,.750,27.6,25.2,5.68,3.60,,23,,
88,Arizona State,Pac-10,6,6,.500,5,3,.625,23.8,25.9,0.23,1.81,25,22,,
89,Oregon State,Pac-10,7,5,.583,4,4,.500,28.9,23.1,2.76,-0.91,,,,
90,Arizona,Pac-10,6,6,.500,3,5,.375,28.3,30.3,0.58,1.66,4,4,,
91,USC,Pac-10,6,6,.500,3,5,.375,29.0,23.2,4.62,1.95,19,16,,
92,California,Pac-10,4,7,.364,3,5,.375,16.4,23.1,-1.36,3.37,,,,record adjusted to 0-7-0 by NCAA
93,UCLA,Pac-10,4,7,.364,2,6,.250,20.9,28.3,-2.01,3.62,16,14,,
94,Washington State,Pac-10,3,9,.250,1,7,.125,20.7,27.3,-4.93,1.15,,,,
95,Florida,SEC (East),9,4,.692,7,1,.875,31.0,20.9,15.55,6.86,5,3,12,
96,Tennessee,SEC (East),9,3,.750,6,2,.750,30.8,16.2,20.23,7.14,2,2,9,
97,Georgia,SEC (East),8,4,.667,5,3,.625,28.0,25.8,7.33,4.41,14,10,16,
98,Kentucky,SEC (East),6,6,.500,4,4,.500,27.3,28.6,3.30,3.80,,,,
99,Vanderbilt,SEC (East),5,6,.455,2,6,.250,22.9,23.3,1.85,3.76,,,,
100,South Carolina,SEC (East),0,11,.000,0,8,.000,7.9,25.3,-8.29,8.52,,,,
101,Alabama,SEC (West),10,3,.769,7,1,.875,29.1,20.4,17.19,9.26,20,5,8,
102,Mississippi State,SEC (West),10,2,.833,6,2,.750,21.3,13.0,11.84,2.75,,8,13,
103,Arkansas,SEC (West),8,4,.667,4,4,.500,29.4,17.8,10.18,2.59,22,14,17,
104,Ole Miss,SEC (West),8,4,.667,4,4,.500,26.9,19.0,10.79,3.37,,16,22,
105,Auburn,SEC (West),5,6,.455,2,6,.250,21.2,21.5,3.94,5.58,,,,
106,LSU,SEC (West),3,8,.273,1,7,.125,20.3,23.5,-1.41,4.59,,,,
107,Hawaii,WAC,9,4,.692,5,2,.714,28.5,26.8,-0.37,-4.29,,,,
108,Texas Christian,WAC,8,4,.667,5,2,.714,30.2,17.8,3.67,-5.75,,,,
109,Fresno State,WAC,8,5,.615,5,2,.714,31.8,21.7,2.31,-4.38,,,,
110,Rice,WAC,5,6,.455,4,3,.571,21.5,23.7,-3.59,-0.95,,,,
111,SMU,WAC,4,6,.400,3,3,.500,19.3,23.5,-8.76,-3.86,,,,
112,UTEP,WAC,5,7,.417,3,4,.429,25.5,32.4,-7.20,-1.61,,,,
113,San Jose State,WAC,3,7,.300,1,5,.167,25.8,40.2,-11.09,-2.49,,,,
114,Tulsa,WAC,2,9,.182,1,6,.143,20.9,35.1,-13.75,-4.02,,,,
