--- When using SR data, please cite us and provide a link and/or a mention.


 
,,,Overall,Overall,Overall,Conference,Conference,Conference,Points Per Game,Points Per Game,SRS,SRS,Polls,Polls,Polls,
92,Mississippi State,SEC (West),8,5,.615,6,2,.750,26.9,19.7,6.21,2.06,,23,,
93,Alabama,SEC (West),7,5,.583,4,4,.500,20.9,23.9,5.38,6.05,,22,,
94,Ole Miss,SEC (West),7,5,.583,3,5,.375,23.3,22.8,1.46,-0.04,,,,
95,LSU,SEC (West),4,7,.364,2,6,.250,30.6,25.4,5.75,4.57,9,6,,
96,Auburn,SEC (West),3,8,.273,1,7,.125,15.1,21.4,1.78,8.14,25,25,,
97,Air Force,WAC (Mountain),12,1,.923,7,1,.875,36.0,14.2,12.59,-3.25,,13,13,
98,Wyoming,WAC (Mountain),8,3,.727,6,2,.750,20.2,19.5,1.26,-1.29,,25,,
99,Colorado State,WAC (Mountain),8,4,.667,5,3,.625,28.8,21.9,5.76,-1.16,15,15,,
100,Rice,WAC (Mountain),5,6,.455,5,3,.625,21.4,23.4,0.53,1.35,,,,
101,Texas Christian,WAC (Mountain),7,5,.583,4,4,.500,22.3,19.6,2.10,-0.23,,,,
102,SMU,WAC (Mountain),5,7,.417,4,4,.500,18.8,20.7,-2.60,-0.43,,,,record adjusted to 1-1-0 by NCAA
103,Tulsa,WAC (Mountain),4,7,.364,2,6,.250,20.2,23.5,-4.31,0.14,,,,
104,Nevada-Las Vegas,WAC (Mountain),0,11,.000,0,8,.000,14.2,35.4,-15.43,2.30,,,,
105,BYU,WAC (Pacific),9,5,.643,7,1,.875,28.7,20.7,4.22,-3.64,,,,
106,San Diego State,WAC (Pacific),7,5,.583,7,1,.875,20.3,20.3,0.42,-0.58,,,,
107,Utah,WAC (Pacific),7,4,.636,5,3,.625,30.8,20.6,0.58,-6.24,,,,
108,Fresno State,WAC (Pacific),5,6,.455,5,3,.625,24.1,20.5,-1.09,-3.09,,,,
109,San Jose State,WAC (Pacific),4,8,.333,3,5,.375,22.8,32.1,-7.26,-1.93,,,,
110,UTEP,WAC (Pacific),3,8,.273,3,5,.375,20.5,27.7,-8.91,-2.45,,,,
111,New Mexico,WAC (Pacific),3,9,.250,1,7,.125,22.8,33.1,-13.53,-5.12,,,,
112,Hawaii,WAC (Pacific),0,12,.000,0,8,.000,12.4,35.2,-22.08,-2.00,,,,
