date,season,type,round,po_mult,team,opponent,home_away,pre_rate,opp_pre_rate,expected_win,result,accuracy,brier,points_for,points_against,mov,mov_mult,k,keff,days_off,opp_days_off,rest_adj
2017-08-22,2017,R,,1.0,LAS,UTA,H,1672.0528832633122,1341.9299428602235,0.91559003747348,1.0,1,0.0071250417737285104,75,55,20,0.45085581851930956,71.5,71.5,3,3,0.0
2018-07-03,2018,R,,1.0,MIN,IND,H,1647.4391956283807,1305.4022433885054,0.9207415858991636,0.0,0,0.8477650680041068,59,71,-12,0.3549560410318259,73.45,73.45,1,1,0.0
2018-07-20,2018,R,,1.0,LAS,IND,H,1562.8651366430977,1290.7939459774943,0.9032542215703864,0.0,0,0.8158681887847247,76,78,-2,0.21833834328778426,72.4,72.4,4,1,16.0
2018-08-17,2018,R,,1.0,SEA,NYL,H,1656.4020765479308,1332.6429035521533,0.9263178797644649,1.0,1,0.005429054842403852,85,77,8,0.30580858856289744,71.05,71.05,4,1,16.0
2019-08-25,2019,R,,1.0,WAS,NYL,H,1675.2249123045324,1339.5050296223778,0.9180469388613733,1.0,1,0.006716304229991479,101,72,29,0.5402258272284396,71.65,71.65,1,1,0.0
2019-09-06,2019,R,,1.0,WAS,DET,H,1699.4653840163205,1395.666200364534,0.9108822374796934,1.0,1,0.007941975596625758,86,73,13,0.3766809511103622,71.05,71.05,2,1,8.0
2021-06-01,2021,R,,1.0,SEA,IND,H,1647.8994543304416,1364.8927561394269,0.9086172483016808,1.0,1,0.008350807307956664,88,73,15,0.4068880028597111,74.95,74.95,3,1,16.0
2021-07-02,2021,R,,1.0,SEA,ATL,H,1672.4724981870004,1406.1762991551143,0.9003100040452071,1.0,1,0.009938095293466622,91,88,3,0.23748286706898655,73.45,73.45,4,2,16.0
2021-09-15,2021,R,,1.0,ORL,NYL,H,1707.9433488159452,1349.7739020246258,0.9272592837277586,1.0,1,0.0052912118037987295,98,69,29,0.5324424411745249,71.35,71.35,3,3,0.0
2021-09-19,2021,R,,1.0,ORL,ATL,H,1710.706751764215,1326.6142559403074,0.941950706727594,1.0,1,0.0033697204494258057,84,64,20,0.4354952962338222,71.2,71.2,3,2,8.0
2022-06-08,2022,R,,1.0,ORL,IND,H,1647.7323271086607,1330.3150812798904,0.9097629041365074,1.0,1,0.008142733469877154,88,69,19,0.4436308399144703,74.05,74.05,2,2,0.0
2022-07-17,2022,R,,1.0,SEA,IND,H,1593.3399602606926,1268.8270513268772,0.9266134725401983,1.0,1,0.005385582412608225,81,65,16,0.4075683682931996,72.25,72.25,4,1,16.0
2022-07-21,2022,R,,1.0,UTA,IND,H,1609.1345326072267,1262.7542124473423,0.9225470894210512,1.0,1,0.005998953357150633,90,77,13,0.366308662488911,71.95,71.95,1,1,0.0
2022-08-14,2022,R,,1.0,WAS,IND,H,1565.1893508612577,1228.5642247230737,0.9184381445137171,1.0,1,0.006652336270365299,95,83,12,0.35620615749493273,70.6,70.6,1,1,0.0
2023-06-24,2023,R,,1.0,UTA,IND,H,1693.1392965512123,1401.6449092224964,0.904962576958619,1.0,1,0.009032111778346409,101,88,13,0.3797885607812875,74.05,74.05,2,1,8.0
2023-07-11,2023,R,,1.0,UTA,PHX,H,1722.9905136038055,1360.6461609276014,0.9288637248400936,1.0,1,0.005060369643625915,98,72,26,0.5023891533743552,73.0,73.0,1,1,0.0
2023-08-19,2023,R,,1.0,UTA,LAS,H,1758.2125421208127,1417.2009202377208,0.9057110869389031,0.0,0,0.8203125730040494,72,78,-6,0.27354557702431764,71.2,71.2,1,6,-16.0
2023-08-31,2023,R,,1.0,ORL,PHX,H,1619.127908981334,1331.886206055537,0.9106213911599423,1.0,1,0.007988535718184033,84,74,10,0.3414076126293738,70.6,70.6,3,1,16.0
2023-09-02,2023,R,,1.0,UTA,SEA,H,1722.1156550816556,1422.0985749241318,0.9011955842014892,1.0,1,0.00976231258128502,103,77,26,0.5232639461263846,70.3,70.3,1,1,0.0
2023-09-07,2023,R,,1.0,NYL,LAS,H,1734.6519166316036,1434.222523591899,0.901406721256131,1.0,1,0.009720634613466256,96,89,7,0.2960010041424398,70.15,70.15,1,1,0.0
2023-09-10,2023,R,,1.0,UTA,PHX,H,1729.0478193676277,1303.2556403524638,0.9495305585291814,1.0,1,0.0025471645223763798,100,85,15,0.3711529932565189,70.0,70.0,1,1,0.0
2024-08-20,2024,R,,1.0,NYL,DET,H,1731.938218083694,1361.5778455209452,0.9257664062481821,1.0,1,0.005510626441309942,94,74,20,0.4393035145205446,71.8,71.8,2,3,-8.0
