date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,score1,score2,is_home,result,correct,brier
1995-11-07,1996,0,,IND,CLE,1605.0073,1470.8063,0.549060829,0.450939171,1609.915,1465.8986,104,101,0,1,True,0.20334613594216727
1995-11-07,1996,0,,VAN,DAL,1331.2798,1487.1174,0.186529599,0.813470401,1327.8699,1490.5273,88,99,0,0,True,0.0347932913031008
1995-11-07,1996,0,,DEN,GSW,1523.323,1386.6416,0.55259351,0.44740649,1515.3103,1394.6543,93,98,0,0,False,0.3053595872941201
1995-11-07,1996,0,,MIL,HOU,1428.8357,1633.9143,0.147270218,0.852729782,1425.3678,1637.3822,89,106,0,0,True,0.021688517109767526
1995-11-07,1996,0,,POR,NJN,1513.2781,1390.3868,0.532895642,0.467104358,1495.4945,1408.1704,84,104,0,0,False,0.2839777652625921
1995-11-07,1996,0,,LAL,MIN,1519.1235,1346.4976,0.603020916,0.396979084,1513.9481,1351.673,92,93,0,0,False,0.363634225133479
1995-11-07,1996,0,,DET,CHH,1357.998,1535.2908,0.168509791,0.831490209,1354.7885,1538.5004,96,108,0,0,True,0.02839554966286368
1995-11-07,1996,0,,LAC,SEA,1371.1278,1620.9794,0.117750419,0.882249581,1368.2191,1623.8881,108,127,0,0,True,0.01386516117467556
1995-11-07,1996,0,,PHO,NYK,1568.2632,1615.3768,0.300093228,0.699906772,1582.6678,1600.9722,102,94,0,1,False,0.4898694894914601
1995-11-07,1996,0,,SAC,PHI,1492.5179,1379.6982,0.518440663,0.481559337,1497.8477,1374.3685,109,106,0,1,True,0.23189939505187954
1995-11-08,1996,0,,WSB,CHH,1359.0929,1538.5004,0.387672511,0.612327489,1375.9125,1521.6808,110,96,1,1,False,0.3749449537850451
1995-11-08,1996,0,,ORL,NJN,1561.0919,1408.1704,0.810909878,0.189090122,1563.9478,1405.3146,130,122,1,1,True,0.035755074237974874
1995-11-08,1996,0,,SAS,VAN,1625.3595,1327.8699,0.907889528,0.092110472,1629.7566,1323.4728,111,62,1,1,True,0.008484339052062783
1995-11-08,1996,0,,TOR,SAC,1310.9349,1497.8477,0.377467751,0.622532249,1299.7767,1509.0059,90,109,1,0,True,0.14248190304499803
1995-11-08,1996,0,,UTA,LAL,1613.4701,1513.9481,0.759244316,0.240755684,1617.7792,1509.639,108,98,1,1,True,0.05796329937830787
