date,games_remaining,team,current_w,p10,p50,p90,actual_final_w,in_range,pit
2023-11-12,1087,nba_0024,3,22,33,45,22,True,0.1067
2023-11-12,1087,nba_0014,6,32,44,56,46,True,0.5717
2023-11-12,1087,nba_0002,7,40,52,61,64,False,0.9633
2023-11-12,1087,nba_0004,4,25,37,50,39,True,0.5917
2023-11-12,1087,nba_0018,5,32,43,54,50,True,0.7917
2023-11-12,1087,nba_0017,5,30,42,53,32,True,0.1433
2023-11-12,1087,nba_0026,4,28,41,52,25,False,0.0483
2023-11-12,1087,nba_0012,3,27,38,49,51,False,0.95
2023-11-12,1087,nba_0005,4,28,40,50,48,True,0.83
2023-11-12,1087,nba_0001,5,32,44,53,36,True,0.18
2023-11-12,1087,nba_0009,6,31,45,56,46,True,0.5667
2023-11-12,1087,nba_0021,4,27,38,47,49,False,0.9317
2023-11-12,1087,nba_0019,5,32,41,53,47,True,0.7683
2023-11-12,1087,nba_0030,3,24,35,48,21,False,0.0567
2023-11-12,1087,nba_0029,2,23,34,44,15,False,0.0
2023-11-12,1087,nba_0028,2,22,31,44,27,True,0.2733
2023-11-12,1087,nba_0011,6,31,44,56,47,True,0.625
2023-11-12,1087,nba_0008,2,21,31,42,14,False,0.0133
2023-11-12,1087,nba_0027,3,24,35,46,31,True,0.3433
2023-11-12,1087,nba_0003,4,24,36,47,49,False,0.9317
2023-11-12,1087,nba_0016,7,39,50,60,56,True,0.78
2023-11-12,1087,nba_0020,8,40,51,61,47,True,0.28
2023-11-12,1087,nba_0015,5,29,40,51,49,True,0.8483
2023-11-12,1087,nba_0025,6,34,44,55,57,False,0.9467
2023-11-12,1087,nba_0006,8,38,50,60,50,True,0.5217
2023-11-12,1087,nba_0007,8,39,50,60,57,True,0.81
2023-11-12,1087,nba_0013,5,30,41,53,47,True,0.7633
2023-11-12,1087,nba_0023,4,29,40,52,46,True,0.7233
2023-11-12,1087,nba_0010,6,34,46,57,41,True,0.2817
2023-11-19,1037,nba_0022,3,21,29,39,21,True,0.12
2023-11-19,1037,nba_0024,3,20,29,40,22,True,0.1583
2023-11-19,1037,nba_0014,8,35,44,55,46,True,0.5733
2023-11-19,1037,nba_0002,11,45,55,65,64,True,0.8783
2023-11-19,1037,nba_0004,5,25,35,47,39,True,0.6667
2023-11-19,1037,nba_0018,8,35,47,57,50,True,0.6533
2023-11-19,1037,nba_0017,6,30,40,51,32,True,0.1667
2023-11-19,1037,nba_0026,6,28,38,51,25,False,0.0567
2023-11-19,1037,nba_0012,4,28,38,50,51,False,0.9217
2023-11-19,1037,nba_0005,7,32,43,55,48,True,0.7517
2023-11-19,1037,nba_0001,6,31,42,53,36,True,0.2383
2023-11-19,1037,nba_0009,6,30,40,50,46,True,0.7817
2023-11-19,1037,nba_0021,7,32,41,53,49,True,0.8083
2023-11-19,1037,nba_0019,8,35,46,57,47,True,0.5483
2023-11-19,1037,nba_0030,3,20,29,39,21,True,0.1433
2023-11-19,1037,nba_0029,2,19,28,39,15,False,0.02
2023-11-19,1037,nba_0011,7,32,42,52,47,True,0.725
2023-11-19,1037,nba_0028,3,23,33,44,27,True,0.255
2023-11-19,1037,nba_0008,2,19,28,37,14,False,0.0167
2023-11-19,1037,nba_0027,4,24,34,44,31,True,0.355
2023-11-19,1037,nba_0003,6,28,38,49,49,True,0.9017
2023-11-19,1037,nba_0016,9,39,51,61,56,True,0.7383
2023-11-19,1037,nba_0020,10,41,52,62,47,True,0.285
2023-11-19,1037,nba_0015,9,37,48,58,49,True,0.55
2023-11-19,1037,nba_0025,10,40,52,60,57,True,0.7933
2023-11-19,1037,nba_0006,9,36,45,55,50,True,0.6867
2023-11-19,1037,nba_0013,8,32,43,54,47,True,0.6883
2023-11-19,1037,nba_0007,9,36,48,59,57,True,0.83
2023-11-19,1037,nba_0023,8,36,47,58,46,True,0.4433
2023-11-19,1037,nba_0010,6,32,43,55,41,True,0.395
2023-11-26,986,nba_0022,4,21,29,39,21,True,0.1017
2023-11-26,986,nba_0024,3,16,25,34,22,True,0.3233
2023-11-26,986,nba_0014,10,37,48,58,46,True,0.4317
2023-11-26,986,nba_0002,13,45,55,63,64,False,0.9283
2023-11-26,986,nba_0004,5,21,31,41,39,True,0.845
2023-11-26,986,nba_0018,9,35,45,55,50,True,0.7483
2023-11-26,986,nba_0017,8,32,40,52,32,True,0.11
2023-11-26,986,nba_0026,8,30,39,48,25,False,0.0167
2023-11-26,986,nba_0012,7,31,40,51,51,True,0.9117
2023-11-26,986,nba_0005,9,32,41,51,48,True,0.82
2023-11-26,986,nba_0001,8,32,42,52,36,True,0.2067
2023-11-26,986,nba_0009,8,30,40,50,46,True,0.7867
2023-11-26,986,nba_0021,11,37,47,56,49,True,0.605
2023-11-26,986,nba_0019,12,41,51,60,47,True,0.35
2023-11-26,986,nba_0030,5,21,30,41,21,True,0.105
2023-11-26,986,nba_0029,2,17,25,34,15,False,0.07
2023-11-26,986,nba_0011,9,34,44,54,47,True,0.6633
2023-11-26,986,nba_0028,3,19,27,37,27,True,0.5033
2023-11-26,986,nba_0027,5,23,32,39,31,True,0.4417
2023-11-26,986,nba_0008,2,16,25,36,14,False,0.0367
2023-11-26,986,nba_0003,9,33,43,53,49,True,0.7783
2023-11-26,986,nba_0016,12,42,52,62,56,True,0.665
2023-11-26,986,nba_0020,11,40,51,59,47,True,0.3333
2023-11-26,986,nba_0015,12,40,50,60,49,True,0.4517
2023-11-26,986,nba_0025,11,41,50,60,57,True,0.8183
2023-11-26,986,nba_0006,10,36,46,56,50,True,0.73
2023-11-26,986,nba_0007,11,38,48,57,57,True,0.92
2023-11-26,986,nba_0013,10,34,44,54,47,True,0.615
2023-11-26,986,nba_0023,9,36,47,56,46,True,0.4633
2023-11-26,986,nba_0010,8,34,44,55,41,True,0.3617
2023-12-03,939,nba_0022,6,23,31,41,21,False,0.045
2023-12-03,939,nba_0024,3,16,23,33,22,True,0.42
2023-12-03,939,nba_0014,11,34,44,55,46,True,0.5667
2023-12-03,939,nba_0002,15,47,57,65,64,True,0.8867
2023-12-03,939,nba_0004,7,25,33,41,39,True,0.81
2023-12-03,939,nba_0018,12,39,49,57,50,True,0.5833
2023-12-03,939,nba_0017,10,33,43,53,32,False,0.075
2023-12-03,939,nba_0026,9,28,38,48,25,False,0.0483
2023-12-03,939,nba_0012,9,33,41,51,51,True,0.89
2023-12-03,939,nba_0005,11,33,42,50,48,True,0.7683
2023-12-03,939,nba_0001,9,31,40,49,36,True,0.295
2023-12-03,939,nba_0009,9,30,40,48,46,True,0.7917
2023-12-03,939,nba_0021,12,36,46,55,49,True,0.665
2023-12-03,939,nba_0019,14,41,49,59,47,True,0.3633
2023-12-03,939,nba_0030,6,22,30,40,21,False,0.0817
2023-12-03,939,nba_0028,5,21,31,41,27,True,0.3083
2023-12-03,939,nba_0011,10,33,43,54,47,True,0.69
2023-12-03,939,nba_0029,3,18,26,34,15,False,0.03
2023-12-03,939,nba_0027,7,24,31,42,31,True,0.485
2023-12-03,939,nba_0008,2,14,20,29,14,True,0.1117
2023-12-03,939,nba_0003,11,34,42,52,49,True,0.8033
2023-12-03,939,nba_0016,15,45,54,63,56,True,0.5767
2023-12-03,939,nba_0020,12,40,50,59,47,True,0.3367
2023-12-03,939,nba_0015,14,39,50,59,49,True,0.47
2023-12-03,939,nba_0025,13,43,52,60,57,True,0.7717
2023-12-03,939,nba_0006,11,33,42,51,50,True,0.8567
2023-12-03,939,nba_0013,12,35,43,53,47,True,0.6633
2023-12-03,939,nba_0007,14,41,50,60,57,True,0.83
2023-12-03,939,nba_0023,11,37,46,55,46,True,0.485
2023-12-03,939,nba_0010,8,31,41,51,41,True,0.5167
2023-12-10,909,nba_0022,6,21,29,39,21,True,0.105
2023-12-10,909,nba_0024,3,15,22,30,22,True,0.5033
2023-12-10,909,nba_0010,10,36,45,54,41,True,0.2983
2023-12-10,909,nba_0014,12,36,45,53,46,True,0.5867
2023-12-10,909,nba_0002,16,46,56,64,64,True,0.91
2023-12-10,909,nba_0018,12,36,45,55,50,True,0.7283
2023-12-10,909,nba_0017,12,35,44,54,32,False,0.05
2023-12-10,909,nba_0026,9,27,35,45,25,False,0.0567
2023-12-10,909,nba_0012,11,35,44,52,51,True,0.8467
2023-12-10,909,nba_0005,13,37,45,54,48,True,0.6367
2023-12-10,909,nba_0001,9,28,37,47,36,True,0.44
2023-12-10,909,nba_0009,10,31,41,50,46,True,0.76
2023-12-10,909,nba_0021,12,34,42,52,49,True,0.825
2023-12-10,909,nba_0019,15,39,49,58,47,True,0.415
2023-12-10,909,nba_0030,7,23,31,39,21,False,0.0583
2023-12-10,909,nba_0029,3,17,24,33,15,False,0.0617
2023-12-10,909,nba_0011,12,36,47,55,47,True,0.5083
2023-12-10,909,nba_0028,6,22,29,38,27,True,0.3317
2023-12-10,909,nba_0027,7,21,28,39,31,True,0.6517
2023-12-10,909,nba_0008,2,13,18,27,14,True,0.1517
2023-12-10,909,nba_0003,12,33,42,50,49,True,0.8533
2023-12-10,909,nba_0016,17,47,56,64,56,True,0.4933
2023-12-10,909,nba_0020,14,43,52,60,47,True,0.2567
2023-12-10,909,nba_0015,15,43,50,59,49,True,0.4167
2023-12-10,909,nba_0006,13,37,45,54,50,True,0.7517
2023-12-10,909,nba_0025,14,43,50,59,57,True,0.8233
2023-12-10,909,nba_0007,14,39,48,57,57,True,0.905
2023-12-10,909,nba_0013,14,38,46,55,47,True,0.545
2023-12-10,909,nba_0023,12,37,46,54,46,True,0.495
2023-12-10,909,nba_0004,9,26,35,44,39,True,0.7283
2023-12-17,852,nba_0022,6,18,26,33,21,True,0.21
2023-12-17,852,nba_0024,4,14,21,28,22,True,0.6033
2023-12-17,852,nba_0014,15,36,45,53,46,True,0.585
2023-12-17,852,nba_0002,20,50,59,65,64,True,0.8533
2023-12-17,852,nba_0004,10,27,34,43,39,True,0.7583
2023-12-17,852,nba_0018,14,38,46,54,50,True,0.7367
2023-12-17,852,nba_0017,13,35,43,52,32,False,0.0533
2023-12-17,852,nba_0026,10,26,34,43,25,False,0.075
2023-12-17,852,nba_0012,15,39,49,56,51,True,0.665
2023-12-17,852,nba_0005,14,35,43,52,48,True,0.7617
2023-12-17,852,nba_0001,10,29,38,47,36,True,0.4017
2023-12-17,852,nba_0009,12,33,41,49,46,True,0.7667
2023-12-17,852,nba_0021,14,33,41,49,49,True,0.905
2023-12-17,852,nba_0019,16,40,49,57,47,True,0.4
2023-12-17,852,nba_0030,7,19,26,35,21,True,0.1733
2023-12-17,852,nba_0028,6,20,28,36,27,True,0.445
2023-12-17,852,nba_0011,13,35,43,52,47,True,0.7067
2023-12-17,852,nba_0029,4,17,24,33,15,False,0.0583
2023-12-17,852,nba_0027,9,23,30,39,31,True,0.5433
2023-12-17,852,nba_0008,2,11,16,24,14,True,0.3083
2023-12-17,852,nba_0003,16,39,47,55,49,True,0.62
2023-12-17,852,nba_0016,19,49,56,64,56,True,0.4833
2023-12-17,852,nba_0020,18,46,55,62,47,True,0.1383
2023-12-17,852,nba_0015,19,45,53,60,49,True,0.2783
2023-12-17,852,nba_0025,16,42,51,59,57,True,0.8133
2023-12-17,852,nba_0006,16,39,47,54,50,True,0.6867
2023-12-17,852,nba_0013,15,36,45,53,47,True,0.6333
2023-12-17,852,nba_0007,17,41,50,58,57,True,0.8783
2023-12-17,852,nba_0023,15,39,48,56,46,True,0.4183
2023-12-17,852,nba_0010,13,36,45,55,41,True,0.2583
2023-12-24,800,nba_0022,7,18,24,33,21,True,0.2817
2023-12-24,800,nba_0024,4,14,19,27,22,True,0.7333
2023-12-24,800,nba_0014,17,38,46,53,46,True,0.5017
2023-12-24,800,nba_0002,22,54,61,67,64,True,0.7633
2023-12-24,800,nba_0004,13,29,37,45,39,True,0.6283
2023-12-24,800,nba_0018,16,39,47,54,50,True,0.71
2023-12-24,800,nba_0017,14,31,39,47,32,True,0.1233
2023-12-24,800,nba_0026,11,26,32,40,25,False,0.08
2023-12-24,800,nba_0012,17,40,48,55,51,True,0.71
2023-12-24,800,nba_0005,17,38,45,52,48,True,0.695
2023-12-24,800,nba_0001,12,29,37,45,36,True,0.47
2023-12-24,800,nba_0009,15,36,44,51,46,True,0.67
2023-12-24,800,nba_0021,14,31,38,47,49,False,0.94
2023-12-24,800,nba_0019,17,39,47,55,47,True,0.4983
2023-12-24,800,nba_0030,7,18,24,32,21,True,0.2733
2023-12-24,800,nba_0029,5,17,24,32,15,False,0.0367
2023-12-24,800,nba_0028,9,24,31,40,27,True,0.2433
2023-12-24,800,nba_0011,14,31,39,47,47,True,0.895
2023-12-24,800,nba_0027,12,27,34,41,31,True,0.2767
2023-12-24,800,nba_0008,2,10,15,21,14,True,0.3983
2023-12-24,800,nba_0003,17,38,46,53,49,True,0.6817
2023-12-24,800,nba_0016,22,52,59,65,56,True,0.285
2023-12-24,800,nba_0020,20,48,55,62,47,False,0.0833
2023-12-24,800,nba_0015,22,48,56,62,49,True,0.1433
2023-12-24,800,nba_0025,18,44,51,59,57,True,0.7983
2023-12-24,800,nba_0006,17,36,44,52,50,True,0.835
2023-12-24,800,nba_0007,21,45,54,60,57,True,0.7567
2023-12-24,800,nba_0013,16,35,43,51,47,True,0.76
2023-12-24,800,nba_0023,17,37,46,54,46,True,0.495
2023-12-24,800,nba_0010,15,37,45,54,41,True,0.2483
2023-12-31,750,nba_0022,9,19,25,32,21,True,0.21
2023-12-31,750,nba_0024,5,13,19,26,22,True,0.7567
2023-12-31,750,nba_0014,19,40,48,53,46,True,0.3533
2023-12-31,750,nba_0002,26,55,62,68,64,True,0.63
2023-12-31,750,nba_0004,15,30,37,44,39,True,0.6283
2023-12-31,750,nba_0018,17,38,46,53,50,True,0.7467
2023-12-31,750,nba_0017,15,30,37,45,32,True,0.1783
2023-12-31,750,nba_0026,12,25,32,40,25,True,0.0983
2023-12-31,750,nba_0012,19,41,48,56,51,True,0.65
2023-12-31,750,nba_0005,18,39,45,52,48,True,0.7017
2023-12-31,750,nba_0001,13,28,37,45,36,True,0.4517
2023-12-31,750,nba_0009,15,32,39,48,46,True,0.8583
2023-12-31,750,nba_0021,17,33,40,48,49,False,0.9267
2023-12-31,750,nba_0019,19,39,46,54,47,True,0.55
2023-12-31,750,nba_0030,7,16,23,30,21,True,0.36
2023-12-31,750,nba_0029,6,16,22,29,15,False,0.06
2023-12-31,750,nba_0011,17,35,43,50,47,True,0.73
2023-12-31,750,nba_0028,10,22,30,37,27,True,0.3067
2023-12-31,750,nba_0027,14,29,36,44,31,True,0.18
2023-12-31,750,nba_0008,3,10,15,21,14,True,0.3817
2023-12-31,750,nba_0003,19,38,47,53,49,True,0.6617
2023-12-31,750,nba_0016,24,52,59,64,56,True,0.305
2023-12-31,750,nba_0020,22,47,55,61,47,True,0.0933
2023-12-31,750,nba_0015,24,50,56,63,49,False,0.0717
2023-12-31,750,nba_0006,19,38,45,52,50,True,0.82
2023-12-31,750,nba_0025,22,47,55,62,57,True,0.6333
2023-12-31,750,nba_0007,23,46,53,59,57,True,0.7783
2023-12-31,750,nba_0013,17,35,42,49,47,True,0.795
2023-12-31,750,nba_0023,19,39,47,54,46,True,0.4467
2023-12-31,750,nba_0010,15,34,41,49,41,True,0.5067
2024-01-07,695,nba_0022,10,19,24,31,21,True,0.235
2024-01-07,695,nba_0024,5,13,18,24,22,True,0.7883
2024-01-07,695,nba_0010,18,34,41,48,41,True,0.49
2024-01-07,695,nba_0014,20,40,47,54,46,True,0.4567
2024-01-07,695,nba_0002,28,57,63,68,64,True,0.635
2024-01-07,695,nba_0018,21,43,50,56,50,True,0.4783
2024-01-07,695,nba_0017,16,28,36,42,32,True,0.2683
2024-01-07,695,nba_0026,15,29,36,43,25,False,0.0167
2024-01-07,695,nba_0012,22,45,52,58,51,True,0.4117
2024-01-07,695,nba_0005,21,38,45,52,48,True,0.6567
2024-01-07,695,nba_0001,14,29,35,43,36,True,0.5617
2024-01-07,695,nba_0009,17,30,38,45,46,False,0.955
2024-01-07,695,nba_0021,19,32,39,46,49,False,0.9633
2024-01-07,695,nba_0019,21,40,47,53,47,True,0.5167
2024-01-07,695,nba_0030,8,18,24,31,21,True,0.2917
2024-01-07,695,nba_0028,13,27,33,40,27,True,0.105
2024-01-07,695,nba_0011,20,39,46,52,47,True,0.55
2024-01-07,695,nba_0029,6,16,20,27,15,False,0.08
2024-01-07,695,nba_0027,17,32,38,45,31,False,0.0617
2024-01-07,695,nba_0008,3,9,14,20,14,True,0.475
2024-01-07,695,nba_0003,22,42,49,56,49,True,0.4867
2024-01-07,695,nba_0016,25,50,56,62,56,True,0.5367
2024-01-07,695,nba_0020,23,44,51,58,47,True,0.2267
2024-01-07,695,nba_0015,25,46,54,60,49,True,0.2017
2024-01-07,695,nba_0025,23,48,54,60,57,True,0.74
2024-01-07,695,nba_0006,22,40,46,52,50,True,0.8033
2024-01-07,695,nba_0007,26,46,53,59,57,True,0.7783
2024-01-07,695,nba_0013,18,33,39,46,47,False,0.9283
2024-01-07,695,nba_0023,21,37,44,52,46,True,0.605
2024-01-07,695,nba_0004,16,31,37,43,39,True,0.6833
2024-01-14,646,nba_0022,10,18,23,29,21,True,0.3233
2024-01-14,646,nba_0024,7,14,19,25,22,True,0.725
2024-01-14,646,nba_0010,19,33,40,46,41,True,0.5833
2024-01-14,646,nba_0014,23,42,47,53,46,True,0.3867
2024-01-14,646,nba_0002,30,56,62,67,64,True,0.7467
2024-01-14,646,nba_0018,23,44,50,56,50,True,0.475
2024-01-14,646,nba_0017,16,29,34,41,32,True,0.2883
2024-01-14,646,nba_0026,15,28,34,40,25,False,0.025
2024-01-14,646,nba_0012,25,46,53,59,51,True,0.3417
2024-01-14,646,nba_0005,22,39,46,53,48,True,0.6533
2024-01-14,646,nba_0001,15,27,33,39,36,True,0.7167
2024-01-14,646,nba_0009,18,31,37,44,46,False,0.9433
2024-01-14,646,nba_0021,21,35,41,48,49,False,0.925
2024-01-14,646,nba_0019,21,38,44,51,47,True,0.68
2024-01-14,646,nba_0030,8,16,21,27,21,True,0.525
2024-01-14,646,nba_0029,7,16,21,27,15,False,0.05
2024-01-14,646,nba_0028,14,26,33,39,27,True,0.12
2024-01-14,646,nba_0011,23,41,48,55,47,True,0.4333
2024-01-14,646,nba_0027,21,38,44,49,31,False,0.005
2024-01-14,646,nba_0008,3,8,12,17,14,True,0.7267
2024-01-14,646,nba_0003,24,43,51,56,49,True,0.4117
2024-01-14,646,nba_0016,28,51,57,62,56,True,0.3783
2024-01-14,646,nba_0020,24,44,51,58,47,True,0.2533
2024-01-14,646,nba_0015,28,48,54,60,49,True,0.155
2024-01-14,646,nba_0006,23,38,44,51,50,True,0.8817
2024-01-14,646,nba_0025,27,50,57,62,57,True,0.5283
2024-01-14,646,nba_0013,19,31,38,45,47,False,0.9583
2024-01-14,646,nba_0007,28,47,54,58,57,True,0.8217
2024-01-14,646,nba_0023,23,38,45,51,46,True,0.6033
2024-01-14,646,nba_0004,19,32,38,45,39,True,0.5967
2024-01-21,597,nba_0022,12,19,23,29,21,True,0.2467
2024-01-21,597,nba_0024,8,15,19,25,22,True,0.7467
2024-01-21,597,nba_0014,24,39,44,50,46,True,0.6317
2024-01-21,597,nba_0002,33,57,62,66,64,True,0.7183
2024-01-21,597,nba_0004,21,34,39,44,39,True,0.48
2024-01-21,597,nba_0018,26,44,51,57,50,True,0.4467
2024-01-21,597,nba_0017,17,28,35,40,32,True,0.3433
2024-01-21,597,nba_0026,16,28,33,39,25,False,0.0233
2024-01-21,597,nba_0012,27,48,54,59,51,True,0.2783
2024-01-21,597,nba_0005,25,43,50,55,48,True,0.3683
2024-01-21,597,nba_0001,18,29,35,41,36,True,0.605
2024-01-21,597,nba_0009,18,30,36,43,46,False,0.9817
2024-01-21,597,nba_0021,24,38,45,50,49,True,0.8267
2024-01-21,597,nba_0019,23,40,45,51,47,True,0.665
2024-01-21,597,nba_0030,9,16,20,26,21,True,0.5617
2024-01-21,597,nba_0028,15,27,33,38,27,True,0.095
2024-01-21,597,nba_0011,24,41,47,52,47,True,0.5317
2024-01-21,597,nba_0029,7,13,18,23,15,True,0.2083
2024-01-21,597,nba_0008,4,9,13,18,14,True,0.6367
2024-01-21,597,nba_0027,22,38,43,49,31,False,0.0
2024-01-21,597,nba_0003,25,42,48,54,49,True,0.5867
2024-01-21,597,nba_0016,30,52,57,62,56,True,0.3583
2024-01-21,597,nba_0020,28,47,53,59,47,True,0.0833
2024-01-21,597,nba_0015,29,46,52,58,49,True,0.2517
2024-01-21,597,nba_0025,29,51,57,61,57,True,0.5217
2024-01-21,597,nba_0006,24,38,44,49,50,False,0.92
2024-01-21,597,nba_0007,30,49,54,59,57,True,0.7333
2024-01-21,597,nba_0013,22,35,39,44,47,False,0.9817
2024-01-21,597,nba_0023,23,37,43,49,46,True,0.74
2024-01-21,597,nba_0010,20,33,39,45,41,True,0.6367
2024-01-28,546,nba_0022,13,19,24,29,21,True,0.215
2024-01-28,546,nba_0024,10,16,20,25,22,True,0.685
2024-01-28,546,nba_0014,24,37,42,47,46,True,0.8333
2024-01-28,546,nba_0002,35,57,62,66,64,True,0.7483
2024-01-28,546,nba_0004,22,34,38,44,39,True,0.5633
2024-01-28,546,nba_0018,29,48,53,58,50,True,0.2
2024-01-28,546,nba_0017,18,28,34,40,32,True,0.3417
2024-01-28,546,nba_0026,16,25,31,36,25,True,0.0883
2024-01-28,546,nba_0012,30,52,57,61,51,False,0.0783
2024-01-28,546,nba_0005,27,46,51,57,48,True,0.2217
2024-01-28,546,nba_0001,19,29,33,38,36,True,0.7717
2024-01-28,546,nba_0009,19,30,35,41,46,False,0.9767
2024-01-28,546,nba_0021,26,40,45,51,49,True,0.8333
2024-01-28,546,nba_0019,24,38,43,49,47,True,0.7967
2024-01-28,546,nba_0030,10,16,20,24,21,True,0.6567
2024-01-28,546,nba_0028,18,30,35,40,27,False,0.0117
2024-01-28,546,nba_0029,8,14,18,24,15,True,0.1567
2024-01-28,546,nba_0011,27,43,47,53,47,True,0.4483
2024-01-28,546,nba_0027,24,39,43,49,31,False,0.0017
2024-01-28,546,nba_0008,6,10,14,18,14,True,0.5283
2024-01-28,546,nba_0003,26,42,46,52,49,True,0.7183
2024-01-28,546,nba_0016,32,51,55,60,56,True,0.5617
2024-01-28,546,nba_0020,29,47,52,57,47,True,0.1267
2024-01-28,546,nba_0015,32,48,53,58,49,True,0.1433
2024-01-28,546,nba_0025,32,52,57,61,57,True,0.5383
2024-01-28,546,nba_0006,25,36,42,47,50,False,0.9817
2024-01-28,546,nba_0013,24,35,40,45,47,False,0.9567
2024-01-28,546,nba_0007,32,49,54,59,57,True,0.75
2024-01-28,546,nba_0023,26,40,45,50,46,True,0.5983
2024-01-28,546,nba_0010,21,31,38,44,41,True,0.7633
2024-02-04,490,nba_0022,15,21,26,31,21,True,0.085
2024-02-04,490,nba_0024,10,14,18,23,22,True,0.8783
2024-02-04,490,nba_0014,26,38,42,47,46,True,0.8483
2024-02-04,490,nba_0002,38,57,61,65,64,True,0.8
2024-02-04,490,nba_0004,23,32,36,41,39,True,0.7717
2024-02-04,490,nba_0018,32,49,53,58,50,True,0.2
2024-02-04,490,nba_0017,20,31,36,41,32,True,0.1933
2024-02-04,490,nba_0026,17,26,30,35,25,False,0.0733
2024-02-04,490,nba_0012,33,52,57,62,51,False,0.0783
2024-02-04,490,nba_0005,31,48,54,58,48,True,0.1
2024-02-04,490,nba_0001,22,32,36,41,36,True,0.4783
2024-02-04,490,nba_0009,21,32,38,43,46,False,0.985
2024-02-04,490,nba_0021,29,41,47,51,49,True,0.7583
2024-02-04,490,nba_0019,27,41,45,50,47,True,0.675
2024-02-04,490,nba_0030,10,14,18,22,21,True,0.8017
