--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,Notes
70,2,Sep 3 2016,7:00 PM,Sat,South Florida,56,,Towson,20,Raymond James Stadium - Tampa Florida
71,2,Sep 3 2016,,Sat,Southern Methodist,34,@,North Texas,21,Apogee Stadium - Denton Texas
72,2,Sep 3 2016,7:30 PM,Sat,Southern Mississippi,44,@,Kentucky,35,Commonwealth Stadium - Lexington Kentucky
73,2,Sep 3 2016,,Sat,Texas A&M,31,,(16) UCLA,24,Kyle Field - College Station Texas
74,2,Sep 3 2016,8:00 PM,Sat,(13) Texas Christian,59,,South Dakota State,41,Amon G. Carter Stadium - Fort Worth Texas
75,2,Sep 3 2016,3:30 PM,Sat,Texas State,56,@,Ohio,54,Peden Stadium - Athens Ohio
76,2,Sep 3 2016,8:00 PM,Sat,Texas Tech,69,,Stephen F. Austin,17,Jones AT&T Stadium - Lubbock Texas
77,2,Sep 3 2016,,Sat,Texas-El Paso,38,,New Mexico State,22,Sun Bowl Stadium - El Paso Texas
78,2,Sep 3 2016,7:00 PM,Sat,Texas-San Antonio,26,,Alabama State,13,Alamodome - San Antonio Texas
79,2,Sep 3 2016,6:00 PM,Sat,Troy,57,,Austin Peay,17,Veterans Memorial Stadium - Troy Alabama
80,2,Sep 3 2016,7:00 PM,Sat,Tulsa,45,,San Jose State,10,Chapman Stadium - Tulsa Oklahoma
81,2,Sep 3 2016,12:30 PM,Sat,Virginia Tech,36,,Liberty,13,Lane Stadium - Blacksburg Virginia
82,2,Sep 3 2016,2:00 PM,Sat,(14) Washington,48,,Rutgers,13,Husky Stadium - Seattle Washington
83,2,Sep 3 2016,12:00 PM,Sat,West Virginia,26,,Missouri,11,Milan Puskar Stadium - Morgantown West Virginia
84,2,Sep 3 2016,12:00 PM,Sat,Western Michigan,22,@,Northwestern,21,Ryan Field - Evanston Illinois
85,2,Sep 3 2016,3:30 PM,Sat,Wisconsin,16,N,(5) Louisiana State,14,Lambeau Field - Green Bay Wisconsin
86,2,Sep 3 2016,10:30 PM,Sat,Wyoming,40,,Northern Illinois,34,War Memorial Stadium - Laramie Wyoming
87,2,Sep 4 2016,3:30 PM,Sun,Old Dominion,54,,Hampton,21,S.B. Ballard Stadium - Norfolk Virginia
88,2,Sep 4 2016,7:30 PM,Sun,Texas,50,,(10) Notre Dame,47,Darrell K Royal-Texas Memorial Stadium - Austin Texas
89,2,Sep 5 2016,8:00 PM,Mon,(4) Florida State,45,N,(11) Mississippi,34,Camping World Stadium - Orlando Florida
90,3,Sep 9 2016,8:00 PM,Fri,(13) Louisville,62,@,Syracuse,28,Carrier Dome - Syracuse New York
91,3,Sep 9 2016,7:30 PM,Fri,Maryland,41,@,Florida International,14,FIU Stadium - Miami Florida
92,3,Sep 10 2016,2:00 PM,Sat,Air Force,48,,Georgia State,14,Falcon Stadium - Colorado Springs Colorado
93,3,Sep 10 2016,3:30 PM,Sat,(1) Alabama,38,,Western Kentucky,10,Bryant-Denny Stadium - Tuscaloosa Alabama
94,3,Sep 10 2016,3:30 PM,Sat,Appalachian State,31,,Old Dominion,7,Kidd Brewer Stadium - Boone North Carolina
95,3,Sep 10 2016,10:45 PM,Sat,Arizona,31,,Grambling State,21,Arizona Stadium - Tucson Arizona
96,3,Sep 10 2016,10:00 PM,Sat,Arizona State,68,,Texas Tech,55,Sun Devil Stadium - Tempe Arizona
97,3,Sep 10 2016,7:00 PM,Sat,Arkansas,41,@,(15) Texas Christian,38,Amon G. Carter Stadium - Fort Worth Texas
98,3,Sep 10 2016,12:00 PM,Sat,Army,31,,Rice,14,Michie Stadium - West Point New York
99,3,Sep 10 2016,7:30 PM,Sat,Auburn,51,,Arkansas State,14,Jordan Hare Stadium - Auburn Alabama
100,3,Sep 10 2016,3:30 PM,Sat,(23) Baylor,40,,Southern Methodist,13,McLane Stadium - Waco Texas
101,3,Sep 10 2016,10:15 PM,Sat,Boise State,31,,Washington State,28,Albertsons Stadium - Boise Idaho
102,3,Sep 10 2016,12:00 PM,Sat,Boston College,26,@,Massachusetts,7,Gillette Stadium - Foxborough Massachusetts
103,3,Sep 10 2016,3:30 PM,Sat,Bowling Green,27,,North Dakota,26,Doyt L. Perry Stadium - Bowling Green Ohio
104,3,Sep 10 2016,12:00 PM,Sat,Central Michigan,30,@,(22) Oklahoma State,27,Boone Pickens Stadium - Stillwater Oklahoma
105,3,Sep 10 2016,6:00 PM,Sat,Charlotte,47,,Elon,14,Jerry Richardson Stadium - Charlotte North Carolina
106,3,Sep 10 2016,12:00 PM,Sat,Cincinnati,38,@,Purdue,20,Ross Ade Stadium - West Lafayette Indiana
107,3,Sep 10 2016,12:30 PM,Sat,(2) Clemson,30,,Troy,24,Clemson Memorial Stadium - Clemson South Carolina
108,3,Sep 10 2016,4:00 AM,Sat,Coastal Carolina,49,,Florida A&M,10,
109,3,Sep 10 2016,5:30 PM,Sat,Colorado,56,,Idaho State,7,Folsom Field - Boulder Colorado
110,3,Sep 10 2016,4:00 PM,Sat,Colorado State,23,,Texas-San Antonio,14,Sonny Lubick Field at Hughes Stadium - Fort Collins Colorado
111,3,Sep 10 2016,12:00 PM,Sat,East Carolina,33,,North Carolina State,30,Dowdy-Ficklen Stadium - Greenville North Carolina
112,3,Sep 10 2016,3:30 PM,Sat,Eastern Illinois,21,@,Miami (OH),17,Fred Yager Stadium - Oxford Ohio
113,3,Sep 10 2016,3:30 PM,Sat,Florida,45,,Kentucky,7,Ben Hill Griffin Stadium - Gainesville Florida
114,3,Sep 10 2016,12:30 PM,Sat,(3) Florida State,52,,Charleston Southern,8,Doak Campbell Stadium - Tallahassee Florida
115,3,Sep 10 2016,10:00 PM,Sat,Fresno State,31,,Sacramento State,3,Bulldog Stadium - Fresno California
116,3,Sep 10 2016,12:00 PM,Sat,(9) Georgia,26,,Nicholls State,24,Sanford Stadium - Athens Georgia
117,3,Sep 10 2016,7:00 PM,Sat,Georgia Southern,24,@,South Alabama,9,Ladd-Peebles Stadium - Mobile Alabama
118,3,Sep 10 2016,3:00 PM,Sat,Georgia Tech,35,,Mercer,10,Bobby Dodd Stadium - Atlanta Georgia
119,3,Sep 10 2016,11:59 PM,Sat,Hawaii,41,,Tennessee-Martin,36,Hawaiian Tel Federal Credit Union Field at Aloha Stadium - Honolulu Hawaii
120,3,Sep 10 2016,12:00 PM,Sat,(6) Houston,42,,Lamar,0,TDECU Stadium - Houston Texas
121,3,Sep 10 2016,3:30 PM,Sat,Illinois State,9,@,Northwestern,7,Ryan Field - Evanston Illinois
122,3,Sep 10 2016,4:00 PM,Sat,Indiana,30,,Ball State,20,Memorial Stadium - Bloomington Indiana
123,3,Sep 10 2016,7:30 PM,Sat,(16) Iowa,42,,Iowa State,3,Kinnick Stadium - Iowa City Iowa
124,3,Sep 10 2016,7:00 PM,Sat,Louisiana,30,,McNeese State,22,Cajun Field - Lafayette Louisiana
125,3,Sep 10 2016,7:30 PM,Sat,(21) Louisiana State,34,,Jacksonville State,13,Tiger Stadium - Baton Rouge Louisiana
126,3,Sep 10 2016,7:00 PM,Sat,Louisiana Tech,53,,South Carolina State,24,Joe Aillet Stadium - Ruston Louisiana
127,3,Sep 10 2016,6:00 PM,Sat,Marshall,62,,Morgan State,0,Joan C. Edwards Stadium - Huntington West Virginia
128,3,Sep 10 2016,6:00 PM,Sat,(25) Miami (FL),38,,Florida Atlantic,10,Hard Rock Stadium - Miami Gardens Florida
129,3,Sep 10 2016,12:00 PM,Sat,(5) Michigan,51,,Central Florida,14,Michigan Stadium - Ann Arbor Michigan
130,3,Sep 10 2016,12:00 PM,Sat,Minnesota,58,,Indiana State,28,TCF Bank Stadium - Minneapolis Minnesota
131,3,Sep 10 2016,4:00 PM,Sat,(19) Mississippi,38,,Wofford,13,Vaught-Hemingway Stadium - Oxford Mississippi
132,3,Sep 10 2016,7:00 PM,Sat,Mississippi State,27,,South Carolina,14,Davis Wade Stadium - Starkville Mississippi
133,3,Sep 10 2016,7:30 PM,Sat,Missouri,61,,Eastern Michigan,21,Faurot Field - Columbia Missouri
