--- When using SR data, please cite us and provide a link and/or a mention.


 
Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
174,4,Sep 18 1999,Sat,Tulane,48,,Army,28,
175,4,Sep 18 1999,Sat,(21) UCLA,35,,Fresno State,21,
176,4,Sep 18 1999,Sat,Utah,38,,Utah State,18,
177,4,Sep 18 1999,Sat,Vanderbilt,37,@,Mississippi,34,
178,4,Sep 18 1999,Sat,Virginia,35,,Wake Forest,7,
179,5,Sep 23 1999,Thu,(8) Virginia Tech,31,,Clemson,11,
180,5,Sep 25 1999,Sat,Alabama,35,,(14) Arkansas,28,
181,5,Sep 25 1999,Sat,Alabama-Birmingham,29,,Houston,10,
182,5,Sep 25 1999,Sat,Arizona,30,@,Washington State,24,
183,5,Sep 25 1999,Sat,Army,41,,Ball State,21,
184,5,Sep 25 1999,Sat,Boise State,20,,New Mexico,9,
185,5,Sep 25 1999,Sat,Boston College,27,@,Rutgers,7,
186,5,Sep 25 1999,Sat,California,24,,Arizona State,23,
187,5,Sep 25 1999,Sat,East Carolina,27,,(9) Miami (FL),23,
188,5,Sep 25 1999,Sat,Eastern Michigan,38,,Akron,17,
189,5,Sep 25 1999,Sat,(3) Florida,38,@,Kentucky,10,
190,5,Sep 25 1999,Sat,(1) Florida State,42,@,North Carolina,10,
191,5,Sep 25 1999,Sat,Fresno State,49,@,Nevada,24,
192,5,Sep 25 1999,Sat,(11) Georgia,24,,Central Florida,23,
193,5,Sep 25 1999,Sat,Hawaii,20,@,Southern Methodist,0,
194,5,Sep 25 1999,Sat,(15) Kansas State,35,@,Iowa State,28,
195,5,Sep 25 1999,Sat,Kent State,41,,Bowling Green,27,
196,5,Sep 25 1999,Sat,Louisiana,45,,Middle Tennessee State,31,
197,5,Sep 25 1999,Sat,Louisiana-Monroe,38,,Northwestern State,7,
198,5,Sep 25 1999,Sat,(21) Marshall,34,,Temple,0,
199,5,Sep 25 1999,Sat,Miami (OH),24,@,Central Michigan,16,
200,5,Sep 25 1999,Sat,(4) Michigan,21,@,(20) Wisconsin,16,
201,5,Sep 25 1999,Sat,(19) Michigan State,27,@,Illinois,10,
202,5,Sep 25 1999,Sat,Mississippi,24,@,Auburn,17,
203,5,Sep 25 1999,Sat,(23) Mississippi State,17,,South Carolina,0,
204,5,Sep 25 1999,Sat,(6) Nebraska,40,@,Missouri,10,
205,5,Sep 25 1999,Sat,Ohio,45,,Buffalo,6,
206,5,Sep 25 1999,Sat,(12) Ohio State,34,,Cincinnati,20,
207,5,Sep 25 1999,Sat,Oklahoma,42,@,Louisville,21,
208,5,Sep 25 1999,Sat,Oregon,33,,(16) Southern California,30,
209,5,Sep 25 1999,Sat,(2) Penn State,45,,Indiana,24,
210,5,Sep 25 1999,Sat,(13) Purdue,31,,Northwestern,23,
211,5,Sep 25 1999,Sat,Rice,20,,Navy,17,
212,5,Sep 25 1999,Sat,San Diego State,41,@,Kansas,13,
213,5,Sep 25 1999,Sat,San Jose State,34,,Tulsa,10,
214,5,Sep 25 1999,Sat,Stanford,42,,(18) UCLA,32,
215,5,Sep 25 1999,Sat,Syracuse,30,,West Virginia,7,
216,5,Sep 25 1999,Sat,(7) Tennessee,17,,Memphis,16,
217,5,Sep 25 1999,Sat,(22) Texas,62,@,Baylor,0,
218,5,Sep 25 1999,Sat,(5) Texas A&M,23,,Southern Mississippi,6,
219,5,Sep 25 1999,Sat,Texas Christian,24,@,Arkansas State,21,
220,5,Sep 25 1999,Sat,Texas-El Paso,54,,New Mexico State,23,
221,5,Sep 25 1999,Sat,Toledo,24,,Massachusetts,3,
222,5,Sep 25 1999,Sat,Utah,52,@,Nevada-Las Vegas,14,
223,5,Sep 25 1999,Sat,Vanderbilt,31,@,Duke,14,
224,5,Sep 25 1999,Sat,Virginia,45,@,(17) Brigham Young,40,
225,5,Sep 25 1999,Sat,Wake Forest,31,,(25) North Carolina State,7,
226,5,Sep 25 1999,Sat,Washington,31,,Colorado,24,
227,5,Sep 25 1999,Sat,Western Michigan,24,@,Northern Illinois,21,
228,5,Sep 25 1999,Sat,Wyoming,10,@,(24) Air Force,7,
229,6,Sep 30 1999,Thu,(9) Georgia Tech,49,,Maryland,31,
230,6,Oct 1 1999,Fri,Brigham Young,34,@,Utah State,31,
231,6,Oct 2 1999,Sat,Air Force,23,@,San Diego State,22,
232,6,Oct 2 1999,Sat,Akron,31,@,Ball State,9,
233,6,Oct 2 1999,Sat,(21) Alabama,40,@,(3) Florida,39,
234,6,Oct 2 1999,Sat,Alabama-Birmingham,47,,Louisiana-Monroe,0,
235,6,Oct 2 1999,Sat,Arizona State,28,,UCLA,27,
236,6,Oct 2 1999,Sat,Arkansas State,45,,Sam Houston,20,
237,6,Oct 2 1999,Sat,Baylor,23,,North Texas,10,
238,6,Oct 2 1999,Sat,Boise State,26,,Utah,20,
239,6,Oct 2 1999,Sat,Boston College,33,,Northeastern,22,
240,6,Oct 2 1999,Sat,Bowling Green,34,,Toledo,23,
241,6,Oct 2 1999,Sat,Central Florida,31,,Eastern Illinois,21,
242,6,Oct 2 1999,Sat,Clemson,31,,North Carolina,20,
243,6,Oct 2 1999,Sat,Colorado State,46,,New Mexico State,7,
244,6,Oct 2 1999,Sat,(19) East Carolina,33,@,Army,14,
245,6,Oct 2 1999,Sat,(1) Florida State,51,,Duke,23,
246,6,Oct 2 1999,Sat,Fresno State,26,,Texas Christian,19,
247,6,Oct 2 1999,Sat,(10) Georgia,23,,Louisiana State,22,
248,6,Oct 2 1999,Sat,Hawaii,33,,Texas-El Paso,3,
249,6,Oct 2 1999,Sat,Indiana,34,,Illinois,31,
250,6,Oct 2 1999,Sat,Kansas,27,,Southern Methodist,9,
251,6,Oct 2 1999,Sat,(13) Kansas State,35,@,(15) Texas,17,
252,6,Oct 2 1999,Sat,Kentucky,31,,(20) Arkansas,20,
253,6,Oct 2 1999,Sat,Louisiana Tech,41,@,Louisiana,31,
254,6,Oct 2 1999,Sat,Louisville,45,,Eastern Michigan,10,
255,6,Oct 2 1999,Sat,(17) Marshall,32,@,Miami (OH),14,
256,6,Oct 2 1999,Sat,(4) Michigan,38,,(11) Purdue,12,
257,6,Oct 2 1999,Sat,(14) Michigan State,49,,Iowa,3,
258,6,Oct 2 1999,Sat,Minnesota,33,@,Northwestern,14,
259,6,Oct 2 1999,Sat,Mississippi,36,@,South Carolina,10,
260,6,Oct 2 1999,Sat,(16) Mississippi State,42,@,Vanderbilt,14,
261,6,Oct 2 1999,Sat,Missouri,27,@,Memphis,17,
262,6,Oct 2 1999,Sat,Navy,31,@,West Virginia,28,
263,6,Oct 2 1999,Sat,(6) Nebraska,38,,Oklahoma State,14,
264,6,Oct 2 1999,Sat,Nevada,26,,Nevada-Las Vegas,12,
265,6,Oct 2 1999,Sat,Northern Illinois,45,@,Buffalo,21,
266,6,Oct 2 1999,Sat,Notre Dame,34,,(23) Oklahoma,30,
267,6,Oct 2 1999,Sat,Ohio,31,,Kent State,3,
268,6,Oct 2 1999,Sat,Pittsburgh,55,,Temple,24,
269,6,Oct 2 1999,Sat,Rice,20,@,Tulsa,10,
270,6,Oct 2 1999,Sat,San Jose State,44,@,Stanford,39,
271,6,Oct 2 1999,Sat,Southern California,37,,Oregon State,29,
272,6,Oct 2 1999,Sat,(22) Syracuse,47,,Tulane,17,
273,6,Oct 2 1999,Sat,(7) Tennessee,24,,Auburn,0,
274,6,Oct 2 1999,Sat,Texas Tech,21,,(5) Texas A&M,19,
275,6,Oct 2 1999,Sat,Troy,48,@,Middle Tennessee State,31,
276,6,Oct 2 1999,Sat,(8) Virginia Tech,31,@,(24) Virginia,7,
277,6,Oct 2 1999,Sat,Wake Forest,17,,Rutgers,10,
278,6,Oct 2 1999,Sat,Washington,34,,(25) Oregon,20,
279,6,Oct 2 1999,Sat,Washington State,31,,California,7,
280,6,Oct 2 1999,Sat,Western Michigan,38,,Central Michigan,16,
281,6,Oct 2 1999,Sat,Wisconsin,42,@,(12) Ohio State,17,
282,6,Oct 2 1999,Sat,Wyoming,28,,Idaho,13,
283,7,Oct 7 1999,Thu,Army,59,,Louisville,52,
284,7,Oct 7 1999,Thu,(18) Syracuse,24,@,Pittsburgh,17,
285,7,Oct 9 1999,Sat,Air Force,19,@,Navy,14,
286,7,Oct 9 1999,Sat,Akron,41,,Ohio,28,
287,7,Oct 9 1999,Sat,Arizona,31,,(22) Southern California,24,
288,7,Oct 9 1999,Sat,Arkansas,58,,Middle Tennessee State,6,
289,7,Oct 9 1999,Sat,Boise State,41,,Eastern Washington,7,
290,7,Oct 9 1999,Sat,(24) Brigham Young,38,,California,28,
291,7,Oct 9 1999,Sat,Central Michigan,38,@,Buffalo,19,
292,7,Oct 9 1999,Sat,Colorado,46,,Missouri,39,
293,7,Oct 9 1999,Sat,Duke,24,@,Virginia,17,
294,7,Oct 9 1999,Sat,(8) Florida,31,@,Louisiana State,10,
295,7,Oct 9 1999,Sat,(1) Florida State,31,,(19) Miami (FL),21,
296,7,Oct 9 1999,Sat,Fresno State,44,,Colorado State,13,
297,7,Oct 9 1999,Sat,(7) Georgia Tech,31,,North Carolina,24,
298,7,Oct 9 1999,Sat,Houston,23,,Cincinnati,20,
299,7,Oct 9 1999,Sat,Idaho,28,,North Texas,10,
300,7,Oct 9 1999,Sat,Indiana,34,,Northwestern,17,
301,7,Oct 9 1999,Sat,(9) Kansas State,50,,Kansas,9,
302,7,Oct 9 1999,Sat,Kentucky,30,@,South Carolina,10,
303,7,Oct 9 1999,Sat,Maryland,17,@,Wake Forest,14,
304,7,Oct 9 1999,Sat,Memphis,38,@,Alabama-Birmingham,14,
305,7,Oct 9 1999,Sat,Miami (OH),45,@,Bowling Green,31,
306,7,Oct 9 1999,Sat,(11) Michigan State,34,,(3) Michigan,31,
307,7,Oct 9 1999,Sat,Mississippi,20,,Tulane,13,
308,7,Oct 9 1999,Sat,(14) Mississippi State,18,@,Auburn,16,
309,7,Oct 9 1999,Sat,(4) Nebraska,49,,Iowa State,14,
310,7,Oct 9 1999,Sat,Nevada,23,@,New Mexico State,16,
311,7,Oct 9 1999,Sat,Nevada-Las Vegas,35,@,Wyoming,32,
312,7,Oct 9 1999,Sat,New Mexico,24,@,San Diego State,21,
313,7,Oct 9 1999,Sat,North Carolina State,35,,Clemson,31,
314,7,Oct 9 1999,Sat,Northern Illinois,37,,Ball State,17,
315,7,Oct 9 1999,Sat,Notre Dame,48,,Arizona State,17,
316,7,Oct 9 1999,Sat,(21) Ohio State,25,,(17) Purdue,22,
317,7,Oct 9 1999,Sat,Oklahoma State,41,,Texas Tech,21,
318,7,Oct 9 1999,Sat,(2) Penn State,31,@,Iowa,7,
319,7,Oct 9 1999,Sat,Rice,38,@,Hawaii,19,
320,7,Oct 9 1999,Sat,Southern Mississippi,39,@,(16) East Carolina,22,
321,7,Oct 9 1999,Sat,Temple,24,,Boston College,14,
322,7,Oct 9 1999,Sat,(6) Tennessee,37,,(10) Georgia,20,
323,7,Oct 9 1999,Sat,(23) Texas,38,N,Oklahoma,28,
324,7,Oct 9 1999,Sat,(13) Texas A&M,45,,Baylor,13,
325,7,Oct 9 1999,Sat,Texas Christian,42,,San Jose State,0,
326,7,Oct 9 1999,Sat,Texas-El Paso,42,,Southern Methodist,28,
327,7,Oct 9 1999,Sat,Toledo,47,,Kent State,7,
328,7,Oct 9 1999,Sat,UCLA,34,,Oregon,29,
329,7,Oct 9 1999,Sat,Utah,42,,Louisiana-Monroe,0,
330,7,Oct 9 1999,Sat,Utah State,20,,Arkansas State,14,
331,7,Oct 9 1999,Sat,Vanderbilt,58,,Citadel,0,
332,7,Oct 9 1999,Sat,(5) Virginia Tech,58,@,Rutgers,20,
333,7,Oct 9 1999,Sat,Washington,47,@,Oregon State,21,
334,7,Oct 9 1999,Sat,Washington State,44,,Louisiana,0,
335,7,Oct 9 1999,Sat,Western Michigan,40,@,Eastern Michigan,37,
336,7,Oct 9 1999,Sat,(20) Wisconsin,20,@,(25) Minnesota,17,
337,8,Oct 14 1999,Thu,(15) Marshall,38,,Toledo,13,
338,8,Oct 14 1999,Thu,Southern Methodist,24,,Fresno State,14,
339,8,Oct 16 1999,Sat,Akron,55,,Bowling Green,25,
340,8,Oct 16 1999,Sat,(11) Alabama,30,@,(22) Mississippi,24,
341,8,Oct 16 1999,Sat,Alabama-Birmingham,24,@,Cincinnati,21,
342,8,Oct 16 1999,Sat,Arizona,34,,Texas-El Paso,21,
343,8,Oct 16 1999,Sat,Arizona State,28,@,Washington,7,
344,8,Oct 16 1999,Sat,Arkansas,48,,South Carolina,14,
345,8,Oct 16 1999,Sat,Boston College,20,,Pittsburgh,16,
346,8,Oct 16 1999,Sat,(21) Brigham Young,31,@,New Mexico,7,
347,8,Oct 16 1999,Sat,California,17,@,UCLA,0,
348,8,Oct 16 1999,Sat,Central Florida,28,,Nicholls State,0,
349,8,Oct 16 1999,Sat,Clemson,42,@,Maryland,30,
350,8,Oct 16 1999,Sat,Eastern Michigan,27,,Ohio,26,
351,8,Oct 16 1999,Sat,(7) Florida,32,@,Auburn,14,
352,8,Oct 16 1999,Sat,(1) Florida State,33,,Wake Forest,10,
353,8,Oct 16 1999,Sat,(14) Georgia,27,@,Vanderbilt,17,
354,8,Oct 16 1999,Sat,(8) Georgia Tech,38,@,Duke,31,
355,8,Oct 16 1999,Sat,Houston,20,@,North Carolina,12,
356,8,Oct 16 1999,Sat,Idaho,30,@,Arkansas State,24,
357,8,Oct 16 1999,Sat,Iowa State,24,@,Missouri,21,
358,8,Oct 16 1999,Sat,(9) Kansas State,40,,Utah State,0,
359,8,Oct 16 1999,Sat,Kentucky,31,,Louisiana State,5,
360,8,Oct 16 1999,Sat,Louisiana Tech,42,,Middle Tennessee State,18,
361,8,Oct 16 1999,Sat,Louisville,32,@,Memphis,31,
362,8,Oct 16 1999,Sat,Miami (OH),17,@,Kent State,10,
363,8,Oct 16 1999,Sat,Minnesota,37,@,Illinois,7,
364,8,Oct 16 1999,Sat,North Texas,17,,Boise State,10,
365,8,Oct 16 1999,Sat,Northern Illinois,31,@,Central Michigan,27,
366,8,Oct 16 1999,Sat,Northwestern,23,,Iowa,21,
367,8,Oct 16 1999,Sat,Notre Dame,25,,Southern California,24,
368,8,Oct 16 1999,Sat,(2) Penn State,23,,(18) Ohio State,10,
369,8,Oct 16 1999,Sat,(20) Purdue,52,,(5) Michigan State,28,
370,8,Oct 16 1999,Sat,Rice,49,,San Jose State,7,
371,8,Oct 16 1999,Sat,San Diego State,17,@,Colorado State,10,
372,8,Oct 16 1999,Sat,(25) Southern Mississippi,24,,Army,0,
373,8,Oct 16 1999,Sat,Stanford,21,,Oregon State,17,
374,8,Oct 16 1999,Sat,(13) Texas A&M,34,,Kansas,17,
375,8,Oct 16 1999,Sat,Texas Christian,56,,Tulsa,17,
376,8,Oct 16 1999,Sat,Texas Tech,31,,Colorado,10,
377,8,Oct 16 1999,Sat,Tulane,48,,Louisiana,32,
378,8,Oct 16 1999,Sat,Utah,21,@,Air Force,15,
