Date,Season,Type,Round,Team,Opp,HomeAway,PointsFor,PointsAgainst,OT,TeamAPRank,OppAPRank
2007-09-07,2007,R,,rutgers,navy,H,41,24,0,15.0,
2007-09-07,2007,R,,navy,rutgers,A,24,41,0,,15.0
2007-09-08,2007,R,,air-force,utah,A,20,12,0,,
2007-09-08,2007,R,,utah,air-force,H,12,20,0,,
2007-09-08,2007,R,,alabama,vanderbilt,A,24,10,0,,
2007-09-08,2007,R,,vanderbilt,alabama,H,10,24,0,,
2007-09-08,2007,R,,arizona,northern-arizona,H,45,24,0,,
2007-09-08,2007,R,,northern-arizona,arizona,A,24,45,0,,
2007-09-08,2007,R,,arizona-state,colorado,H,33,14,0,,
2007-09-08,2007,R,,colorado,arizona-state,A,14,33,0,,
2007-09-08,2007,R,,army,rhode-island,H,14,7,0,,
2007-09-08,2007,R,,rhode-island,army,A,7,14,0,,
2007-09-08,2007,R,,ball-state,eastern-michigan,A,38,16,0,,
2007-09-08,2007,R,,eastern-michigan,ball-state,H,16,38,0,,
2007-09-08,2007,R,,baylor,rice,H,42,17,0,,
2007-09-08,2007,R,,rice,baylor,A,17,42,0,,
2007-09-08,2007,R,,boston-college,north-carolina-state,H,37,17,0,,
2007-09-08,2007,R,,north-carolina-state,boston-college,A,17,37,0,,
2007-09-08,2007,R,,buffalo,temple,A,42,7,0,,
2007-09-08,2007,R,,temple,buffalo,H,7,42,0,,
2007-09-08,2007,R,,california,colorado-state,A,34,28,0,10.0,
2007-09-08,2007,R,,colorado-state,california,H,28,34,0,,10.0
2007-09-08,2007,R,,central-michigan,toledo,H,52,31,0,,
2007-09-08,2007,R,,toledo,central-michigan,A,31,52,0,,
2007-09-08,2007,R,,clemson,louisiana-monroe,H,49,26,0,25.0,
2007-09-08,2007,R,,louisiana-monroe,clemson,A,26,49,0,,25.0
2007-09-08,2007,R,,connecticut,maine,H,38,0,0,,
2007-09-08,2007,R,,maine,connecticut,A,0,38,0,,
2007-09-08,2007,R,,east-carolina,north-carolina,H,34,31,0,,
2007-09-08,2007,R,,north-carolina,east-carolina,A,31,34,0,,
2007-09-08,2007,R,,florida,troy,H,59,31,0,4.0,
2007-09-08,2007,R,,troy,florida,A,31,59,0,,4.0
2007-09-08,2007,R,,florida-state,alabama-birmingham,H,34,24,0,,
2007-09-08,2007,R,,alabama-birmingham,florida-state,A,24,34,0,,
2007-09-08,2007,R,,georgia-tech,samford,H,69,14,0,21.0,
2007-09-08,2007,R,,samford,georgia-tech,A,14,69,0,,21.0
2007-09-08,2007,R,,hawaii,louisiana-tech,A,45,44,0,20.0,
2007-09-08,2007,R,,louisiana-tech,hawaii,H,44,45,0,,20.0
2007-09-08,2007,R,,idaho,cal-poly,H,20,13,0,,
2007-09-08,2007,R,,cal-poly,idaho,A,13,20,0,,
2007-09-08,2007,R,,illinois,western-illinois,H,21,0,0,,
2007-09-08,2007,R,,western-illinois,illinois,A,0,21,0,,
2007-09-08,2007,R,,indiana,western-michigan,A,37,27,0,,
2007-09-08,2007,R,,western-michigan,indiana,H,27,37,0,,
2007-09-08,2007,R,,iowa,syracuse,H,35,0,0,,
