source_file,window_title,team_name,dest
sportsref_download (19).xls,1995-96 Colorado Buffaloes Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Colorado,Colorado.xls
sportsref_download (19).xls,1995-96 Missouri Tigers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Missouri,Missouri.xls
sportsref_download (19).xls,1995-96 Michigan Wolverines Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Michigan,Michigan.xls
sportsref_download (19).xls,1995-96 Michigan State Spartans Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Michigan State,Michigan_State.xls
sportsref_download (19).xls,1995-96 Penn State Nittany Lions Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Penn State Nittany,Penn_State_Nittany.xls
sportsref_download (19).xls,1995-96 Ohio State Buckeyes Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Ohio State,Ohio_State.xls
sportsref_download (19).xls,1995-96 Iowa Hawkeyes Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Iowa,Iowa.xls
sportsref_download (19).xls,1995-96 Illinois Fighting Illini Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Illinois Fighting,Illinois_Fighting.xls
sportsref_download (19).xls,1995-96 Indiana Hoosiers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Indiana,Indiana.xls
sportsref_download (19).xls,1995-96 Purdue Boilermakers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Purdue,Purdue.xls
sportsref_download (19).xls,1995-96 Northwestern Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Northwestern,Northwestern.xls
sportsref_download (19).xls,1995-96 Wisconsin Badgers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Wisconsin,Wisconsin.xls
sportsref_download (19).xls,1995-96 Minnesota Golden Gophers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Minnesota Golden,Minnesota_Golden.xls
sportsref_download (19).xls,1995-96 Notre Dame Fighting Irish Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Notre Dame Fighting,Notre_Dame_Fighting.xls
sportsref_download (19).xls,1995-96 Florida State Seminoles Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Florida State,Florida_State.xls
sportsref_download (19).xls,1995-96 Georgia Tech Yellow Jackets Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Georgia Tech Yellow,Georgia_Tech_Yellow.xls
sportsref_download (19).xls,1995-96 Clemson Tigers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Clemson,Clemson.xls
sportsref_download (19).xls,1995-96 Virginia Cavaliers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Virginia,Virginia.xls
sportsref_download (19).xls,1995-96 Maryland Terrapins Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Maryland,Maryland.xls
sportsref_download (19).xls,1995-96 Duke Blue Devils Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Duke Blue,Duke_Blue.xls
sportsref_download (19).xls,1995-96 UNC Tar Heels Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,UNC Tar,UNC_Tar.xls
sportsref_download (19).xls,1995-96 Wake Forest Demon Deacons Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Wake Forest Demon,Wake_Forest_Demon.xls
sportsref_download (19).xls,1995-96 NC State Wolfpack Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,NC State,NC_State.xls
sportsref_download (19).xls,1995-96 Miami (FL) Hurricanes Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Miami (FL),Miami_FL.xls
sportsref_download (19).xls,1995-96 Virginia Tech Hokies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Virginia Tech,Virginia_Tech.xls
sportsref_download (19).xls,1995-96 Pitt Panthers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Pitt,Pitt.xls
sportsref_download (19).xls,1995-96 Rutgers Scarlet Knights Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Rutgers Scarlet,Rutgers_Scarlet.xls
sportsref_download (19).xls,1995-96 Temple Owls Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Temple,Temple.xls
sportsref_download (19).xls,1995-96 Syracuse Orange Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Syracuse,Syracuse.xls
sportsref_download (19).xls,1995-96 UConn Huskies Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,UConn,UConn.xls
sportsref_download (19).xls,1995-96 St. John's (NY) Red Storm Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,St. John's (NY) Red,St_Johns_NY_Red.xls
sportsref_download (19).xls,1995-96 Georgetown Hoyas Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Georgetown,Georgetown.xls
sportsref_download (19).xls,1995-96 Villanova Wildcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Villanova,Villanova.xls
sportsref_download (19).xls,1995-96 Louisville Cardinals Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Louisville,Louisville.xls
sportsref_download (19).xls,1995-96 Marquette Golden Eagles Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Marquette Golden,Marquette_Golden.xls
sportsref_download (19).xls,1995-96 Memphis Tigers Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Memphis,Memphis.xls
sportsref_download (19).xls,1995-96 Cincinnati Bearcats Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Cincinnati,Cincinnati.xls
sportsref_download (19).xls,1995-96 DePaul Blue Demons Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,DePaul Blue,DePaul_Blue.xls
sportsref_download (19).xls,1995-96 Central Michigan Chippewas Men's Schedule and Results | College Basketball at Sports-Reference.com - Google Chrome,Central Michigan,Central_Michigan.xls
