Elo Model Accuracy Report
=============================================
Scope: all seasons

All games             n=6883   accuracy=0.656   brier=0.2170   log_loss=0.6232
Regular season        n=6411   accuracy=0.653   brier=0.2178   log_loss=0.6249
Playoffs              n= 472   accuracy=0.695   brier=0.2068   log_loss=0.6007

Baselines for context:
  Coin flip (always 50%):   Brier = 0.2500
  Always pick home team:    58.7% accuracy

By season:
  2012-10               n=  11   accuracy=0.727   brier=0.2068   log_loss=0.6042
  2013-05               n=   9   accuracy=0.556   brier=0.2245   log_loss=0.6388
  2013-06               n=  52   accuracy=0.615   brier=0.2339   log_loss=0.6618
  2013-07               n=  45   accuracy=0.622   brier=0.2366   log_loss=0.6697
  2013-08               n=  67   accuracy=0.627   brier=0.2211   log_loss=0.6362
  2013-09               n=  45   accuracy=0.622   brier=0.2389   log_loss=0.6721
  2013-10               n=   3   accuracy=1.000   brier=0.0484   log_loss=0.2387
  2014-05               n=  31   accuracy=0.677   brier=0.1936   log_loss=0.5677
  2014-06               n=  63   accuracy=0.492   brier=0.2546   log_loss=0.7003
  2014-07               n=  68   accuracy=0.662   brier=0.2186   log_loss=0.6224
  2014-08               n=  54   accuracy=0.574   brier=0.2277   log_loss=0.6447
  2014-09               n=   6   accuracy=0.833   brier=0.1406   log_loss=0.4400
  2015-06               n=  56   accuracy=0.554   brier=0.2552   log_loss=0.7038
  2015-07               n=  54   accuracy=0.704   brier=0.1974   log_loss=0.5827
  2015-08               n=  66   accuracy=0.727   brier=0.2291   log_loss=0.6523
  2015-09               n=  44   accuracy=0.636   brier=0.2193   log_loss=0.6237
  2015-10               n=   5   accuracy=0.600   brier=0.2734   log_loss=0.7436
  2016-05               n=  33   accuracy=0.515   brier=0.2543   log_loss=0.7019
  2016-06               n=  63   accuracy=0.667   brier=0.2037   log_loss=0.5909
  2016-07               n=  50   accuracy=0.660   brier=0.2129   log_loss=0.6108
  2016-08               n=  14   accuracy=0.571   brier=0.2749   log_loss=0.7516
  2016-09               n=  52   accuracy=0.654   brier=0.2124   log_loss=0.6112
  2016-10               n=   8   accuracy=0.500   brier=0.3049   log_loss=0.8150
  2017-05               n=  33   accuracy=0.697   brier=0.1977   log_loss=0.5782
  2017-06               n=  51   accuracy=0.725   brier=0.2056   log_loss=0.5997
  2017-07               n=  55   accuracy=0.727   brier=0.1975   log_loss=0.5826
  2017-08               n=  54   accuracy=0.593   brier=0.2232   log_loss=0.6319
  2017-09               n=  24   accuracy=0.792   brier=0.1635   log_loss=0.4975
  2017-10               n=   2   accuracy=0.500   brier=0.2956   log_loss=0.7916
  2018-05               n=  27   accuracy=0.556   brier=0.2138   log_loss=0.6124
  2018-06               n=  67   accuracy=0.597   brier=0.2292   log_loss=0.6480
  2018-07               n=  62   accuracy=0.565   brier=0.2739   log_loss=0.7629
  2018-08               n=  58   accuracy=0.741   brier=0.1876   log_loss=0.5562
  2018-09               n=   7   accuracy=0.714   brier=0.1874   log_loss=0.5630
  2019-05               n=  11   accuracy=0.818   brier=0.1762   log_loss=0.5364
  2019-06               n=  61   accuracy=0.574   brier=0.2340   log_loss=0.6595
  2019-07               n=  48   accuracy=0.646   brier=0.2172   log_loss=0.6259
  2019-08               n=  65   accuracy=0.708   brier=0.2030   log_loss=0.5930
  2019-09               n=  31   accuracy=0.774   brier=0.1756   log_loss=0.5243
  2019-10               n=   4   accuracy=0.500   brier=0.3014   log_loss=0.8049
  2020-07               n=  18   accuracy=0.556   brier=0.2337   log_loss=0.6594
  2020-08               n=  77   accuracy=0.714   brier=0.2032   log_loss=0.5967
  2020-09               n=  49   accuracy=0.714   brier=0.2023   log_loss=0.5899
  2020-10               n=   3   accuracy=1.000   brier=0.1449   log_loss=0.4787
  2021-05               n=  37   accuracy=0.432   brier=0.2702   log_loss=0.7331
  2021-06               n=  59   accuracy=0.695   brier=0.2203   log_loss=0.6329
  2021-07               n=  23   accuracy=0.609   brier=0.2455   log_loss=0.6833
  2021-08               n=  39   accuracy=0.769   brier=0.1880   log_loss=0.5605
  2021-09               n=  42   accuracy=0.786   brier=0.1773   log_loss=0.5333
  2021-10               n=   9   accuracy=0.444   brier=0.2717   log_loss=0.7385
  2022-05               n=  55   accuracy=0.564   brier=0.2236   log_loss=0.6336
  2022-06               n=  64   accuracy=0.641   brier=0.2475   log_loss=0.6944
  2022-07               n=  62   accuracy=0.661   brier=0.1935   log_loss=0.5680
  2022-08               n=  49   accuracy=0.735   brier=0.1998   log_loss=0.5901
  2022-09               n=   9   accuracy=0.444   brier=0.2638   log_loss=0.7210
  2023-05               n=  24   accuracy=0.583   brier=0.2153   log_loss=0.6155
  2023-06               n=  66   accuracy=0.576   brier=0.2368   log_loss=0.6665
  2023-07               n=  60   accuracy=0.717   brier=0.1878   log_loss=0.5601
  2023-08               n=  65   accuracy=0.585   brier=0.2333   log_loss=0.6592
  2023-09               n=  40   accuracy=0.750   brier=0.1820   log_loss=0.5501
  2023-10               n=   5   accuracy=0.600   brier=0.1917   log_loss=0.5706
  2024-05               n=  43   accuracy=0.651   brier=0.2158   log_loss=0.6184
  2024-06               n=  65   accuracy=0.723   brier=0.2111   log_loss=0.6061
  2024-07               n=  40   accuracy=0.625   brier=0.2100   log_loss=0.6039
  2024-08               n=  41   accuracy=0.585   brier=0.2361   log_loss=0.6639
  2024-09               n=  61   accuracy=0.754   brier=0.1785   log_loss=0.5487
  2024-10               n=  12   accuracy=0.583   brier=0.2320   log_loss=0.6582
  2025-05               n=  40   accuracy=0.725   brier=0.2050   log_loss=0.5962
  2025-06               n=  68   accuracy=0.588   brier=0.2311   log_loss=0.6496
  2025-07               n=  65   accuracy=0.631   brier=0.2295   log_loss=0.6522
  2025-08               n=  84   accuracy=0.690   brier=0.2054   log_loss=0.6049
  2025-09               n=  49   accuracy=0.673   brier=0.2005   log_loss=0.5774
  2025-10               n=   4   accuracy=1.000   brier=0.1602   log_loss=0.5067
  2026-05               n=  63   accuracy=0.508   brier=0.2809   log_loss=0.7665
  2026-06               n=  81   accuracy=0.778   brier=0.1864   log_loss=0.5600
  2026-07               n=  68   accuracy=0.632   brier=0.2181   log_loss=0.6272

Calibration (expected win% bucket vs actual win rate):
  Bucket         Games   Predicted avg   Actual win rate
  50%-60%        1358           55.4%             54.6%
  60%-70%        1709           65.1%             62.8%
  70%-80%        1333           74.6%             71.3%
  80%-90%         719           84.0%             83.7%
  90%-101%          79           91.7%             87.3%

10 biggest upsets (lowest pre-game win probability for the winner):
  2010-08-03  wnba_0009 beat wnba_0016  (84-75, given only 15.1% to win)
  2024-08-28  wnba_0004 beat wnba_0005  (94-88, given only 15.3% to win)
  2017-08-06  wnba_0013 beat wnba_0011  (84-82, given only 16.2% to win)
  2020-08-07  wnba_0005 beat wnba_0010  (74-66, given only 17.1% to win)
  2011-08-28  wnba_0009 beat wnba_0012  (83-72, given only 18.3% to win)
  2020-08-23  wnba_0018 beat wnba_0011  (78-75, given only 19.6% to win)
  2007-08-16  wnba_0011 beat wnba_0009  (87-77, given only 20.1% to win)
  2012-08-30  wnba_0009 beat wnba_0004  (99-85, given only 20.3% to win)
  2021-07-03  wnba_0013 beat wnba_0012  (73-67, given only 21.2% to win)
  2017-07-08  wnba_0017 beat wnba_0011  (100-76, given only 21.5% to win)

Worst 10 predictions (highest log loss - biggest confident misses):
  2024-09-19  wnba_0011 51-68 wnba_0004  (favored: wnba_0011 @ 94.0%, winner: wnba_0004, log_loss=2.818)
  2006-08-13  wnba_0013 73-80 wnba_0017  (favored: wnba_0013 @ 92.5%, winner: wnba_0017, log_loss=2.594)
  2018-07-03  wnba_0011 59-71 wnba_0013  (favored: wnba_0011 @ 92.1%, winner: wnba_0013, log_loss=2.535)
  2025-08-21  wnba_0005 85-91 wnba_0017  (favored: wnba_0005 @ 91.1%, winner: wnba_0017, log_loss=2.423)
  2008-09-11  wnba_0004 72-83 wnba_0018  (favored: wnba_0004 @ 91.1%, winner: wnba_0018, log_loss=2.418)
  2024-09-19  wnba_0005 67-78 wnba_0018  (favored: wnba_0005 @ 91.0%, winner: wnba_0018, log_loss=2.409)
  2023-08-19  wnba_0008 72-78 wnba_0004  (favored: wnba_0008 @ 90.6%, winner: wnba_0004, log_loss=2.361)
  2026-07-06  wnba_0011 89-90 wnba_0012  (favored: wnba_0011 @ 90.4%, winner: wnba_0012, log_loss=2.348)
  2018-07-20  wnba_0004 76-78 wnba_0013  (favored: wnba_0004 @ 90.3%, winner: wnba_0013, log_loss=2.336)
  2003-07-30  wnba_0004 62-70 wnba_0008  (favored: wnba_0004 @ 90.1%, winner: wnba_0008, log_loss=2.317)
